		For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Choose the category of statement	Choose the category of comments	For scoring a given reviewer								For scoring a given reviewer								Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree
142-Paper1275	Contrastive Diffusion Model with Auxiliary Guidance for Coarse-to-Fine PET Reconstruction	The method can be reproduced if the code is provided								It is stated on CMT that the code and model weights will be released. Please confirm.								The general libraries used in the proposed method are mentioned.											0	0	0	0	0	0	
143-Paper1098	Contrastive Feature Decoupling for Weakly-supervised Disease Detection	Datasets are open from other studies  Code is supposed to be in Github and not available due to anonymity								In the abstract, the authors indicate both code and dataset will be made available through Github.																			0	0	0	0	0	0	
144-Paper1768	Contrastive Masked Image-Text Modeling for Medical Visual Representation Learning	The proposed approach, used hyper-parameters, training approach, and hardware configuration are well defined. Experimental datasets are publicly available. Considering these points, the paper should be reproducible.								The authors clearly describe their experimental and hardware setup and the parameter configurations of the model. Further, the authors, upon acceptance, will publish the code, and the model weights. With this information, I'm confident that the results in this paper can be reproduced.								Reproducible    Training and Evaluation codes available  Model description included											0	0	0	0	0	0	
145-Paper2620	ConvFormer: Plug-and-Play CNN-Style Transformers for Improving Medical Image Segmentation	Authors perform experiments on 2 public and 1 private dataset. Authors do not provide the code to reproduce the experiments, nor trained NN weights.								Good								The proposed method was tested on public datasets and the method is easy to implement. Besides, the code will be provided.											0	0	0	0	0	0	
146-Paper3654	Convolving Directed Graph Edges via Hodge Laplacian for Brain Network Analysis	The information and level detail provided is sufficient to reproduce the results.								The paper is not easily reproducible right now. The proposed convolutional operator should be integrated into torch_geometric, and the architecture needs to be described. A clear description of the model training would also be needed for reproducibility.								The paper provides formalism to derive their framework, but no source code. Substantial expertise in GNN concepts and implementation may be required to reproduce it.											0	0	0	0	0	0	
147-Paper0206	cOOpD: Reformulating COPD classification on chest CT scans as anomaly detection using contrastive representations	The paper seems reproducible; the data is opensource and the code will be make public.								The experimental results cannot be replicated solely from the paper's description.								Details regarding the models and algorithms, and datasets used were provided. The code related to this will be made available upon acceptance. Some details related to the reported experimental results were also provided.											0	0	0	0	0	0	
148-Paper0603	Correlation-Aware Mutual Learning for Semi-supervised Medical Image Segmentation	The method is not easy to reproduce. Thus, it will be better to release the code for reproduction.								The implementation details are well explained. The choice of N for the memory bank (N x  Dlabelled  x C) is not reported, nor it is explained how the memory bank picks the first N pixels to store.								Reproducibility is good, data is public, and code is open-source.											0	0	0	0	0	0	
149-Paper2102	CorSegRec: A Topology-Preserving Scheme for Extracting Fully-Connected Coronary Arteries from CT Angiography	Code and models are not available now.								The paper includes sufficient details on the methods used, parameters, and underlying datasets used for training and evaluation.								Given the model was trained on publicly available data, it should be feasible to reproduce given results. However, since the method utilizes uncommon techniques, one would probably require an considerable amount of time to do it. It would be much easier, if the authors share the code.											0	0	0	0	0	0	
150-Paper2218	CortexMorph: fast cortical thickness estimation via diffeomorphic registration using VoxelMorph	the authors want to publish code and pre-trained models. Further the required code for DeepSCAN and Voxelmorph is also public.								Methods are reproducible, with some guessing/experimentation needed.								Sufficient details of the architecture are not provided to re-implement the method, and no placeholder for a link to a repository is yet included in the manuscript.											0	0	0	0	0	0	
151-Paper0363	Cortical analysis of heterogeneous clinical brain MRI scans for large-scale neuroimaging studies	The checklist indicates that descriptions of algorithms, models, hyper-parameters, failure modes, etc are available. If provided with this information, the reproducibility of the paper should be high.								Excellent, code and data are publicly available.								The authors provide code for this submission. This will help increase the reproducibility of the paper.											0	0	0	0	0	0	
152-Paper2725	Coupling Bracket Segmentation and Tooth Surface Reconstruction on 3D Dental Models	Reproducible.								* Reproducibility is high, given that the paper is clearly written and code is provided.								The only paper out of the ones I have reviewed to provide appropriate code for repeatability and reproducibility. Dataset not available.											0	0	0	0	0	0	
153-Paper1449	COVID-19 Pneumonia Classification with Transformer from Incomplete Modalities	the proposed model has the potential to be applied to other to other  chest abnormalities using multiple modalities.								Can be preproduced.								he authors have presented comprehensive details and resources, indicating that the proposed method can be reproduced with ease.											0	0	0	0	0	0	
154-Paper1030	Cross-adversarial local distribution regularization for semi-supervised medical image segmentation	Could be improved.								I can not sure readers can reproduce this paper.								The proposed method is clear and the implementation details are exhaustive, therefore, I believe the paper can be reproduced.											0	0	0	0	0	0	
155-Paper1398	Cross-Dataset Adaptation for Instrument Classification in Cataract Surgery Videos	The authors provide information about parameters used. They do not provide information about how to obtain the source code for the Barlow Adaptor/BFAL.								One of the datasets is not publicly available. There are no results on public benchmarks while this possibility exists. Therefore, there is limited reproducibility of the results.								One of the used datasets is public, and the authors claim that their code will be publicly available upon acceptance.											0	0	0	0	0	0	
156-Paper1273	Cross-modulated Few-shot Image Generation for Colorectal Tissue Classification	The architecture may be a bit complex to implement from scratch, but the authors mention they will release the code publicly.								Code and data do not seem to be available.  Sounds good.								Seems to be reproducible, not 100% sure											0	0	0	0	0	0	
157-Paper2880	Cross-view Deformable Transformer for Non-displaced Hip Fracture Classification from Frontal-Lateral X-ray Pair	The paper works on closed-source dataset.								Reproducing might be difficult as the paper didn't provide many implementation details, such as specific hyper-parameters of the model blocks and training hyper-parameters.								The authors claim that the code and data will be released upon acceptance. The implementation details discussed in the paper look good.											0	0	0	0	0	0	
158-Paper1811	CT Kernel Conversion Using Multi-Domain Image-to-Image Translation with Generator-Guided Contrastive Learning	I believe that the obtained results can, in principle, be reproduced. Even though key resources (e.g., code) are unavailable at this point, the key details (e.g., proof sketches, experimental setup) are sufficiently well described for an expert to confidently reproduce the main results, if given access to the missing resources.								n/a								Reasonable.											0	0	0	0	0	0	
159-Paper3327	CTFlow: Mitigating Effects of Computed Tomography Acquisition and Reconstruction with Normalizing Flows	See above								Reproducible.								The authors used a publicly available dataset as part of the dataset.  Even if their own dataset is not public, they will disclose the pre-trained model and its codes. This will increase the reproducibility even if some details were not mentioned in the text.											0	0	0	0	0	0	
160-Paper2586	CT-guided, Unsupervised Super-resolution Reconstruction of Single 3D Magnetic Resonance Image	Code will be released and the reproduce is possible								The method has been explained well, should be sufficient to reproduce.								The paper has present details on how to implement the method from scratch.											0	0	0	0	0	0	
161-Paper2090	CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training	The presentation should be improved. This article seems to be written in a bit of a hurry, and there is a lot of scope for improving the presentation of the paper.  There are lots of abbreviations in the main text. I recommend the authors only abbreviate the important terms.  For example, it is better to give a detailed description (or a full name) of TCL and ICL in the Abstract.    The proposed TCL and ICL are not novel.  The image-only contrastive learning has been widely explored in literature.  The text-only contrastive learning has been widely explored in NLP and several medical image-text pre-training papers, e.g., [1].    The experiment should be improved.  Lots of newly published works [2][3] are missing. I strongly recommend the authors compare the proposed approach with these existing works.  I would like to see a statistical significance test, due to the performance gap between the proposed approach and the previous state-of-the-art methods is small. Besides, the statistical significance test can eliminate the rand. impact of few-shot settings.  The analysis is poor. The analysis doesn't provide insights about the contributions of each component or how that affects the final results/addresses the claimed problems (and why).  The paper is written in an optimistic tone that leads the reader to assume the proposed approach is rather good. However, I am more interested in knowing if the approach brings errors. And what type of errors does it bring? And why?    References:  [1] Making the Most of Text Semantics to Improve Biomedical Vision-Language Processing. ECCV, 2022.  [2] Advancing Radiograph Representation Learning with Masked Record Modeling. ICLR, 2023.  [3] Generalized radiograph representation learning via cross-supervision between images and free-text radiology reports. Nature Machine Intelligence, 2022.								(1) No code provided.  (2) The supplementary materials provide more experiment results, text templates for zero-shot classification tasks, and prompt templates for text data augmentation.  (3) The model design in the paper is clear. The model would be reproducible based on the descriptions in the paper.								it seems possible to reproduce.											0	0	0	0	0	0	
162-Paper0489	CycleSTTN: A Learning-Based Temporal Model for Specular Augmentation in Endoscopy	It should be able to reproduce it with some efforts.								The video and many visualization results are provided. The experiment is carried out on a public dataset.								I think the result could be reproduced if proper code was provided.											0	0	0	0	0	0	
163-Paper1426	DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation	The authors claim in the abstract that they will released the code.								The authors claimed will release the codes after acceptance, which might contribute to the reproducibility.								Reproducible based on the paper description.											0	0	0	0	0	0	
164-Paper1312	DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs	The results are on publicly available datasets and the authors promised to share the code.								The relevant details are described clearly, the code has already been published.								Code provided with all relevant implementation and experimental details. Fairly reproducible.											0	0	0	0	0	0	
165-Paper3286	DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation	I am uncertain about the reproducibility of the paper								The reproducibility of this paper is excellent. The authors have committed to release their code and conducted their experiments entirely on publicly available data, with the final results being on the test set of a challenge which is private, and allows for their method to be demonstrably superior on a public leaderboard.								Reproducible											0	0	0	0	0	0	
166-Paper3478	Data AUDIT: Identifying Attribute Utility- and Detectability-Induced Bias in Task Models	The authors have indicated that the full code, including data splits etc., will be made available upon acceptance. The study uses publicly available datasets.								It is recommanded to provide code								Looks clear.											0	0	0	0	0	0	
167-Paper2036	DBTrans: A Dual-Branch Vision Transformer for Multi-modal Brain Tumor Segmentation	Due to the inherent complexity of the proposed method, I would recommend providing the source code. Otherwise, it may be difficult to implement it from scratch.								The reproducibility of this paper is good. The description of the experiment is good.								The reproducibility of this paper is not very good unless the author clearly explains how to handle the relationships between modalities when splitting the embeddings.											0	0	0	0	0	0	
168-Paper1388	DCAug: Domain-aware & Content-consistent Cross-cycle Framework for Tumor Augmentation	All data and codes are made available to public.								This paper uses several public datasets, and will provide training code, which is highly reproducible.								Datasets are public. Codes are not provided, it seems the code could be reproduced.											0	0	0	0	0	0	
169-Paper1588	Debiasing Medical Visual Question Answering via Counterfactual Training	Data sets are publicly available. If authors provide source code and experimental details, the reviewer will be confident in the reproducibility.								This work can be reproducible after authors open their dataset and source code.								I believe this work can be reproduced if the code is given.											0	0	0	0	0	0	
170-Paper1846	Deblurring Masked Autoencoder is Better Recipe for Ultrasound Image Recognition	The authors have agreed to update their code in GitHub. Any publicly available data can be tested using their code. Detailed summary of the hyper parameter settings and ablation study is provided in the supplementary material which ensures reproducibility of the paper.								Probably. the method description is clear. It seems the code will be made public in the future. The experimental dataset used in the study is private.								Code and dataset are not available so not reproducible.											0	0	0	0	0	0	
171-Paper2853	Decoupled Consistency for Semi-supervised Medical Image Segmentation	Knowledgeable reader would be able to reproduce the approach.								very good, results on public dataset and all the details are specified.								The code is NOT promised to be released so I encourage the authors to release the code.											0	0	0	0	0	0	
172-Paper3513	DeDA: Deep Directed Accumulator	Good. Using existing dataset (already published). Code to be made publicly available.								I think that it is difficult to reproduce the results from the paper. A private dataset was used, and I found no (future) link to the code.   The reproducibility statement has some points checked that I could not find in the paper (Same goes for some other papers I reviewed): Hyperparameter tuning, sensitivity to parameter change, baseline method implementation, tendency of results, and significance.  Further, the following points are marked as not applicable but would have been relevant: Runtime, memory footprint, central tendency,								reproducibility looks okay.											0	0	0	0	0	0	
173-Paper2886	Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology	ok, if the code is public								The experiments were conducted on public available dataset.  The authors did not claim the code will be released. Whereas, the described algorithm is easy to implement.								Given the simplicity of the presented method, I believe it can be reproduced without much problem.											0	0	0	0	0	0	
174-Paper1269	Deep Homography Prediction for Endoscopic Camera Motion Imitation Learning	The experiments are conducted on public datasets but the code is not open sourced yet.								The authors have committed to release their code on GitHub. This will allow other researchers to access, review, and build upon the proposed method.								I think that the pipeline described in the paper should be reproducible.											0	0	0	0	0	0	
175-Paper1976	Deep Learning for Tumor-associated Stroma Identification in Prostate Histopathology Slides	I believe the presentation of the paper is clear and will allow reproducibility. Publishing the data/code would also help. Some more information about the MLP used for the adversarial part of the method should also be included.								The paper gives all the details. However, the dataset may not be available to reproducing the result.								There are a multitude of issues with the reproducibility of this paper, in particular a strong disagreement between the self-reported reproducibility response and the paper.   -- While the authors state in the reproducibility response that they provided all relevant statistics, I strongly disagree with this. They did neither provide the number of cases included in dataset A, nor where the samples where taken from or just any information about the study cohort.   -- While the authors state that they provide a complete description of the data collection process, this is entirely missing and thus just a false statement.  -- While the authors state that IRB approval was required for the data acquisition, they do not give any details if it was obtained in the paper.   -- The authors claim that code and models are available, but this is mentioned nowhere in the paper and thus I must assume that they do not aim to release it.   -- The authors claim that they release the dataset alongside the paper (,,Dataset or link to the dataset needed to run the code. - Yes"), but there is no mention of that in the paper.  Overall, I think the reproducibility of the paper is thus poor.											0	0	0	0	0	0	
176-Paper3324	Deep Learning-Based Air Trapping Quantification using Paired Inspiratory-Expiratory Ultra-Low Dose CT	Details regarding the models and algorithms, and datasets used were provided. The code related to this work was not made available. Some details related to the reported experimental results were also provided.								There is no code available nor data or annotations available for download and inspection. Given the relative lack of details on the annotation method this would be challenging work to reproduce.								Fair											0	0	0	0	0	0	
177-Paper2137	Deep Learning-based Anonymization of Chest Radiographs: A Utility-preserving Measure for Patient Privacy	The paper is reproducible to the extent that sufficient detail is provided for someone to repeat the experiment if they are knowledgeable in the background. However, code is desirable with comments. Datasets used are publicly accessible.								The dataset used in this study is publicly available. The author did not mention about the code of this work.								The paper is well written and seems reproducible. Also, the paper used chestX-ray14, a publicly available dataset. I will suggest releasing the code.											0	0	0	0	0	0	
178-Paper0746	Deep Mutual Distillation for Semi-Supervised Medical Image Segmentation	The author's mention of releasing the code, which is beneficial for reproducibility.								The datasets are publicly available and the code is promised to be so, therefore reproducibility seems granted.								The changes to the original method, the used architecture, training setting and datasets are well described. The work should be reproducible.											0	0	0	0	0	0	
179-Paper2151	Deep probability contour framework for tumour segmentation and dose painting in PET images	the link of the code is not available, but I think it will be added.   The dataset is public and parameters of the method are described.								The paper uses a public dataset to validate the proposed method. The method is presented through multiple papers, one of which defines the KsPC method, while the other presents the KsPC-Net. The paper can be considered reproducible; however, providing the code would enhance its reproducibility.								No concerns here because the authors will make the code available.											0	0	0	0	0	0	
180-Paper3177	Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing	Although the results could be easily reproduced, I think the authors do not intend to make the dataset public, as they are solving a well-defined task the necessitates of the hardware and might be too much constrained to the specific application detailed therein. Nonetheless, the community could benefit from following similar approaches.								If the authors will release the code ("not applicable" in the checklist now), I think the reproducibility of the paper is good.								The authors did not indicate that they will share their codes or data if their work may get accepted.											0	0	0	0	0	0	
181-Paper3352	Deep unsupervised clustering for conditional identification of subgroups within a digital pathology image set	The authors meet all criteria on the reproducibility checklist  But the pre-trained model								n/a								The code will be made available if accepted											0	0	0	0	0	0	
182-Paper2493	DeepGraphDMD: Interpretable Spatio-Temporal Decomposition of Non-linear Functional Brain Network Dynamics	The information included seem to be sufficient for reproducing the results.								Good								All the details required to reproduce the results are provided. I noticed an anonymised github link and assume that the source code will also be made available once the manuscript is published.											0	0	0	0	0	0	
183-Paper1333	DeepSOZ: A Robust Deep Model for Joint Temporal and Spatial Seizure Onset Localization from Multichannel EEG Data	Most detail is provided. No links to data or code, but data is publicly available and can be found via google search								It would be easy to reproduce if they make their code public.								There is no implementation of the code provided or at least mentioned that the authors would do it in the future. Although it is not necessary but it could help the reviewers to verify the results.											0	0	0	0	0	0	
184-Paper0702	Democratizing Pathological Image Segmentation with Lay Annotators via Molecular-empowered Learning	The study presented should be easily reproduced as all details are in the paper.								The paper claimed that the official implementation would be publicly available when ready.								The authors provide access to cell annotations and code implementations. I therefore believe that the paper should be largely reproducible. However, hyperparameters for AI training are not provided within the text, and the use of ImageJ is mostly non reproducible.											0	0	0	0	0	0	
185-Paper0423	Dense Transformer based Enhanced Coding Network for Unsupervised Metal Artifact Reduction	I don't have concern on reproducibility.								Clear to reproduce.								The proposed DTEC-Net is a combination of existing methods, the process is clear, and the release code at the time of publication is mentioned in the abstract. I believe it's repeatable											0	0	0	0	0	0	
186-Paper2990	Deployment of Image Analysis Algorithms under Prevalence Shifts	The reproducibility aspect of the paper is good (public data set, clearly mentions network parameters and cites algorithms that have been used from prior work).								Provided the enclosed code for this work is well commented, this work appears to be highly reproducible. It would benefit from a clearer mathematical description of the methods (already detailed in "weaknesses" section)								Experiments were done with public datasets.  Code will be made available.  Reproducibility is guaranteed.											0	0	0	0	0	0	
187-Paper0698	Detecting domain shift in multiple instance learning for digital pathology using Fréchet Domain Distance	The core CLAM method is publicly available and has been widely used as a baseline in MIL studies. Both datasets are available to researchers (the more recent dataset requires a specific request to be made but presumably this will not restrict someone from attempting to reproduce the experiments)  The supplemental file was missing on the CMT site - I assume this would have contained additional information needed to reproduce the study.								The paper is reproducible and the details are enumerated clearly.								The results are reproducible.											0	0	0	0	0	0	
188-Paper1410	Detecting the Sensing Area of A Laparoscopic Probe in Minimally Invasive Cancer Surgery	The authors mention that the dataset will be made available upon acceptance of the paper. In addition, the parameters used in the experiments are discussed in the paper. With the source code available as well, I think that an interested reader will be able to reproduce the results easily.								The presented work has in my opinion a moderately strong reproducibility, mainly since the author(s) provided a public version of the dataset. However, some required details are missing in the manuscript, for example data split.								data set is public available, thus reproducibility can be achieved											0	0	0	0	0	0	
189-Paper1897	Detection of basal cell carcinoma in whole slide images	The reproducibility is hard to predict because the evolutional search does not always give out similar results.								The article includes details on the architecture and its hyperparameters which makes it possible to reproduce.								Based on what was reported by the authors of the article and based on the Reproducibility Checklist, I believe that the reproducibility details are adequate. However, if it were possible to focus my concerns on the experimental part described above, the reproducibility of the paper would also benefit.											0	0	0	0	0	0	
190-Paper1666	Detection-free Pipeline for Cervical Cancer Screening of Whole Slide Images	The article did not provide open source codes, but the relevant methods can refer to the codes of other papers, and the details were described clearly, so the methods can be reproduced.  The article did not use a public dataset, and the data used will not be publicly available, so the accuracy of this article cannot be proven through reproduction.								Reproducibility of the paper is reasonably good. The framework is clearly described.								The author's description of the algorithm is basically reasonable, clear, and reproducible. However, the lack of relevant experimental data cannot directly verify and reproduce the effectiveness of the method.											0	0	0	0	0	0	
191-Paper1896	Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images	The authors mentioned that the code is available on github. So, I will assume it is reproducible. I think that the results will be repeatable in new dataset as it was trained on a relatively large dataset.								Detailed information about the methodology is missing, including the size of the input and output of each stage and layer.  The data used in the paper is from two well-known public repositories for testing, including the segmented masks and the bounding box outlining the regions of interest. However, the information about the data used for training is missed, although the number of cases used for the model training is big enough.								Based on the information provided, nothing to note in this section											0	0	0	0	0	0	
192-Paper0638	Development and Fast Transferring of General Connectivity-based Diagnosis Model to New Brain Disorders with Adaptive Graph Meta-learner	Most datasets are publicly available. Codes are promised to be given after acceptance.								Very good reproducibility. code will be released and dataset description as well as experiment settings are clear.								Their codes will be released after the acceptance.											0	0	0	0	0	0	
193-Paper0210	Devil is in Channels: Contrastive Single Domain Generalization for Medical Image Segmentation	This work is relatively more reproducible because the code and the model will be available.								The authors intend to release the code, otherwise the details of training is written in the paper.								The major experimental details are given.											0	0	0	0	0	0	
194-Paper0938	DHC: Dual-debiased Heterogeneous Co-training Framework for Class-imbalanced Semi-supervised Medical Image Segmentation	This method is easy to reproduce based on the paper.								Our code and models will be released upon acceptance.								Too complex to reproduce.											0	0	0	0	0	0	
195-Paper0420	Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels	The authors stated that they will provide the training and evaluation codes.								The proposed losses are easy to implement.  The results can be verified independently.								The reproducibility of this paper is excellent. All experiments were performed on publicly-available data and the source code has been made publicly available.											0	0	0	0	0	0	
196-Paper1276	DiffDP: Radiotherapy Dose Prediction via a Diffusion Model	I would question the lack of ethics and patient informed consent.								The authors promised to make the research implementation public								The in-house dataset of the rectal cancer will not be available to the readers. However, the training and evaluation codes will help readers reproduce the results on their own datasets or the public datasets.											0	0	0	0	0	0	
197-Paper2600	Differentiable Beamforming for Ultrasound Autofocusing	The proposed method is straightforward to implement and should be reproducible. Although the datasets are synthetic and may require access to raw data from ultrasound machines as well as ground-truth speed-of-sound maps of the phantoms, open-source benchmarks like CUBDL exist. Therefore, obtaining such raw data should not pose a significant challenge.								The source code and data are not available.								Authors do not plan to release the code, therefore the reproducibility would be based on the descriptions of the proposed method. These, however, could be more detailed.											0	0	0	0	0	0	
198-Paper0807	DiffMIC: Dual-Guidance Diffusion Network for Medical Image Classification	Code will be provided upon acceptance.								Good reproducibility.								The authors used three datasets, two of them public and with adequate citations. The other dataset is proprietary, with the authors confirming approval by the IRB. The authors also claim the code will be made available upon acceptance.											0	0	0	0	0	0	
199-Paper2466	DiffMix: Diffusion Model-based Data Synthesis for Nuclei Segmentation and Classification in Imbalanced Pathology Image Datasets	The authors stated that the code will be provided upon acceptance.								In general, it seems feasible to reproduce the results. However,    Some mask design details are missing.  Code is not published  Training time is not reported								The description of the method is clear and the implementation should be straightforward, it would be better if the authors can publish the code somewhere.											0	0	0	0	0	0	
200-Paper0421	DiffULD: Diffusive Universal Lesion Detection	Yes.								The code is not currently available. The used dataset (DeepLesion) is publicly available.								The dataset used in this paper is public available, but the code implementation is unavailable.											0	0	0	0	0	0	
201-Paper1624	DiffuseIR: Diffusion Models For Isotropic Reconstruction of 3D Microscopic Images	There are no obvious issues wrt reproducibility. The datasets are standard. The most complex part of the method is based on publicly available code.								The method is reproducible and can be reimplemented by a skillful graduate student.								The paper is ok with reproducibility. They provide the details about the implementation.											0	0	0	0	0	0	
202-Paper0551	Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI	Problems on the description of the training model make impossible to reproduce the work.								Authors claim they would share the codes in the future. It would be easy to reproduce the results with codes public. Otherwise, it is hard to cover all architecture and training details in the manuscript for reproducing.								The authors admit to publish the code in future. The employed dataset is public.											0	0	0	0	0	0	
203-Paper2509	Diffusion Transformer U-Net for Medical Image Segmentation	The paper should be easy to reproduce.								The reproducibility of the proposed method is uncertain due to the lack of code provided by the authors in the supplementary materials.								Code will be released as claimed in the manuscript. Datasets are all public. The work is reproducible.											0	0	0	0	0	0	
204-Paper2170	Diffusion-based Data Augmentation for Nuclei Image Segmentation	The authors have indicated that they will release both the training code and evaluation code, which is a positive step towards ensuring reproducibility of the results presented in the paper.								The code should be released. The datasets studied are public. There don't appear to be any obstacles to making the results fully reproducible apart from the computational burden of training the diffusion models.								The description of the method is clear, the paper seems reproducible.											0	0	0	0	0	0	
205-Paper2550	Diffusion-Based Hierarchical Multi-Label Object Detection to Analyze Panoramic Dental X-rays	Based on the checklist, this research seems to be reproducible.								The method is clearly explained and data as well as code will be made available.								Good.											0	0	0	0	0	0	
206-Paper1972	DiMix: Disentangle-and-Mix based domain generalizable medical image segmentation	The author provides sufficient implementation details which helps reproduce the results.								Not claimed.								An open dataset is used but the details are limited, would require reading of the dataset paper for details. No indication of how hyperparameters were selected. Hyperparameters are reported.											0	0	0	0	0	0	
207-Paper3033	DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration	Methodology description is too broad to reproduce the results.								A part of the data used in the paper is publicly available (provided by others, not the authors), but both training and evaluation also involve proprietary datasets. No code is available. Architecture and training are described adequately.								The reproductivity of the work is low since description of methodology, including CNN architecture, loss function, preprocessing and training data requirement, is unclear. For example, Eq. 2 and the CNN architecture described do not guarantee that a CNN feature has a unit norm and that Eq. 2 ranges [0,1], but training patches were sampled based on the similarity values ranging [0,1]. For the proposed DISA-LC^2, it is unclear whether the weighting function is based on the local patch variance of a fixed image or a moving image and whether it has to be recomputed for each different pair of moving/fixed images. Also, the paper describes that CNN was trained using unregistered data. Were unregistered data acquired from the same patients (intra-subject pairs) or from different patients (inter-subject pairs)?											0	0	0	0	0	0	
208-Paper1291	DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms using Self-adversarial Learning	The authors plan to make their code public which will certainly help in reproducibility given the complexity of the architecture. The description of the methodology should be sufficient to reproduce the results. Additional details are needed to clarify how the labels were defined during evaluation, as detailed in the comments for the authors. Experiments are conducted on both in-house and public datasets.								The experimental setting section contains a reasonable amount of details about the training strategy. However, the datasets splits are not clear, in particular considering that the DDSM and VTB datasets have official train/test splits and INBreast may benefit from https://arxiv.org/abs/2108.04800.								Maybe											0	0	0	0	0	0	
209-Paper2249	DisC-Diff: Disentangled Conditional Diffusion Model for Multi-Contrast MRI Super-Resolution	The author do not describe the details of the LR. In my opinion, the MRI LR image is very different from natural image, please see Multi-contrast mri super-resolution via a multi-stage integration network MICCAI 2021.								This work is partially reproducible. One experiment is on private clinical data, and no code is available, yet the method is described well.								The authors shared the source code as supplementary material.											0	0	0	0	0	0	
210-Paper1075	Discovering Brain Network Dysfunction in Alzheimer's Disease Using Brain Hypergraph Neural Network	n/a								The data is from a public dataset and the details for reproduction is provided.								The detailed parameter settings are listed. Apart from biomarker interpretation part, the method is reproducible.											0	0	0	0	0	0	
211-Paper2528	Disentangling Site Effects with Cycle-Consistent Adversarial Autoencoder for Multi-site Cortical Data Harmonization	The paper uses partially open data. Code release is not mentioned in the paper, but is mentioned in the reproducibility statement. This should be included in the body of the paper upon release.								Reproducibility seems fine. Pre-processing details are provided. They say that the code will be released. References are provided for cohorts.								The Experimental Setting section is relatively short but seems to contain the necessary information to reproduce experiments (including main hyperparameters of the method), although two of the datasets used for experiments are private. I may have missed this information while reading the paper, but I do not think authors have provided a link to their code.											0	0	0	0	0	0	
212-Paper2523	Distilling BlackBox to Interpretable models for Efficient Transfer Learning	The authors provide the implementation code and the method is clearly described. The reproducibility of the paper is high.								Experiments with supplementary material verified the contributions mentioned in the manuscript.								The authors released their codes, and it may be reproducible yet not fully confirmed.											0	0	0	0	0	0	
213-Paper3339	Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI	Reproducible.								The code should be released.								The author/authors have filled out the reproducibility section thoroughly and have taken steps to ensure their research is transparent and replicable. The dataset, dataset split, and hyper-parameters used to train the model have been clearly discussed in the paper. It would be good to also have the 226 patients' demographic data in the experiments section.											0	0	0	0	0	0	
214-Paper1730	Diversity-preserving Chest Radiographs Generation from Reports in One Stage	The authors used public datasets and the paper is easy to follow, so the approach should be reproducible.								Public data is used. The method is described clearly, but not enough details are given to completely reproduce the work. Given the page limit, it is not bad though. Releasing the code would be helpful.								The paper can be reproduced if the code is released.											0	0	0	0	0	0	
215-Paper0718	DMCVR: Morphology-Guided Diffusion Model for 3D Cardiac Volume Reconstruction	Based on the information provided in the Reproducibility Response, it seems that the authors have taken steps to ensure the reproducibility of their research.								While the dataset used in this work is not publicly accessible, the codes can be re-implemented using the Github repositories of DiffAE. The work appears to be reproducible.								Good.											0	0	0	0	0	0	
216-Paper1258	Do we really need that skip-connection? Understanding its interplay with task complexity	Data is public  Code is offered in github but removed for anonymity								Discussion of clinical significance is not clear to me.								The paper provides sufficient detail and resources for researchers to replicate and build upon their findings.											0	0	0	0	0	0	
217-Paper1780	Domain Adaptation for Medical Image Segmentation using Transformation-Invariant Self-Training	The authors have not released the code yet. But, since the presentation of this paper is clear, I believe this work is reproducible by following the instructions outlined in the paper.								This paper provides most implementation details, including the used dataset, the preprocessing, batch size, learning rate strategy, loss functions and the parameters of the optimizer.								The method is easy to understand therefore implementing the method would not be difficult. Otherwise, the author has included sufficient details regarding hyper parameters in the paper.  According to the reproducibility checklist, the author promised to release code.											0	0	0	0	0	0	
218-Paper1703	Domain-agnostic segmentation of thalamic nuclei from joint structural and diffusion MRI	The authors state that the tool will be made openly available.Data is also available, so the paper should be reproducible.								They provide the ready-to-use tool, so reproducible and helpful.								The authors stated the codes will be distributed publicly.											0	0	0	0	0	0	
