category		contribution	contribution	contribution	strengths	strengths	strengths	weakness	weakness	weakness	reproducibility	reproducibility	reproducibility	detailed	detailed	detailed	justification	justification	justification
169-Paper1588	Debiasing Medical Visual Question Answering via Counterfactual Training	87	122	106	211	43	102	39	77	54	21	13	12	36	33	413	38	64	138
170-Paper1846	Deblurring Masked Autoencoder is Better Recipe for Ultrasound Image Recognition	48	67	81	23	36	28	18	111	297	42	26	9	59	19	21	59	66	17
171-Paper2853	Decoupled Consistency for Semi-supervised Medical Image Segmentation	141	29	18	49	93	19	33	98	119	9	12	17	124	52	22	2	34	9
172-Paper3513	DeDA: Deep Directed Accumulator	49	49	79	17	46	50	5	83	55	12	83	3	4	460	115	14	72	32
173-Paper2886	Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology	67	26	79	124	65	127	445	196	118	6	26	16	445	104	283	149	24	92
174-Paper1269	Deep Homography Prediction for Endoscopic Camera Motion Imitation Learning	25	130	73	18	85	80	107	127	66	15	24	12	81	169	87	19	73	62
175-Paper1976	Deep Learning for Tumor-associated Stroma Identification in Prostate Histopathology Slides	99	34	94	66	30	139	159	26	420	37	17	202	54	26	380	42	10	36
176-Paper3324	Deep Learning-Based Air Trapping Quantification using Paired Inspiratory-Expiratory Ultra-Low Dose CT	126	133	108	77	113	69	41	144	31	32	31	1	505	66	28	14	38	44
177-Paper2137	Deep Learning-based Anonymization of Chest Radiographs: A Utility-preserving Measure for Patient Privacy	49	92	67	77	76	55	43	87	29	36	20	23	61	93	38	21	21	50
178-Paper0746	Deep Mutual Distillation for Semi-Supervised Medical Image Segmentation	94	63	95	272	97	15	154	241	186	12	17	21	154	79	44	58	19	9
179-Paper2151	Deep probability contour framework for tumour segmentation and dose painting in PET images	40	118	30	32	38	52	59	99	30	26	45	11	146	67	42	15	28	42
180-Paper3177	Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing	80	30	22	189	49	33	251	55	142	52	22	19	47	81	62	39	7	8
181-Paper3352	Deep unsupervised clustering for conditional identification of subgroups within a digital pathology image set	24	37	65	17	35	30	23	58	203	13	1	8	31	61	33	12	21	43
182-Paper2493	DeepGraphDMD: Interpretable Spatio-Temporal Decomposition of Non-linear Functional Brain Network Dynamics	65	13	144	70	22	63	396	20	50	11	1	32	36	266	114	28	11	113
183-Paper1333	DeepSOZ: A Robust Deep Model for Joint Temporal and Spatial Seizure Onset Localization from Multichannel EEG Data	26	24	31	15	53	54	24	3	61	22	12	36	7	87	134	31	34	15
184-Paper0702	Democratizing Pathological Image Segmentation with Lay Annotators via Molecular-empowered Learning	44	64	53	13	37	38	20	31	96	14	13	40	206	54	48	2	27	47
185-Paper0423	Dense Transformer based Enhanced Coding Network for Unsupervised Metal Artifact Reduction	93	38	36	61	19	21	120	58	17	6	3	31	17	81	47	29	17	32
186-Paper2990	Deployment of Image Analysis Algorithms under Prevalence Shifts	80	48	53	199	86	27	434	74	62	25	33	14	302	34	34	27	79	27
187-Paper0698	Detecting domain shift in multiple instance learning for digital pathology using Frechet Domain Distance	58	69	50	136	219	15	101	253	55	71	10	4	244	77	52	58	110	10
188-Paper1410	Detecting the Sensing Area of A Laparoscopic Probe in Minimally Invasive Cancer Surgery	80	57	25	55	57	8	60	81	5	49	35	10	223	261	11	30	20	15
189-Paper1897	Detection of basal cell carcinoma in whole slide images	23	14	91	23	78	83	33	50	163	17	16	48	33	87	106	7	52	55
190-Paper1666	Detection-free Pipeline for Cervical Cancer Screening of Whole Slide Images	61	59	22	85	44	28	248	51	170	60	12	29	111	28	4	100	27	50
191-Paper1896	Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images	38	49	106	32	28	62	61	70	113	37	71	11	88	237	122	53	35	56
192-Paper0638	Development and Fast Transferring of General Connectivity-based Diagnosis Model to New Brain Disorders with Adaptive Graph Meta-learner	23	80	26	61	117	51	254	92	42	13	17	8	49	13	2	11	24	11
193-Paper0210	Devil is in Channels: Contrastive Single Domain Generalization for Medical Image Segmentation	72	64	21	25	28	15	45	10	80	15	17	6	20	10	7	17	33	6
194-Paper0938	DHC: Dual-debiased Heterogeneous Co-training Framework for Class-imbalanced Semi-supervised Medical Image Segmentation	31	65	66	33	28	93	132	45	138	10	9	4	71	54	3	30	38	2
195-Paper0420	Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels	41	51	95	23	45	24	51	90	66	12	13	23	385	31	47	47	9	36
196-Paper1276	DiffDP: Radiotherapy Dose Prediction via a Diffusion Model	23	17	63	47	13	80	61	103	30	11	9	34	84	169	128	15	11	46
197-Paper2600	Differentiable Beamforming for Ultrasound Autofocusing	27	85	47	44	78	139	214	120	214	51	8	27	3	397	236	61	31	44
198-Paper0807	DiffMIC: Dual-Guidance Diffusion Network for Medical Image Classification	58	23	45	12	75	20	29	73	8	6	2	38	168	36	36	14	16	23
199-Paper2466	DiffMix: Diffusion Model-based Data Synthesis for Nuclei Segmentation and Classification in Imbalanced Pathology Image Datasets	58	59	29	58	39	28	128	85	21	11	25	25	39	120	34	22	58	35
200-Paper0421	DiffULD: Diffusive Universal Lesion Detection	45	73	56	49	76	32	122	259	226	1	13	15	7	130	5	30	24	35
201-Paper1624	DiffuseIR: Diffusion Models For Isotropic Reconstruction of 3D Microscopic Images	32	54	38	44	40	40	50	53	55	24	13	13	5	148	124	19	74	32
202-Paper0551	Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI	44	57	76	5	52	34	31	27	145	14	37	14	364	61	64	71	27	37
203-Paper2509	Diffusion Transformer U-Net for Medical Image Segmentation	51	64	127	27	52	80	89	33	59	7	22	17	72	31	82	50	10	31
204-Paper2170	Diffusion-based Data Augmentation for Nuclei Image Segmentation	81	85	59	107	90	82	209	118	174	30	33	11	158	13	41	78	27	20
205-Paper2550	Diffusion-Based Hierarchical Multi-Label Object Detection to Analyze Panoramic Dental X-rays	64	74	65	40	62	54	174	7	33	10	15	1	12	55	13	36	51	13
206-Paper1972	DiMix: Disentangle-and-Mix based domain generalizable medical image segmentation	22	97	39	18	85	26	67	41	68	11	2	29	8	38	163	11	129	25
207-Paper3033	DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration	41	66	62	26	47	76	35	57	141	9	37	128	101	247	401	17	22	60
208-Paper1291	DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms using Self-adversarial Learning	44	63	5	82	67	5	118	93	5	62	40	1	181	236	163	36	45	11
209-Paper2249	DisC-Diff: Disentangled Conditional Diffusion Model for Multi-Contrast MRI Super-Resolution	51	127	131	51	17	43	55	168	49	35	23	9	50	7	78	20	8	31
210-Paper1075	Discovering Brain Network Dysfunction in Alzheimer's Disease Using Brain Hypergraph Neural Network	49	35	24	58	19	21	76	51	50	1	14	15	76	38	50	1	3	8
211-Paper2528	Disentangling Site Effects with Cycle-Consistent Adversarial Autoencoder for Multi-site Cortical Data Harmonization	63	32	104	54	78	90	65	177	52	33	20	56	104	252	423	22	26	43
212-Paper2523	Distilling BlackBox to Interpretable models for Efficient Transfer Learning	63	37	29	65	71	36	117	28	95	19	11	14	28	35	2	30	25	16
213-Paper3339	Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI	81	44	27	37	23	37	66	81	12	1	5	55	157	9	105	16	11	10
214-Paper1730	Diversity-preserving Chest Radiographs Generation from Reports in One Stage	88	108	48	77	25	22	77	101	110	18	35	10	152	38	22	6	19	49
215-Paper0718	DMCVR: Morphology-Guided Diffusion Model for 3D Cardiac Volume Reconstruction	61	29	53	30	61	182	25	209	74	24	28	1	296	178	106	39	79	57
216-Paper1258	Do we really need that skip-connection? Understanding its interplay with task complexity	68	13	31	49	13	95	29	113	144	12	9	16	96	90	234	18	5	42
217-Paper1780	Domain Adaptation for Medical Image Segmentation using Transformation-Invariant Self-Training	49	62	53	22	80	77	141	151	76	31	25	38	21	42	30	7	39	36
218-Paper1703	Domain-agnostic segmentation of thalamic nuclei from joint structural and diffusion MRI	35	36	55	15	22	18	18	87	58	20	9	9	1	136	41	29	42	28
219-Paper3114	DOMINO++: Domain-aware Loss Regularization for Deep Learning Generalizability	122	47	29	103	56	38	387	101	99	36	29	17	78	91	157	11	42	33
220-Paper2364	Dose Guidance for Radiotherapy-oriented Deep Learning Segmentation	53	88	42	24	127	28	45	135	4	35	32	8	328	119	252	18	133	18
221-Paper0595	DRMC: A Generalist Model with Dynamic Routing for Multi-Center PET Image Synthesis	48	46	30	71	87	57	44	72	71	15	10	14	23	80	61	13	59	23
222-Paper1437	Dual Arbitrary Scale Super-Resolution for Multi-Contrast MRI	39	68	58	33	39	92	80	62	77	12	5	28	45	26	7	33	12	16
223-Paper1255	Dual Conditioned Diffusion Models for Out-Of-Distribution Detection: Application to Fetal Ultrasound Videos	51	63	56	40	88	81	151	106	76	39	57	33	2	83	140	13	148	18
224-Paper1450	Dual Domain Motion Artifacts Correction for MR Imaging Under Guidance of K-space Uncertainty	36	43	71	29	68	23	92	409	84	29	20	1	41	9	59	25	28	42
225-Paper0931	DULDA: Dual-domain Unsupervised Learned Descent Algorithm for PET image reconstruction	28	95	49	6	104	59	19	258	137	9	4	10	11	269	60	7	124	28
226-Paper2947	Dynamic Curriculum Learning via In-Domain Uncertainty for Medical Image Classification	63	53	70	55	146	38	21	128	68	30	23	19	44	12	30	9	38	25
227-Paper1793	Dynamic Functional Connectome Harmonics	50	13	91	41	35	191	63	11	129	6	1	19	154	145	20	7	13	21
228-Paper2346	Dynamic Graph Neural Representation Based Multi-modal Fusion Model for Cognitive Outcome Prediction in Stroke Cases	37	74	70	32	36	247	34	36	109	42	6	24	67	175	18	66	6	11
229-Paper0990	Dynamic Structural Brain Network Construction by Hierarchical Prototype Embedding GCN using T1-MRI	57	14	20	30	37	20	40	45	21	23	21	10	84	13	137	21	28	13
230-Paper0947	EchoGLAD: Hierarchical Graph Neural Networks for Left Ventricle Landmark Detection on Echocardiograms	116	57	42	45	105	27	159	76	76	50	207	19	98	351	7	34	49	7
231-Paper0891	ECL: Class-Enhancement Contrastive Learning for Long-tailed Skin Lesion Classification	47	122	9	78	51	9	79	414	2	22	24	2	12	147	15	33	68	9
232-Paper1593	EdgeAL: An Edge Estimation Based Active Learning Approach for OCT Segmentation	30	40	21	21	60	60	80	59	28	15	45	3	85	97	112	5	34	38
233-Paper2684	Edge-aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI	38	19	63	57	40	59	80	191	64	15	9	9	80	32	28	74	15	40
234-Paper1416	EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness	34	64	83	48	27	70	99	144	64	9	7	8	188	65	22	17	19	15
235-Paper1468	Efficient Spatiotemporal Learning of Microscopic Video for Augmented Reality-Guided Phacoemulsification Cataract Surgery	105	43	23	135	36	35	76	229	434	33	11	25	130	127	25	39	8	32
236-Paper0963	Efficient Subclass Segmentation in Medical Images	65	95	70	55	179	16	39	89	40	18	29	5	160	214	43	37	67	16
237-Paper1980	EGE-UNet: an Efficient Group Enhanced UNet for skin lesion segmentation	89	31	48	38	33	32	54	3	8	1	8	9	217	41	34	9	10	15
238-Paper1304	Elongated Physiological Structure Segmentation via Spatial and Scale Uncertainty-aware Network	23	24	15	26	73	46	32	20	161	27	8	4	30	51	19	18	15	3
239-Paper0778	Enabling Geometry Aware Learning Through Differentiable Epipolar View Translation	102	25	65	40	74	9	164	76	12	25	8	19	42	78	90	22	64	6
240-Paper3118	Encoding Surgical Videos as Latent Spatiotemporal Graphs for Object and Anatomy-Driven Reasoning	63	89	70	91	30	125	198	68	244	22	20	33	217	301	192	95	48	86
241-Paper0178	EndoSurf: Neural Surface Reconstruction of Deformable Tissues with Stereo Endoscope Videos	138	41	78	60	114	114	63	122	277	11	23	13	114	57	346	39	44	136
242-Paper0917	Enhance Early Diagnosis Accuracy of Alzheimer's Disease by Elucidating Interactions between Amyloid Cascade and Tau Propagation	33	61	66	12	87	78	138	129	80	38	13	10	109	38	34	6	13	47
243-Paper0934	Enhancing Automatic Placenta Analysis through Distributional Feature Recomposition in Vision-Language Contrastive Learning	46	41	80	54	38	45	134	96	37	25	15	23	140	43	19	19	42	35
244-Paper1515	Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images	60	46	95	70	75	142	44	6	137	24	19	22	36	46	198	22	4	7
245-Paper1308	EoFormer: Edge-oriented Transformer for Brain Tumor Segmentation	82	29	117	148	35	108	83	119	42	58	52	39	116	11	197	75	24	63
246-Paper1036	EPVT: Environment-aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition	52	79	52	67	42	40	38	161	115	18	19	35	149	84	95	30	28	10
247-Paper0986	Estimated time to surgical procedure completion: An exploration of video analysis methods	46	45	54	16	19	56	22	19	127	29	65	15	261	321	74	35	36	45
248-Paper0896	Estimation of 3T MR images from 1.5T images regularized with Physics based Constraint	114	38	51	51	50	59	182	52	27	3	8	7	131	19	376	59	6	27
249-Paper2401	Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images	27	41	69	12	31	51	97	40	33	13	35	10	27	69	131	7	15	19
250-Paper3100	Evolutionary normalization optimization boosts semantic segmentation network performance	51	58	36	46	71	31	137	81	31	30	10	24	2	161	16	7	90	12
251-Paper2131	Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation	62	56	80	26	49	29	116	42	30	7	13	19	18	425	68	20	32	30
252-Paper3184	Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task through Visualizing Functions within the Models	38	41	86	15	39	81	5	54	194	20	11	36	7	184	86	23	26	12
253-Paper2216	Exploring Brain Function-Structure Connectome Skeleton via Self-Supervised Graph-Transformer Approach	23	32	63	54	22	36	21	118	26	4	13	2	62	20	342	10	11	3
254-Paper2001	Exploring Unsupervised Cell Recognition with Prior Self-activation Maps	28	32	82	43	47	66	102	42	308	15	15	24	50	68	6	22	33	41
255-Paper2261	Eye-Guided Dual-Path Network for Multi-organ Segmentation of Abdomen	58	52	28	21	132	28	6	36	34	16	28	27	26	32	228	5	22	17
256-Paper0744	Factor Space and Spectrum for Medical Hyperspectral Image Segmentation	129	43	64	123	34	116	7	99	55	6	9	46	123	26	4	123	7	20
257-Paper1119	FairAdaBN: Mitigating unfairness with adaptive batch normalization and its application to dermatological disease classification	76	105	39	70	71	21	280	115	19	24	6	2	398	94	46	68	26	19
258-Paper2436	Faithful Synthesis of Low-dose Contrast-enhanced Brain MRI Scans using Noise-preserving Conditional GANs	92	60	43	187	76	66	163	141	143	5	22	31	146	70	116	120	27	37
259-Paper2135	Fast Non-Markovian Diffusion Model for Weakly Supervised Anomaly Detection in Brain MR Images	89	33	50	79	36	37	44	12	14	2	24	20	280	28	128	27	38	33
260-Paper1737	Fast Reconstruction for Deep Learning PET Head Motion Correction	128	57	48	130	26	48	41	55	32	75	3	8	177	111	8	50	18	42
261-Paper0905	Feature-Conditioned Cascaded Video Diffusion Models for Precise Echocardiogram Synthesis	48	45	45	63	88	38	233	67	41	31	12	14	68	84	14	52	120	21
262-Paper2602	FedContrast-GPA: Heterogeneous Federated Optimization via Local Contrastive Learning and Global Process-aware Aggregation	8	94	40	4	24	8	31	21	38	3	23	16	84	159	9	15	135	20
263-Paper3399	FEDD - Fair, Efficient, and Diverse Diffusion-based Lesion Segmentation and Malignancy Classification	63	50	45	83	29	49	60	110	235	66	33	19	410	120	34	34	42	4
264-Paper0601	Federated Condition Generalization on Low-dose CT Reconstruction via Cross-domain Learning	50	91	54	120	78	61	33	21	8	12	38	21	33	19	121	60	38	51
265-Paper0762	Federated Uncertainty-Aware Aggregation for Fundus Diabetic Retinopathy Staging	30	23	90	22	16	10	40	36	28	15	6	10	100	7	220	34	8	6
266-Paper0435	FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation	92	18	63	45	23	39	34	96	20	10	6	53	134	7	133	20	12	11
267-Paper2902	FedIIC: Towards Robust Federated Learning for Class-Imbalanced Medical Image Classification	39	52	79	40	71	50	441	54	69	27	5	3	25	295	61	40	146	45
268-Paper1214	FedSoup: Improving Generalization and Personalization in Federated Learning via Selective Model Interpolation	88	51	78	35	41	51	36	175	74	21	20	23	465	35	36	24	34	44
269-Paper0418	FE-STGNN: Spatio-Temporal Graph Neural Network with Functional and Effective Connectivity Fusion for MCI Diagnosis	36	73	95	26	49	146	15	421	371	20	39	20	22	157	397	37	84	34
270-Paper1257	FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling	50	67	29	63	27	28	96	89	38	15	19	3	18	108	22	32	30	21
271-Paper0786	Few Shot Medical Image Segmentation with Cross Attention Transformer	56	92	10	44	37	25	159	67	81	2	15	11	37	124	102	9	67	18
272-Paper1190	Few-Shot Medical Image Segmentation via a Region-enhanced Prototypical Transformer	34	109	32	55	109	43	57	114	97	3	1	5	22	223	142	29	2	9
273-Paper1586	Fine-grained Hand Bone Segmentation via Adaptive Multi-dimensional Convolutional Network and Anatomy-constraint Loss	91	14	112	47	32	72	128	59	59	7	27	31	29	42	13	17	52	10
274-Paper2759	Fine-Tuning Network in Federated Learning for Personalized Skin Diagnosis	27	87	25	98	123	28	37	82	181	23	2	12	20	124	2	42	47	4
275-Paper2917	Flexible Unfolding of Circular Structures for Rendering Textbook-Style Cerebrovascular Maps	28	28	36	17	38	66	17	76	24	18	30	17	154	52	404	57	54	77
276-Paper2722	FLIm-based In Vivo Classification of Residual Cancer in the Surgical Cavity during Transoral Robotic Surgery	70	95	71	99	49	109	351	137	280	59	84	51	158	100	240	105	44	104
277-Paper0385	Flow-based Geometric Interpolation of Fiber Orientation Distribution Functions	88	61	63	50	25	81	34	25	329	3	7	21	1	298	243	10	34	57
278-Paper3362	FocalErrorNet: Uncertainty-aware focal modulation network for inter-modal registration error estimation in ultrasound-guided neurosurgery	17	86	30	9	68	113	23	32	199	19	18	19	17	193	26	26	60	31
279-Paper1053	FocalUNETR: A Focal Transformer for Boundary-aware Prostate Segmentation using CT Images	81	36	76	36	27	71	145	41	99	69	22	18	5	67	1	94	32	17
280-Paper0944	Forensic Histopathological Recognition via a Context-Aware MIL Network Powered by Self-Supervised Contrastive Learning	77	49	41	33	29	55	312	159	90	7	25	4	7	5	48	8	47	33
281-Paper2909	Forward-solution aided deep-learning framework for patient-specific noninvasive cardiac ectopic pacing localization	77	50	95	80	33	86	76	60	146	1	13	15	37	236	27	19	45	36
282-Paper0231	Foundation Ark: Accruing and Reusing Knowledge for Superior and Robust Performance	66	30	47	54	43	52	43	195	46	10	20	5	54	79	34	26	16	25
283-Paper0676	Foundation Model for Endoscopy Video Analysis via Large-scale Self-supervised Pre-train	46	76	18	42	52	82	4	309	23	16	33	13	11	86	29	11	33	29
284-Paper1860	Fourier Test-time Adaptation with Multi-level Consistency for Robust Classification	55	29	73	86	14	55	160	13	67	14	27	19	59	416	68	82	9	32
285-Paper1285	FreeSeed: Frequency-band-aware and Self-guided Network for Sparse-view CT Reconstruction	74	17	23	27	13	30	42	105	13	33	11	5	358	12	53	23	4	3
286-Paper1727	Frequency Domain Adversarial Training for Robust Volumetric Medical Segmentation	63	75	66	90	107	67	47	40	110	14	37	17	40	5	120	19	17	85
287-Paper1051	Frequency-mixed Single-source Domain Generalization for Medical Image Segmentation	109	90	57	51	58	95	56	16	45	171	8	21	34	146	18	6	90	38
288-Paper2512	From Mesh Completion to AI Designed Crown	7	57	12	33	20	17	118	20	22	7	2	1	7	21	31	9	9	5
289-Paper3382	From Sparse to Precise: A Practical Editing Approach for Intracardiac Echocardiography Segmentation	165	39	94	40	96	48	108	131	45	26	26	31	518	79	42	49	28	127
290-Paper1213	From Tissue to Sound: Model-based Sonification of Medical Imaging	39	60	137	63	118	100	50	107	65	37	31	39	328	101	42	36	23	59
291-Paper1165	FSDiffReg: Feature-wise and Score-wise Diffusion-guided Unsupervised Deformable Image Registration for Cardiac Images	64	31	89	102	42	35	79	187	22	23	1	21	96	69	148	29	32	14
292-Paper1832	Full Image-index Remainder based Single Low-dose DR/CT Self-supervised Denoising	60	42	116	62	48	171	24	38	175	20	29	36	39	76	55	71	66	106
293-Paper2571	Fully Bayesian VIB-DeepSSM	42	85	112	78	49	155	77	14	176	1	39	57	42	226	254	30	8	56
294-Paper1144	Fundus-Enhanced Disease-Aware Distillation Model for Retinal Disease Classification from OCT Images	71	43	44	95	58	58	44	54	32	19	45	11	33	159	20	19	16	17
295-Paper2536	Gadolinium-Free Cardiac MRI Myocardial Scar Detection by 4D Convolution Factorization	46	86	76	49	51	266	120	65	164	17	1	17	37	173	178	38	135	51
296-Paper1224	Gall Bladder Cancer Detection from US Images with Only Image Level Labels	82	27	53	30	36	96	186	16	227	21	62	31	76	2	41	69	85	48
297-Paper0742	Gene-induced Multimodal Pre-training for Image-omic Classification	39	31	49	18	13	24	70	92	64	8	2	25	58	25	115	6	18	13
298-Paper1981	Generating High-Resolution 3D CT with 12-bit Depth using a Diffusion Model with Adjacent Slice and Intensity Calibration Network	56	64	38	66	47	24	293	35	45	8	21	15	104	27	39	31	36	14
299-Paper0172	Generating Realistic Brain MRIs via a Conditional Diffusion Probabilistic Model	84	93	54	88	96	52	112	40	52	101	12	2	153	183	56	64	31	3
300-Paper1191	Geometric Ultrasound Localization Microscopy	87	27	42	84	16	44	58	18	40	27	17	19	317	125	107	57	12	37
301-Paper3505	Geometry-adaptive Network for Robust Detection of Placenta Accreta Spectrum Disorders	62	48	82	53	73	12	86	86	31	14	21	18	158	96	82	43	17	3
302-Paper1644	Geometry-invariant abnormality detection	16	44	69	36	58	46	182	53	50	6	8	4	71	21	122	19	25	41
303-Paper0378	GL-Fusion: Global-Local Fusion Network for Multi-view Echocardiogram Video Segmentation	32	93	47	44	87	49	152	8	24	40	2	4	98	8	28	28	87	11
304-Paper1225	Global k-Space Interpolation for Dynamic MRI Reconstruction using Masked Image Modeling	10	102	39	7	50	39	22	94	61	4	33	18	355	110	54	24	44	37
305-Paper1904	GLSFormer : Gated - Long, Short Sequence Transformer for Step Recognition in Surgical Videos	67	76	74	87	109	101	282	82	87	12	124	25	121	122	120	34	120	50
306-Paper0554	GRACE: A Generalized and Personalized Federated Learning Method for Medical Imaging	40	116	77	38	84	71	313	198	38	4	27	41	6	389	61	32	4	49
307-Paper0784	Gradient and Feature Conformity-Steered Medical Image Classification with Noisy Labels	38	103	78	36	76	192	120	129	129	2	5	17	26	4	106	15	34	67
308-Paper3651	Graph Convolutional Network with Morphometric Similarity Networks for Schizophrenia Classification	122	76	73	71	89	221	66	85	241	18	10	28	228	208	30	10	42	37
309-Paper0455	Graph-theoretic automatic lesion tracking and detection of patterns of lesion changes in longitudinal CT studies	58	24	39	65	22	58	9	24	61	14	10	5	103	43	99	59	14	10
310-Paper1702	GSDG: Exploring A Global Semantic-guided Dual-stream Graph Model for Automated Volume Differential Diagnosis and Prognosis	33	84	35	53	64	39	94	104	84	9	34	6	50	173	2	22	26	13
311-Paper0978	GSMorph: Gradient Surgery for cine-MRI Cardiac Deformable Registration	61	66	84	86	42	84	22	8	55	20	1	7	69	1	210	10	9	77
312-Paper1526	Guiding the Guidance: A Comparative Analysis of User Guidance Signals for Interactive Segmentation of Volumetric Images	86	85	63	150	47	211	258	66	3	41	13	34	88	444	45	79	31	28
313-Paper0348	H2GM: A Hierarchical Hypergraph Matching Framework for Brain Landmark Alignment	26	23	47	66	37	39	89	79	67	2	6	21	131	24	160	8	14	69
314-Paper1335	HACL-Net: Hierarchical Attention and Contrastive Learning Network for MRI-Based Placenta Accreta Spectrum Diagnosis	42	38	56	43	8	51	52	63	99	1	16	17	67	31	8	6	8	10
315-Paper1408	HartleyMHA: Self-Attention in Frequency Domain for Resolution-Robust and Parameter-Efficient 3D Image Segmentation	31	77	76	31	36	55	139	38	123	9	1	27	38	101	42	36	37	52
316-Paper0540	HC-Net: Hybrid Classification Network for Automatic Periodontal Disease Diagnosis	30	55	56	21	29	38	82	65	135	34	15	22	45	151	100	48	8	31
317-Paper3097	H-DenseFormer: An Efficient Hybrid Densely Connected Transformer for Multimodal Tumor Segmentation	62	137	96	17	99	49	36	41	21	24	26	13	141	69	21	14	38	20
318-Paper0769	HENet: Hierarchical Enhancement Network for Pulmonary Vessel Segmentation in Non-contrast CT Images	63	50	54	29	90	85	21	31	52	11	22	1	205	102	55	21	25	57
319-Paper2583	Hierarchical Vision Transformers for Disease Progression Detection in Chest X-Ray Images	45	41	80	29	39	57	184	46	48	91	18	9	199	99	80	33	59	42
320-Paper1489	High-Quality Virtual Single-Viewpoint Surgical Video: Geometric Autocalibration of Multiple Cameras in Surgical Lights	82	39	105	92	41	122	36	102	129	19	8	145	128	140	439	42	34	49
321-Paper1642	High-Resolution Cranial Defect Reconstruction by Iterative, Low-Resolution, Point Cloud Completion Transformers	86	43	39	137	102	186	53	184	310	127	7	35	261	132	179	45	26	36
322-Paper2796	HIGT: Hierarchical Interaction Graph-Transformer for Whole Slide Image Analysis	65	15	38	43	42	24	41	210	63	2	17	17	112	181	32	17	30	41
323-Paper2410	Histopathology Image Classification using Deep Manifold Contrastive Learning	128	57	33	60	106	38	185	83	119	41	2	14	25	69	123	18	28	9
324-Paper2330	How Does Pruning Impact Long-Tailed Multi-Label Medical Image Classifiers?	59	134	43	59	217	38	26	94	39	12	39	1	25	209	24	27	73	12
325-Paper1461	How Reliable are the Metrics Used for Assessing Reliability in Medical Imaging?	53	84	138	64	44	107	59	29	171	27	16	14	339	37	104	41	34	76
326-Paper2251	Identification of Disease-sensitive Brain Imaging Phenotypes and Genetic Factors using GWAS Summary Statistics	67	94	54	25	59	45	99	161	127	30	42	39	234	139	167	40	114	21
327-Paper1110	IIB-MIL: Integrated instance-level and bag-level multiple instances learning with label disambiguation for pathological image analysis	38	65	83	69	49	13	168	144	239	22	27	7	44	205	4	104	28	95
328-Paper2593	Image2SSM: Reimagining Statistical Shape Models from Images with Radial Basis Functions	51	153	72	53	105	13	39	206	85	17	132	6	68	442	123	28	17	54
329-Paper2308	Imitation Learning from Expert Video Data for Dissection Trajectory Prediction in Endoscopic Surgical Procedure	54	53	117	14	86	95	26	135	59	1	28	9	17	85	72	5	36	101
330-Paper0869	Implicit Anatomical Rendering for Medical Image Segmentation with Stochastic Experts	103	31	91	40	40	116	74	85	78	12	40	5	36	11	91	11	22	7
331-Paper1136	Implicit neural representations for joint decomposition and registration of gene expression images in the marmoset brain	48	110	45	55	56	32	73	6	73	69	8	20	100	80	165	51	29	58
332-Paper0546	Importance Weighted Variational Cardiac MRI Registration Using Transformer and Implicit Prior	75	114	34	53	117	43	164	302	147	61	37	18	126	84	47	58	54	36
333-Paper2605	Improved flexibility and interpretability of large vessel stroke prognostication using image synthesis and multi-task learning	132	54	93	226	113	86	445	153	22	27	36	19	1240	128	2	149	27	28
334-Paper2502	Improved Multi-Shot Diffusion-Weighted MRI with Zero-Shot Self-Supervised Learning Reconstruction	38	36	66	39	9	27	247	9	133	8	1	40	35	311	50	20	37	14
335-Paper1077	Improved Prognostic Prediction of Pancreatic Cancer Using Multi-Phase CT by Integrating Neural Distance and Texture-Aware Transformer	29	110	118	34	61	64	56	50	238	35	13	19	4	120	4	6	18	14
336-Paper0747	Improving Automatic Fetal Biometry Measurement with Swoosh Activation Function	45	96	20	57	72	12	88	108	111	17	74	20	239	288	32	57	77	27
337-Paper1721	Improving Image-Based Precision Medicine with Uncertainty-Aware Causal Models	45	53	100	22	25	71	5	26	229	23	26	73	170	266	2	31	14	114
338-Paper1899	Improving Outcome Prediction of Pulmonary Embolism by De-Biased Multi-Modality Model	50	55	49	63	104	70	60	63	156	1	27	47	217	86	92	17	11	104
