Paper ID	Paper title	For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Put 1 if the reviewer has said that the code is or will be available	Choose the category of statement	Choose the category of comments	For scoring a given reviewer									For scoring a given reviewer									Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree		
115	Coronary R-CNN: Vessel-wise Method for Coronary Artery Lesion Detection and Analysis in Coronary CT Angiography 	I know that the centerline extraction and straight MPR generation tools sometimes comes with the softwares associated with the scanner. But they should be clearly specified in the paper. If the authors are using some other tools for centerline extraction and straight line MPR generation, they should specify that too. If they make the code available that would be very helpful for reproducibility too.									The authors did not release all the details about the proposed two modules, such as network architecture and feature map channels. The dataset used in the experiments are collected clinically and will not be made public.									The dataset is nice and hopefully made public.																				
116	CorticalFlow++: Boosting Cortical Surface Reconstruction Accuracy, Regularity, and Interoperability 	The general idea is expressed clearly, but I didn't see from the submission that the code will be released somewhere.									The reproducibility of the paper is good.									It seems reproducible.																				
117	CRISP - Reliable Uncertainty Estimation for Medical Image Segmentation 	I believe it is reproducible to a large extent.									The authors have provided adequate details to make the study reproducible.									Code is not available. The method is explained clearly in the paper and the experiments are performed on public datasets. So, I think it should be easy to reproduce the results in the paper.																				
118	CS2: A Controllable and Simultaneous Synthesizer of Images and Annotations with Minimal Human Intervention 	The authors promise to release code but not the in-house data. Hyper-parameters for model training are not provided.									Yes, it should be easy to reproduce the approach from the details included in the paper.									The paper seems to be reproducible, checking all the boxes.																				
119	Curvature-enhanced Implicit Function Network for High-quality Tooth Model Generation from CBCT Images 	Some details are missing (e.g. size and number of filters in conv layers), so the method cannot be exactly reproduced from it description.									I have some concerns about the reproducibility of the paper. The implementation and technical details of the method are not given in the paper. In the checklist, they claim that they will publish the data, training code, and network model. However, this information is not given in the text.									Yes																				
120	DA-Net: Dual Branch Transformer and Adaptive Strip Upsampling for Retinal Vessels Segmentation 	Is a complete submission with the training and evaluation code, the dataset, and the pre-trained weights.									The authors shared their code and weights of their network, which makes the paper reproducible.									providing code, dataset is open access																				
121	D'ARTAGNAN: Counterfactual Video Generation 	They are going to release the code. So it should be reproducible. otherwise the paper does not contain all the data to reproduce the results.									With the details in the paper it is hard to reproduce but they are planning to release the code.									I am not sure whether the MorphoMNIST dataset and Echonet-Dynamic dataset are publicly available. The given details are insufficient to reconstruct the proposed model. However, the authors promise to provide the code.																				
122	Data-Driven Deep Supervision for Skin Lesion Classification 	It is not clear, what type of images do the inhouse dataset contains; dermoscopy, close up clinical, etc... An analysis of situations in which the method failed is not given. (authors said yes to this in the reproducibility statement)									Reproducible									The method can be reproduced.																				
123	Data-driven Multi-Modal Partial Medical Image Preregistration by Template Space Patch Mapping 	"The paper is challenging to reproduce. Their algorithm uses several blocks from existing work, and the authors modified these blocks without detail. For example, when describing AirLab, the authors list that they ""modify the code as needed"" to process partial volumes. While details of this are not needed in the paper, it would be helpful to release code. Further, the training routine and data split is not well described."									The dataset and imaging information used in this study are well described. The authors describe their training procedure in sufficient detail. Source code will be made publicly available.									Method is not publicly available Dataset is not publicly available, and there is not enough technical data about the dataset to recreate a similar one Method could be implemented from the provided description																				
124	DDPNet: A novel dual-domain parallel network for low-dose CT reconstruction 	Average reproducibility. The description of the loss function and the coupled patch-discriminators is rather vague. The paper provided the details of materials and configurations, but did not tell the parameter in the loss function. Therefore, the reproducibility is not satisfactory.									This paper did not provide the detailed network architecture and key parameters such as alpha in the loss function, which make the reproducibility questionable.									The authors use public datsets but do not share the codes.																				
125	Decoding Task Sub-type States with Group Deep Bidirectional Recurrent Neural Network 	The method is clear and reproducible.									The method proposed in this paper has been validated on the HCP dataset and is highly reproducible.									It is easy to follow																				
126	Decoupling Predictions in Distributed Learning for Multi-Center Left Atrial MRI Segmentation 	I find the authors' answers do not represent the reality of their submission in several aspects. Specifically, the following are missing in the paper: Description of the study cohort. Information on sensitivity regarding parameter changes. The exact number of training and evaluation runs. Details on how baseline methods were implemented and tuned. An analysis of statistical significance of reported differences in performance between methods. The average runtime for each result, or estimated energy cost. A description of the memory footprint.									some details are not clearly described to reproduce the work.									no review																				
127	Deep filter bank regression for super-resolution of anisotropic MR brain images 	The method should be reproducible from the information provided in the paper.									Good. The paper presents their results with statistical significance, which I appreciate. The authors state that the code will not be made publicly available.									This paper has the reproducibility.																				
128	Deep Geometric Supervision Improves Spatial Generalization in Orthopedic Surgery Planning 	Some mathematical details on objective loss functions are missing. Otherwise, it should be reproducible.									Good details on experiment parameters, but would be better if code was made available to examine.									The reproducibility can be rated as sufficient																				
129	Deep is a Luxury We Don't Have 	No code is given; the description seems to be clear enough to reproduce the work.									The reproducibility of this paper is good as the author used a public implementation and evaluated their method on the public dataset.									The dataset and code are not disclosed in this paper, so the reproducibility of this paper needs to be further improved.																				
130	Deep Laparoscopic Stereo Matching with Transformers 	The architecture is clearly described, and references are given where further details can be found. The framework used for implementation is given. The metrics used to compare different methods are adequately described. However, the paper does not contain details about the running time, memory footprint and the computational platform in which the implementation was tested. Moreover, no failure cases have been included and discussed.									Okay reproducibility because datasets are public and they will open-source the code.									it looks reproducible.																				
131	Deep Learning based Modality-Independent Intracranial Aneurysm Detection 	Challenging to reproduce without access to the data									The reproducability of the vessel extraction part is rather poor.									The methodology used is reasonably clear, primarily relying on two previously published architectures (nnU-Net and PointNet). Preprocessing and parameters required are mentioned in the manuscript.																				
132	Deep Learning-based Facial Appearance Simulation Driven by Surgically Planned Craniomaxillofacial Bony Movement 	Could be reproduced.  The dataset and code are not open, neither seem to be referenced.  The methods are described however some details are lacking and this is noted in other sections of the review.									The demonstration of the method part is clear. The reproducibility is good.									The paper provides many details on their implementation, hence there is no major reason to argue about paper reproducibility. Authors report the different hyperparameters used (both in the data processing phase and network training and evaluation phase). Details on the dimension of each modules of the architecture are also provided. Although authors declared that they shared dataset and code in the reproducibility checklist, I do not see any link to such resources in the paper. I would expect that authors share their implementations upon acceptance.																				
133	Deep learning-based Head and Neck Radiotherapy Planning Dose Prediction via Beam-wise Dose Decomposition 	"The authors have essentially answered ""yes"" to every question in the reproducibility checklist. However, in reality most of the relevant points have not been included in the manuscript. While not all raised questions can be addressed in the manuscript, the checklist should be filled out correctly. I believe the most interesting information to add to the manuscript would be how the proposed method's hyperparameters were tuned (especially the loss function hyperparameters alpha and beta), how the baselines were implemented and tuned and additional discussion of the clinical significance (see comments above)."									This paper describes the experimental conditions for evaluation well.									Seems okay since author promised to provide the data and code in the reproducibility checklist. Otherwise, it is unclear to say since some key network architecture details are not provided in the paper itself.																				
134	Deep Motion Network for Freehand 3D Ultrasound Reconstruction 	Supplementary data shows that authors made a GUI for their work. I suggest to publish that GUI with your model to this research community.									without the two utilized datasets and the IMU-enriched ultrasound device hard to judge.									"Training/evaluation code, as well as pretrained models and data, are specified as ""available"" but no link has been provided."																				
135	Deep Multimodal Guidance for Medical Image Classification 	the reproducibility is good.									The authors use publicly available datasets and provide details about the techniques used, such that I feel confident I would be able to reproduce the results.									The data sets are publicly available.  The code foundation is publicly available (PyTorch, TensorFlow, etc).  The implementation description is provided in some detail.  I believe reproducibility is high.																				
136	Deep Regression with Spatial-Frequency Feature Coupling and Image Synthesis for Robot-Assisted Endomicroscopy 	X									Video dataset is constructed. Public Data and code is expected to release.									no review																				
137	Deep Reinforcement Learning for Detection of Inner Ear Abnormal Anatomy in Computed Tomography 	The reproducibility of the paper is low. Datasets and code are not available. The description of the dataset heterogeneity was not provided.									The models and algorithms are reasonable adequately described although the reader is referred to the literature for the training procedure.  The data is adequately described. No code is provided.									The authors will not release the code.																				
138	Deep Reinforcement Learning for Small Bowel Path Tracking using Different Types of Annotations 	Paper appears to be at an acceptable level with regards to reproducibility									Sufficient details have been provided in order for the work to be reproducible									The authors will make the code available upon acceptance of paper.																				
139	Deep treatment response assessment and prediction of colorectal cancer liver metastases 	Reproducible									No issue									The model was trained and tested on a specific dataset PRODIGE20, which was collected in a previously published study. All cases were all colorectal cancer patients with liver metastasis and received specific treatments. So it is difficult for readers to validate the performance of the model using other datasets.																				
140	DeepCRC: Colorectum and Colorectal Cancer Segmentation in CT Scans via Deep Colorectal Coordinate Transform 	Neither code nor the dataset will be made publically available. The description of the experiments is complete and might be sufficient to reproduce the experiments in some extent.									No training, evaluation code or trained models provided make this algorithm potentially difficult to reproduce. Especially given the fairly complex adaptations to the training loss and network to incorporate both the predicted coordinate map and attention.									The dataset is an in-house dataset. This could be a problem of code reproducibility.																				
141	Deep-learning Based T1 and T2 Quantification from Undersampled Magnetic Resonance Fingerprinting Data to Track Tracer Kinetics in Small Laboratory Animals 	A detailed description of the model and the data used is illustrated.									The checklist states that the dataset is downloadable, but I did not see an (anonymized) link in the manuscript Same for code and models The exact architecture of the UNet (number of features per layer) is not provided.  Not a problem if code is released. Hyper-parameter strategy is not mentioned, but maybe no hyper-parameter search was performed (which would be fine) Time/cost/memory not reported No statistical significance tests									The checklist mentions the code will not be available in a repository as it is still under development, which limits reproducibility.																				
142	DeepMIF: Deep learning based cell profiling for multispectral immunofluorescence images with graphical user interface 	Highly reproducible. Also the authors suggest it would be publicly available .									The reproducibility of the paper is good. The authors provided necessary details from the reproducibility checklist.									The software will be made available through github upon acceptance. This is reasonable and is not public yet, perhaps to keep the process double blind.  The data on the other hand is not public or I could not see where this is available.																				
143	DeepPyramid: Enabling Pyramid View and Deformable Pyramid Reception for Semantic Segmentation in Cataract Surgery Videos 	The authors claim the dataset will be available after acceptance of the paper.									The reproducibility of the paper is ok.									The technical contribution is limited.																				
144	DeepRecon: Joint 2D Cardiac Segmentation and 3D Volume Reconstruction via A Structure-Specific Generative Method 	Good, the author's answers to the reproducibility checklist correspond to the content of their paper.									Seems okay.									Some parts are not so easy to reproduce specially concerning the methods used, because information is not enough, and the complexity of the architectures used, it may need more information about hyperparameters. The expertise reached by their tool it is based on coupling different architectures for the segmentation and reconstruction tasks previously known.																				
145	Deformer: Towards Displacement Field Learning for Unsupervised Medical Image Registration 	Good reproducibility. Many technical details of the proposed method are reported and the authors claimed that the code will release if the work is accepted in the reproducibility checklist.									Should be good.									I think the reproducibility of the paper is good.																				
146	Degradation-invariant Enhancement of Fundus Images via Pyramid Constraint Network 	The authors intend to share the source codes. one part of data is publicly available.									The reproducibility is well sound.									The description of the method is clear. I think the proposed method could be reproduced.																				
147	Delving into Local Features for Open-Set Domain Adaptation in Fundus Image Analysis 	The reproducibility of the paper should be good since the authors will provide the code and the datasets are public. Important hyperparameters are specified in the paper as well.									The CNN model is ResNet50 and the datasets are all public, thus the reproducibility of the paper is strong with more detail of experiments' setting, for example, the input size.									There is no significant issue with reproducibility.																				
148	Denoising for Relaxing: Unsupervised Domain Adaptive Fundus Image Segmentation without Source Data 	The data is from an open challenge and the code will be open-sourced. So the reproducibility is great.									Authors claim that code will be available after review.									The authors state in the abstract that they will make the source code available upon acceptance of the paper. The used datasets are cited and publicly available. The backbone architecture is also cited.																				
149	Denoising of 3D MR images using a voxel-wise hybrid residual MLP-CNN model to improve small lesion diagnostic confidence 	The code is not available at the moment, but enough details to reproduce it are given. The dataset used by authors is publicly available. The used dataset is described and  cited.									The authors used a public dataset with URL provided.									It is hard to be reproduced as there is no detailed description about the proposed method and no code publicly available.																				
150	DentalPointNet: Landmark Localization on High-Resolution 3D Digital Dental Models 	The deep learning model is not directly given and will not be published after acceptance. The input size of the data and some details are missing for reproducibility.									No special issue here.									Based on the information provided in the methodology section, I believe the proposed method could be implemented. However, since the data is not publicly available - it is not possible to reproduce the results presented in the paper.																				
151	DeSD: Self-Supervised Learning with Deep Self-Distillation for 3D Medical Image Segmentation 	Some important details are missing, such as how to build a 3D segmentation network based on ResNet-50.									The datasets are publicly available. SSL part is easy to reproduce since it is based on DINO. The paper does not show details on how the four sub-encoders are constructed (but it may be inferred since the encoder is ResNet-50). The downstream segmentation model cannot be easily reproduced. There are some descriptions of how to construct the decoder, but it requires more details to fully reproduce.									This paper has moderate reproducibility. The code is not released, but most training details (e.g., architecture, optimizor, learning rate, batch size, and augmentations) are provided in this manuscript.																				
152	DeStripe: A Self2Self Spatio-Spectral Graph Neural Network with Unfolded Hessian for Stripe Artifact Removal in Light-sheet Microscopy 	There is no mention in the main text about code being available.									My mental test is always, whether I believe I would be able to make a student reproduce the results, and in this case, the answer is Yes.									The authors state that the code will be made available for biologists for academic use. Can you clarify how restrictive this is? What about scientists from other fields? Maybe you could comment on why you decide against open-sourcing the code.																				
153	Detecting Aortic Valve Pathology from the 3-Chamber Cine Cardiac MRI View 	The paper seems to be relatively straight-forward to reproduce. It would be great if the dataset could be made available to the public, since significant effort has to be taken to annotate the data as was done here in this study.									Mainly the open points on the description should be clarified, as right now I would not be able to implement exactly the same as many details are not really described. I realize this may be tricky given the size limit of the paper, maybe it would be possible to replace some text with a more descriptive figure.									"The authors employ a novel multi-center dataset comprised of 1017 patients. However, limited description is given regarding image acquisition parameters, instructions given to annotators (e.g., which rules were used to define a pathological jet and its extent?), methods employed for quality control (any type of consensus?), etc. Moreover, it is not understood if the dataset used for training heatmap regression (80 patients) is a subset of the main dataset (1017 patients) or an independent one. If the former, how was that dealt with when evaluating the accuracy of the classifier? Several methodological/implementation details are lacking, hampering the reproduction of the authors' method/results. See ""Weaknesses"" and associated specific comments below."																				
154	DEUE: Delta Ensemble Uncertainty Estimation for a More Robust Estimation of Ejection Fraction 	"Everything is ticked ""yes"" but I don't see own code or results being made available? Otherwise: Detailed model/parameter description use of state-of-art methods for comparison public dataset"									The reproducibility of this paper is very high. The data is publicly available and the implementation is straighforward.									relatively easy to reproduce. Not all details provided.																				
155	DGMIL: Distribution Guided Multiple Instance Learning for Whole Slide Image Classification 	The authors have clarified that the code will be available in the reproducibility checklist.									Seems good as almost all [YES] are chosen.									The dataset is publicly available. The proposed method is clear enough for coding and realization. However, I don't know if it can be confirmed for reproducibility.																				
156	Did You Get What You Paid For? Rethinking Annotation Cost of Deep Learning Based Computer Aided Detection in Chest Radiographs 	The results are convincing. However, the paper will be more impactful if the authors can release the dataset.									Would be good if the authors release the code as they claimed in the list.									The dataset is unfortunately private, but the methodology is clear and key hyper-parameters are reported. The authors will release the code.																				
157	Diffusion Deformable Model for 4D Temporal Medical Image Generation 	The authors provided code of the experiment in an anonymous github account.									Their code is ok, but it is a little difficult to follow some details.									The datasets used for evaluation are publicly available, although the exact images used for training, validation, and testing are not provided. The source code is available in a github repo. I did not check how does it run. The parameter values were provided. For the evaluation, the authors provided a clear description of metrics. Statistical significance is  stated.																				
158	Diffusion Models for Medical Anomaly Detection 	The authors have produced the anonymous codes.									The model is very clearly explained and the code is included. Evaluation is performed on public datasets. I commend the authors on releasing very clear instructions in the code repository.									Looks good.																				
159	Digestive Organ Recognition in Video Capsule Endoscopy based on Temporal Segmentation Network 	ok									This was not filled out at all, just no for everything.									Code not available. The method description is clear, as well as the training details and parameters. Data is not available (it would be very interesting if authors are planning to release, though). It is plausible that the general architecturte can be reproduced and tested on a different dataset than the one presented in this paper (there are numerous public datasets)																				
160	Discrepancy and Gradient-guided Multi-Modal Knowledge Distillation for Pathological Glioma Grading 	Data is publicly available. Code and split will be made available after review. So it's reproducible.									The dataset is open, and the authors mentioned that the source code will be released. Therefore, I'm confident the results could be easily reproduced.									Authors claim they will release the code. If so, the study could be reproduced.																				
161	Discrepancy-based Active Learning for Weakly Supervised Bleeding Segmentation in Wireless Capsule Endoscopy Images 	This paper provides source code and uses a public dataset. It should has good reproducibility.									Meet the requirement.									The authors have mentioned that code would be public.																				
162	Disentangle then Calibrate: Selective Treasure Sharing for Generalized Rare Disease Diagnosis 	The authors provide most of the details, but the network architecture needs to be clear									Generally good.  However no 'analysis of statistical significance of reported differences in performance between methods', 'average runtime for each result, or estimated energy cost', 'description of the memory footprint'  is provided. As stated in section 5, the lack of statistical comparison is a negative.									The authors give a good overview of the adopted hyper-parameters but some details are still missing (for instance number of iterations and augmentation pipeline). Also, given the ambiguity of the DTC module description, a faithful reproduction of the method might be difficult.																				
163	DisQ: Disentangling Quantitative MRI Mapping of the Heart 	I didn't find obvious problems of reproducibility. Most of hyper-parameters are mentioned, especially for the loss function. Network architecture seems missing but this work intends to release its code thus it should not be a big problem.									The manuscript mentions the code will be available in a repository and the checklist supports this statement. There are some little details not explained in the paper, but it may be out of the scope of a conference paper. Once uploaded, it will guarantee reproducibility.									No elements on paper reproducibility could be found in the paper.																				
164	Distilling Knowledge from Topological Representations for Pathological Complete Response Prediction 	Low. The used data is public but recreating this network and being able to compute the topological priors is an advanced task for anyone. If the code is made available, then this will improve. But as the code would only cover the network, there would still be some serious barriers to other users.									The reproducibility seems OK. The method is clearly explained. Ideally the code should be released upon acceptance along with hyperparameters.									Good.																				
165	Domain Adaptive Mitochondria Segmentation via Enforcing Inter-Section Consistency 	"The authors listed ""yes"" for both code and pre-trained models. In this case, it can be an easy task for both training and testing. If the reproduction was only based on the descriptions in the paper, it could be somewhat difficult."									The method appear reproducible.									"Overall it seems feasible to reproduce the results. Some information selected as ""yes"" in the reproducibility report is missing: mean, variance, statistical significance and failure case analysis. Another question is whether the authors will publish their code."																				
166	Domain Adaptive Nuclei Instance Segmentation and Classification via Category-aware Feature Alignment and Pseudo-labelling 	The authors do not provide the description of results with central tendency (e.g. mean) & variation in the paper, which they answered Yes in the checklist. It would be a plus to add mean and variance to the results.									Not sure how easy/difficult to reproduce this paper.									I think  it can be reproduced																				
167	Domain Specific Convolution and High Frequency Reconstruction based Unsupervised Domain Adaptation for Medical Image Segmentation 	Reproducible.									Authors have provided enough information for reproduciblity of the paper.									The source code of this work is provided, which is a plus. I believe this work is reproducible.																				
168	Domain-Adaptive 3D Medical Image Synthesis: An Efficient Unsupervised Approach 	Lack of explanation on the hyper-parameters selection, average run time									The code is not provided, but maybe it will be made available upon acceptance? No statistical tests nor measures of variance are provided, making it difficult to evaluate the significance of the quantitative results.									I would like to suggest the authors to make their code publicly available in an anonymous form (e.g., by creating an anonymous account on github) along with submission of the paper.																				
169	Domain-Prior-Induced Structural MRI Adaptation for Clinical Progression Prediction of Subjective Cognitive Decline 	no review									It is difficult to judge the reproducibility of the paper as the parameter settings are unclear.									Does not seem reproducible only because the 'AAA' dataset (as referenced in this work) is not publicly available.																				
170	DOMINO: Domain-aware Model Calibration in Medical Image Segmentation 	The methods are very detailed. The derivations for the approach are shown, which makes this framework reproducible. Images are not publically available, however, all parameters used, such as repetition time (TR), echo time (TE), and field of view (FOV), are all listed, which means the study is also reproducible. The authors do say they will release DOMINO in the future.									Ok									no review																				
171	Double-Uncertainty Guided Spatial and Temporal Consistency Regularization Weighting for Learning-based Abdominal Registration 	PyTorch version not reported. Data description is scarce (no scanner info,  instructions to annotators, their degree and level of experience not reported). Review board approval is claimed to have been obtained, but is not referenced (id number). Placeholder for code link not included in the manuscript, but authors claim code will be made available upon acceptance. Relevant statistical significance tests not performed.									This paper has provided details about the models, datasets, and evaluation.									Data is not currently publicly available (awaiting IRB approval), no discussion of code availability and this seems like it would be fairly difficult to implement from scratch.																				
172	DRGen: Domain Generalization in Diabetic Retinopathy Classification 	Enough details are provided for reproducibility.									Good.									The implementation details together with the source code used to run the experiments, which the authors plan to share, address reproducibility. Assuming that the source code is going to contain a readme that explains how to run the code to get the same results of the experiments, reproducibility is fulfilled.																				
173	DS3-Net: Difficulty-perceived Common-to-T1ce Semi-Supervised Multimodal MRI Synthesis Network 	"The authors should provide more detailed explanations on the differences between their work and the existing semi-supervised learning frameworks, especially those based on the teacher-student strategy. Currently, it is hard to understand the true technical contribution of this work. The proposed framework seems a straightforward application of existing semi-supervised learning work in multi-modal MRI synthesis. Page 5: ""Here we empirically set l id , l fd , l pad and l GAN as 100, 1, 1 and 1."" How to determine these parameters? What is the influence once any of them is changed? Table 1: The results for the case of 100% paired percentage look odd. The second best method, Pix2pix, provides the best image quality with highest PSNR and SSIM, however, the corresponding segmentation results are not as good as DS3-Net. Why are two sets of results inconsistent? What is the underlying reason? Following the last comment, another strange thing is that the case of 50% paired percentage outperforms 100% case in terms of TC Dice, which is inconsistent with the conclusions observed in other results, i.e., larger paired percentage better TC Dice score. Please clarify. It is helpful to provide the model size (e.g., number of parameters) of different networks. Some failure cases should be provided in the manuscript. The authors should discuss the potential reasons for the failure of their model, which is helpful for the further improvement of the proposed model. Finally, the authors can consider to provide some results regarding the computational time of different methods."									Positive for the reproducibility of the paper.  It's easy to be reproduced, because they have shared the source codes on GitHub. But, the authors should describe more details about the network.									The training schedule including the learning rate and optimizers etc are not well clarified.																				
174	DSP-Net: Deeply-Supervised Pseudo-Siamese Network for Dynamic Angiographic Image Matching 	Most of the implementation details have been addressd.									The network architecture is clear and the algorithm logic is rigorous. The experimental part uses comparative and ablation experiments, which are rich in type. And the comparison test is full. But, the experimental datasets are not clinical data and the effectiveness of clinical use is debatable.									Easy to follow Dataset is expected to release. The method is clear.																				
175	DSR: Direct Simultaneous Registration for Multiple 3D Images 	There is an algorithm diagram in the supplementary material which helps (it should be moved to the main manuscript), but most of the other implementation details such as numerical libraries, programming language etc are missing.									The authors should include more details on dataset. It would be great if they can release the dataset together with the code for reproducibility of the work conducted.									The code will be available after acceptation.																				
176	Dual-Branch Squeeze-Fusion-Excitation Module for Cross-Modality Registration of Cardiac SPECT and CT 	All looks good. It would be nice to make several cases in the dataset publicly available.									This could be assessed by looking at the source code repository which is currently anonymous.									It is easy to reproduce since the authors will provide the code upon acceptance and the description is clear in the paper.																				
177	Dual-Distribution Discrepancy for Anomaly Detection in Chest X-Rays 	The author claims to release the source code, and the paper provides enough details to reproduce the paper.									Given the uncertainty in the choice of datasets, more material is needed to demonstrate the reproducibility of the method.									Authors claim to provide codes based on the reproducibility list.																				
178	Dual-graph Learning Convolutional Networks for Interpretable Alzheimer's Disease Diagnosis 	The authors provided the code that make it is reproducible.									Code is being provided for reproducibility									manuscript should specify which ADNI Data release was used for analysis																				
179	Dual-HINet: Dual Hierarchical Integration Network of Multigraphs for Connectional Brain Template Learning 	Good.									The main idea and the major steps are provided and described, current contents seem to be OK for reproducing, but it cannot be fully confirmed unless we really dig into it. Publishing source code will be much welcomed which can greatly help in understanding the proposed method.									As mentioned in the weaknesses, a lot of technical details are missing making the reproducibility less convincing.																				
180	DuDoCAF: Dual-Domain Cross-Attention Fusion with Recurrent Transformer for Fast Multi-contrast MR Imaging 	Although some details are missing, it is still reproduceable, considering that the proposed methods is well presented, and authors promised to release code after acceptance.									The results of this paper may be reproducible.									Reproducibility is good.																				
181	Dynamic Bank Learning for Semi-supervised Federated Image Diagnosis with Class Imbalance 	This paper has shown the implementation details. Additionally, this paper has provided the codes in the supplemental material, and it will release the codes. So I think its reproducibility is very good.									Hyper-parameters are complete. Authors are going to release the code. The details of thresholds h_m/h_c may be improved.									The description of the experimental setup and the hyperparameters are clear, which is sufficient to reproduce the reported results.																				
182	EchoCoTr: Estimation of the Left Ventricular Ejection Fraction from Spatiotemporal Echocardiography 	Use of a large, well-known, and public dataset (EchoNet). Code will be available if the paper is accepted.									If authors get to publish their code, it can be reproduced. This paper it is strong in this aspect, database is publicly available also. And details on language and platform is given.									The data used by the authors is public and the code will be made available upon acceptance. The higher-level parameters used by the authors are listed in the paper. It is mentioned that the UniFormer model was adapted, but it is not clear what changes were actually performed. The paragraph detailing this (end of page 4) is not clear enough and may be not complete. Overall, the reproducibility should be excellent once the github is made public.																				
183	EchoGNN: Explainable Ejection Fraction Estimation with Graph Neural Networks 	Please address Ethics / IRB approval - you can use a placeholder for now. Otherwise I have no comments, seems sufficient.									The authors describe their methods, architecture, etc. reasonably well, but some more details would have been desirable (although some more is included in the supplementary material). They provide anonymized link to the code in github. One thing that reduces reproducibility is the use of custom architecture blocks. For example, the video encoder could be replaced with a generic frame based image encoder. Perhaps, the performance suffers a little bit? Would be good to know why they made this choice.									Authors have taken great care to make their work reproducible. In the reproducibility disclosure, authors state they will make code available. The methods are described in great detail in the paper. The EchoNet Dynamic dataset is publicly available.																				
184	Edge-oriented Point-cloud Transformer for 3D Intracranial Aneurysm Segmentation 	Although some details of the experimental protocols are missing in the paper, I would say that it is not that difficult to reproduce the experiments.									"Reproducibility is OK though parameter tuning is not provided. ""An analysis of statistical significance of reported differences in performance between methods."" is not provided though the answer to this question is YES."									The paper is well-written, with clear specification. However, the authors did not promise to release code, thus I might have some concerns in its reproducibility.																				
185	Effective Opportunistic Esophageal Cancer Screening using Noncontrast CT Imaging 	It is interesting and a good idea to improve the tumor segmentation performance by proposing the position-sensitive self-attention layer for each encoding layer in the segmentation network nnUnet. However, detailed method and trained procedure were not introduced clearly, which influence the reproducibility of this work.									Neither code nor data seems to become publicly available. The reproducibility statement is unclear to me in that under #4 the authors filled in no review on a few occasions whereas I think that for any AI method the exploration of hyper-parameters and sensitivity are applicable.									According to the Reproducibility Response, I think the reproducibility of the paper was good. Providing the common dataset and code can improve repeatability.																				
186	Efficient Bayesian Uncertainty Estimation for nnU-Net 	Easy to reproduce.									This paper is reproducible.									No issue here.																				
187	Efficient Biomedical Instance Segmentation via Knowledge Distillation 	Easy to reproduce									the data is public, the code will hopefully be made available									Some details are missing. The authors seems just check everything 'yes' in the checklist. Missing one of the loss function definition. Missing software framework and version. No new dataset proposed. Missing training time for the proposed distillation method.																				
188	Efficient population based hyperparameter scheduling for medical image segmentation 	No code or implementation has been shared. Public dataset used. Reproducibility status unknown.									the authors plan to publish their code. Data used is public									The authors would like to make all codes publicly available, which ensures good reproducibility.																				
189	Electron Microscope Image Registration using Laplacian Sharpening Transformer U-Net 	use of public challenge data unclear if code is to be made available no significance testing (not claimed in checklist but unclear why not carried out)									Please, correct me if I'm wrong: In the reproducibility statements, authors declare to provide the links to the code, however I did not find any or any statement in the paper indicating the the code will be openly available.									Publicly available dataset and simplicity of approach based on related work with available open source implementations should facilitate reproducibility.																				
190	Embedding Gradient-based Optimization in Image Registration Networks 	According to the reviewer, the paper is not clear enough to be perfectly reproducible. However the authors provided a github repository with the code.									The given answers seem to be correct. I appreciate that the authors honestly answered these questions (no one else did in my paper stack) An analysis of situations in which the method failed. [No]  Discussion of clinical significance. [No]									The procedure itself is not made available for download etc. The data used are freely available. The procedures used for comparisons have already been published and some of them are available as freely accessible code. It is unclear how the presented procedure has to be parameterized in detail. This could be discussed in more detail in the experiments section.																				
191	Embedding Human Brain Function via Transformer 	The reproducibility of the paper is good.									No code is provided									Method evaluated on a publicly available dataset. The code is not shared and minor implementation details are missing for reproducibility.																				
192	End-to-End cell recognition by point annotation 	Can be reproduced based on some related knowledge.									All the hyper-parameters are given. It is possible to reproduce the paper.									The code is not provided. All methods used for the proposed framework are depicted clearly and noted with appropriate references.																				
193	End-to-End Evidential-Efficient Net for Radiomics Analysis of Brain MRI to Predict Oncogene Expression and Overall Survival 	The reproducibility of the work is adequate. The conceptual idea behind EDL is provided, Figure 2 summarizes the network architecture, and model parameters are provided in Table 1 / section 3.1. The code will not be publicly shared.									It is hard to decide the reproducibility of the paper.									As the authors were not shared some important details of the model development and training, it would be hard to reproduce the exact same experiments.																				
