category		clarity	clarity	clarity	rate	rate	rate	confidence	confidence	confidence	rate rebuttal	rate rebuttal	rate rebuttal
136-Paper1290	Conditional Temporal Attention Networks for Neonatal Cortical Surface Reconstruction	Good	Satisfactory	Excellent	5	5	7	Confident but not absolutely certain	Very confident	Very confident	N/A	5	N/A
137-Paper0848	Consistency-guided Meta-Learning for Bootstrapping Semi-Supervised Medical Image Segmentation	Good	Excellent	Good	6	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	6	6	5
138-Paper1221	Content-Preserving Diffusion Model for Unsupervised AS-OCT image Despeckling	Satisfactory	Good	Very Good	4	5	7	Confident but not absolutely certain	Somewhat confident	Very confident	5	N/A	6
139-Paper0770	Context-Aware Pseudo-Label Refinement for Source-Free Domain Adaptive Fundus Image Segmentation	Good	Good	Very Good	4	5	5	Very confident	Somewhat confident	Confident but not absolutely certain	N/A	5	6
140-Paper0621	Continual Learning for Abdominal Multi-Organ and Tumor Segmentation	Good	Very Good	Good	6	6	5	Somewhat confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
141-Paper3247	ConTrack: Contextual Transformer for Device Tracking in X-ray	Excellent	Satisfactory	Very Good	7	5	6	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
142-Paper1275	Contrastive Diffusion Model with Auxiliary Guidance for Coarse-to-Fine PET Reconstruction	Very Good	Good	Satisfactory	7	5	3	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
143-Paper1098	Contrastive Feature Decoupling for Weakly-supervised Disease Detection	Good	Good		6	6		Confident but not absolutely certain	Confident but not absolutely certain		N/A	N/A	
144-Paper1768	Contrastive Masked Image-Text Modeling for Medical Visual Representation Learning	Very Good	Very Good	Satisfactory	7	6	5	Very confident	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
145-Paper2620	ConvFormer: Plug-and-Play CNN-Style Transformers for Improving Medical Image Segmentation	Good	Good	Excellent	6	6	4	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	6	N/A
146-Paper3654	Convolving Directed Graph Edges via Hodge Laplacian for Brain Network Analysis	Very Good	Very Good	Good	6	6	5	Very confident	Very confident	Somewhat confident	N/A	N/A	N/A
147-Paper0206	cOOpD: Reformulating COPD classification on chest CT scans as anomaly detection using contrastive representations	Good	Poor	Good	6	6	6	Very confident	Very confident	Somewhat confident	N/A	N/A	N/A
148-Paper0603	Correlation-Aware Mutual Learning for Semi-supervised Medical Image Segmentation	Good	Excellent	Good	6	7	7	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
149-Paper2102	CorSegRec: A Topology-Preserving Scheme for Extracting Fully-Connected Coronary Arteries from CT Angiography	Very Good	Excellent	Very Good	7	7	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
150-Paper2218	CortexMorph: fast cortical thickness estimation via diffeomorphic registration using VoxelMorph	Excellent	Very Good	Excellent	5	6	5	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
151-Paper0363	Cortical analysis of heterogeneous clinical brain MRI scans for large-scale neuroimaging studies	Very Good	Good	Good	6	4	6	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
152-Paper2725	Coupling Bracket Segmentation and Tooth Surface Reconstruction on 3D Dental Models	Very Good	Excellent	Excellent	4	7	8	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	8
153-Paper1449	COVID-19 Pneumonia Classification with Transformer from Incomplete Modalities	Good	Good	Good	6	5	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
154-Paper1030	Cross-adversarial local distribution regularization for semi-supervised medical image segmentation	Satisfactory	Satisfactory	Very Good	5	4	6	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
155-Paper1398	Cross-Dataset Adaptation for Instrument Classification in Cataract Surgery Videos	Very Good	Good	Good	7	3	5	Somewhat confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
156-Paper1273	Cross-modulated Few-shot Image Generation for Colorectal Tissue Classification	Very Good	Good	Satisfactory	5	6	5	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
157-Paper2880	Cross-view Deformable Transformer for Non-displaced Hip Fracture Classification from Frontal-Lateral X-ray Pair	Good	Good	Excellent	5	5	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
158-Paper1811	CT Kernel Conversion Using Multi-Domain Image-to-Image Translation with Generator-Guided Contrastive Learning	Good	Very Good	Satisfactory	5	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	5
159-Paper3327	CTFlow: Mitigating Effects of Computed Tomography Acquisition and Reconstruction with Normalizing Flows	Good	Good	Very Good	5	3	6	Confident but not absolutely certain	Very confident	Very confident	N/A	4	N/A
160-Paper2586	CT-guided, Unsupervised Super-resolution Reconstruction of Single 3D Magnetic Resonance Image	Good	Very Good	Satisfactory	4	6	5	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
161-Paper2090	CXR-CLIP: Toward Large Scale Chest X-ray Language-Image Pre-training	Good	Good	Good	4	5	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
162-Paper0489	CycleSTTN: A Learning-Based Temporal Model for Specular Augmentation in Endoscopy	Satisfactory	Good	Very Good	3	5	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	5	5	4
163-Paper1426	DARC: Distribution-Aware Re-Coloring Model for Generalizable Nucleus Segmentation	Very Good	Good	Good	7	2	5	Very confident	Very confident	Very confident	7	3	N/A
164-Paper1312	DAS-MIL: Distilling Across Scales for MIL Classification of Histological WSIs	Good	Very Good	Excellent	5	7	7	Very confident	Very confident	Very confident	N/A	N/A	N/A
165-Paper3286	DAST: Differentiable Architecture Search with Transformer for 3D Medical Image Segmentation	Good	Excellent	Good	5	8	4	Somewhat confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
166-Paper3478	Data AUDIT: Identifying Attribute Utility- and Detectability-Induced Bias in Task Models	Excellent	Good	Good	6	5	6	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
167-Paper2036	DBTrans: A Dual-Branch Vision Transformer for Multi-modal Brain Tumor Segmentation	Good	Very Good	Poor	5	5	4	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	N/A	N/A	4
168-Paper1388	DCAug: Domain-aware & Content-consistent Cross-cycle Framework for Tumor Augmentation	Satisfactory	Very Good	Satisfactory	4	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Somewhat confident	5	N/A	N/A
169-Paper1588	Debiasing Medical Visual Question Answering via Counterfactual Training	Very Good	Satisfactory	Good	5	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	6
170-Paper1846	Deblurring Masked Autoencoder is Better Recipe for Ultrasound Image Recognition	Very Good	Good	Very Good	7	5	3	Very confident	Confident but not absolutely certain	Very confident	7	N/A	N/A
171-Paper2853	Decoupled Consistency for Semi-supervised Medical Image Segmentation	Good	Very Good	Very Good	7	6	3	Very confident	Very confident	Confident but not absolutely certain	7	6	N/A
172-Paper3513	DeDA: Deep Directed Accumulator	Very Good	Good	Good	6	5	5	Not confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
173-Paper2886	Deep Cellular Embeddings: An Explainable Plug and Play Improvement for Feature Representation in Histopathology	Satisfactory	Good	Excellent	4	3	7	Somewhat confident	Very confident	Very confident	N/A	N/A	N/A
174-Paper1269	Deep Homography Prediction for Endoscopic Camera Motion Imitation Learning	Good	Very Good	Good	5	5	5	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
175-Paper1976	Deep Learning for Tumor-associated Stroma Identification in Prostate Histopathology Slides	Very Good	Good	Good	6	5	4	Very confident	Somewhat confident	Confident but not absolutely certain	N/A	5	5
176-Paper3324	Deep Learning-Based Air Trapping Quantification using Paired Inspiratory-Expiratory Ultra-Low Dose CT	Good	Very Good	Very Good	6	7	5	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	5
177-Paper2137	Deep Learning-based Anonymization of Chest Radiographs: A Utility-preserving Measure for Patient Privacy	Very Good	Satisfactory	Good	5	4	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
178-Paper0746	Deep Mutual Distillation for Semi-Supervised Medical Image Segmentation	Good	Poor	Satisfactory	5	6	5	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
179-Paper2151	Deep probability contour framework for tumour segmentation and dose painting in PET images	Good	Very Good	Good	4	7	6	Confident but not absolutely certain	Confident but not absolutely certain	Somewhat confident	N/A	N/A	N/A
180-Paper3177	Deep Reinforcement Learning Based System for Intraoperative Hyperspectral Video Autofocusing	Good	Good	Very Good	6	5	3	Very confident	Not confident	Very confident	N/A	6	N/A
181-Paper3352	Deep unsupervised clustering for conditional identification of subgroups within a digital pathology image set	Good	Satisfactory	Satisfactory	6	5	4	Not confident	Confident but not absolutely certain	Somewhat confident	N/A	N/A	5
182-Paper2493	DeepGraphDMD: Interpretable Spatio-Temporal Decomposition of Non-linear Functional Brain Network Dynamics	Good	Excellent	Good	5	8	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
183-Paper1333	DeepSOZ: A Robust Deep Model for Joint Temporal and Spatial Seizure Onset Localization from Multichannel EEG Data	Good	Excellent	Good	6	6	5	Very confident	Confident but not absolutely certain	Somewhat confident	N/A	N/A	N/A
184-Paper0702	Democratizing Pathological Image Segmentation with Lay Annotators via Molecular-empowered Learning	Good	Very Good	Very Good	3	5	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	5	6	6
185-Paper0423	Dense Transformer based Enhanced Coding Network for Unsupervised Metal Artifact Reduction	Good	Very Good	Good	5	4	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	4	N/A
186-Paper2990	Deployment of Image Analysis Algorithms under Prevalence Shifts	Very Good	Very Good	Excellent	6	7	6	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
187-Paper0698	Detecting domain shift in multiple instance learning for digital pathology using Frechet Domain Distance	Excellent	Very Good	Good	8	5	3	Very confident	Confident but not absolutely certain	Very confident	8	6	N/A
188-Paper1410	Detecting the Sensing Area of A Laparoscopic Probe in Minimally Invasive Cancer Surgery	Satisfactory	Good	Good	4	5	6	Very confident	Somewhat confident	Confident but not absolutely certain	N/A	6	N/A
189-Paper1897	Detection of basal cell carcinoma in whole slide images	Good	Very Good	Very Good	4	6	5	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	6
190-Paper1666	Detection-free Pipeline for Cervical Cancer Screening of Whole Slide Images	Very Good	Good	Good	4	6	5	Very confident	Very confident	Very confident	5	N/A	N/A
191-Paper1896	Developing Large Pre-trained Model for Breast Tumor Segmentation from Ultrasound Images	Very Good	Satisfactory	Good	7	4	3	Confident but not absolutely certain	Very confident	Very confident	N/A	5	3
192-Paper0638	Development and Fast Transferring of General Connectivity-based Diagnosis Model to New Brain Disorders with Adaptive Graph Meta-learner	Very Good	Very Good	Satisfactory	5	6	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	5
193-Paper0210	Devil is in Channels: Contrastive Single Domain Generalization for Medical Image Segmentation	Very Good	Very Good	Good	7	7	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
194-Paper0938	DHC: Dual-debiased Heterogeneous Co-training Framework for Class-imbalanced Semi-supervised Medical Image Segmentation	Very Good	Good	Satisfactory	5	5	3	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	5
195-Paper0420	Dice Semimetric Losses: Optimizing the Dice Score with Soft Labels	Very Good	Excellent	Excellent	6	6	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
196-Paper1276	DiffDP: Radiotherapy Dose Prediction via a Diffusion Model	Very Good	Excellent	Very Good	6	4	7	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
197-Paper2600	Differentiable Beamforming for Ultrasound Autofocusing	Excellent	Very Good	Very Good	4	6	6	Very confident	Very confident	Confident but not absolutely certain	N/A	6	6
198-Paper0807	DiffMIC: Dual-Guidance Diffusion Network for Medical Image Classification	Good	Very Good	Good	4	7	7	Somewhat confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
199-Paper2466	DiffMix: Diffusion Model-based Data Synthesis for Nuclei Segmentation and Classification in Imbalanced Pathology Image Datasets	Good	Poor	Very Good	5	4	7	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
200-Paper0421	DiffULD: Diffusive Universal Lesion Detection	Good	Good	Satisfactory	5	4	3	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	4	5
201-Paper1624	DiffuseIR: Diffusion Models For Isotropic Reconstruction of 3D Microscopic Images	Excellent	Good	Very Good	6	4	4	Confident but not absolutely certain	Very confident	Very confident	N/A	5	N/A
202-Paper0551	Diffusion Kinetic Model for Breast Cancer Segmentation in Incomplete DCE-MRI	Very Good	Excellent	Good	5	6	5	Confident but not absolutely certain	Very confident	Somewhat confident	N/A	N/A	N/A
203-Paper2509	Diffusion Transformer U-Net for Medical Image Segmentation	Very Good	Very Good	Excellent	6	5	7	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
204-Paper2170	Diffusion-based Data Augmentation for Nuclei Image Segmentation	Good	Very Good	Very Good	4	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	5	5	5
205-Paper2550	Diffusion-Based Hierarchical Multi-Label Object Detection to Analyze Panoramic Dental X-rays	Very Good	Excellent	Good	5	8	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
206-Paper1972	DiMix: Disentangle-and-Mix based domain generalizable medical image segmentation	Good	Good	Poor	5	6	3	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	5
207-Paper3033	DISA: DIfferentiable Similarity Approximation for Universal Multimodal Registration	Satisfactory	Good	Satisfactory	3	6	4	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	5	5	3
208-Paper1291	DisAsymNet: Disentanglement of Asymmetrical Abnormality on Bilateral Mammograms using Self-adversarial Learning	Very Good	Very Good	Very Good	7	5	4	Very confident	Very confident	Very confident	N/A	N/A	N/A
209-Paper2249	DisC-Diff: Disentangled Conditional Diffusion Model for Multi-Contrast MRI Super-Resolution	Satisfactory	Very Good	Very Good	5	6	6	Very confident	Very confident	Very confident	N/A	N/A	N/A
210-Paper1075	Discovering Brain Network Dysfunction in Alzheimer's Disease Using Brain Hypergraph Neural Network	Good	Excellent	Very Good	6	4	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	4	N/A
211-Paper2528	Disentangling Site Effects with Cycle-Consistent Adversarial Autoencoder for Multi-site Cortical Data Harmonization	Excellent	Very Good	Good	6	6	4	Very confident	Very confident	Confident but not absolutely certain	N/A	6	4
212-Paper2523	Distilling BlackBox to Interpretable models for Efficient Transfer Learning	Very Good	Good	Very Good	5	7	5	Very confident	Somewhat confident	Very confident	N/A	N/A	N/A
213-Paper3339	Distributionally Robust Image Classifiers for Stroke Diagnosis in Accelerated MRI	Very Good	Good	Good	5	4	6	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
214-Paper1730	Diversity-preserving Chest Radiographs Generation from Reports in One Stage	Very Good	Excellent	Good	5	6	5	Somewhat confident	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
215-Paper0718	DMCVR: Morphology-Guided Diffusion Model for 3D Cardiac Volume Reconstruction	Satisfactory	Very Good	Good	6	3	6	Somewhat confident	Very confident	Confident but not absolutely certain	N/A	5	6
216-Paper1258	Do we really need that skip-connection? Understanding its interplay with task complexity	Excellent	Excellent	Very Good	7	4	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
217-Paper1780	Domain Adaptation for Medical Image Segmentation using Transformation-Invariant Self-Training	Very Good	Good	Very Good	4	5	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	4	5	N/A
218-Paper1703	Domain-agnostic segmentation of thalamic nuclei from joint structural and diffusion MRI	Very Good	Very Good	Very Good	7	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
219-Paper3114	DOMINO++: Domain-aware Loss Regularization for Deep Learning Generalizability	Very Good	Very Good	Good	5	6	5	Very confident	Confident but not absolutely certain	Somewhat confident	N/A	6	N/A
220-Paper2364	Dose Guidance for Radiotherapy-oriented Deep Learning Segmentation	Very Good	Very Good	Very Good	4	7	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
221-Paper0595	DRMC: A Generalist Model with Dynamic Routing for Multi-Center PET Image Synthesis	Very Good	Good	Good	6	6	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
222-Paper1437	Dual Arbitrary Scale Super-Resolution for Multi-Contrast MRI	Good	Very Good	Very Good	5	6	6	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	6	N/A
223-Paper1255	Dual Conditioned Diffusion Models for Out-Of-Distribution Detection: Application to Fetal Ultrasound Videos	Good	Very Good	Very Good	3	6	5	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	4	N/A	5
224-Paper1450	Dual Domain Motion Artifacts Correction for MR Imaging Under Guidance of K-space Uncertainty	Very Good	Good	Very Good	6	5	6	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
225-Paper0931	DULDA: Dual-domain Unsupervised Learned Descent Algorithm for PET image reconstruction	Good	Good	Good	6	4	5	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	4	N/A
226-Paper2947	Dynamic Curriculum Learning via In-Domain Uncertainty for Medical Image Classification	Very Good	Excellent	Good	6	5	5	Somewhat confident	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
227-Paper1793	Dynamic Functional Connectome Harmonics	Very Good	Excellent	Good	6	7	5	Confident but not absolutely certain	Very confident	Somewhat confident	N/A	N/A	N/A
228-Paper2346	Dynamic Graph Neural Representation Based Multi-modal Fusion Model for Cognitive Outcome Prediction in Stroke Cases	Good	Satisfactory	Very Good	5	3	7	Confident but not absolutely certain	Very confident	Very confident	5	4	N/A
229-Paper0990	Dynamic Structural Brain Network Construction by Hierarchical Prototype Embedding GCN using T1-MRI	Good	Good	Good	6	5	4	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
230-Paper0947	EchoGLAD: Hierarchical Graph Neural Networks for Left Ventricle Landmark Detection on Echocardiograms	Good	Excellent	Good	5	6	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	6	N/A	N/A
231-Paper0891	ECL: Class-Enhancement Contrastive Learning for Long-tailed Skin Lesion Classification	Very Good	Satisfactory	Very Good	6	5	7	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	6	6	N/A
232-Paper1593	EdgeAL: An Edge Estimation Based Active Learning Approach for OCT Segmentation	Good	Good	Very Good	3	5	5	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	5	5	4
233-Paper2684	Edge-aware Multi-task Network for Integrating Quantification Segmentation and Uncertainty Prediction of Liver Tumor on Multi-modality Non-contrast MRI	Very Good	Very Good	Very Good	6	6	6	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
234-Paper1416	EdgeMixup: Embarrassingly Simple Data Alteration to Improve Lyme Disease Lesion Segmentation and Diagnosis Fairness	Good	Satisfactory	Very Good	6	5	6	Very confident	Very confident	Somewhat confident	N/A	N/A	N/A
235-Paper1468	Efficient Spatiotemporal Learning of Microscopic Video for Augmented Reality-Guided Phacoemulsification Cataract Surgery	Excellent	Satisfactory	Very Good	6	5	4	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	6	N/A	4
236-Paper0963	Efficient Subclass Segmentation in Medical Images	Very Good	Very Good	Satisfactory	5	5	5	Very confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
237-Paper1980	EGE-UNet: an Efficient Group Enhanced UNet for skin lesion segmentation	Very Good	Very Good	Excellent	7	6	7	Confident but not absolutely certain	Very confident	Very confident	N/A	N/A	N/A
238-Paper1304	Elongated Physiological Structure Segmentation via Spatial and Scale Uncertainty-aware Network	Very Good	Very Good	Very Good	5	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
239-Paper0778	Enabling Geometry Aware Learning Through Differentiable Epipolar View Translation	Very Good	Good	Good	6	6	5	Very confident	Very confident	Somewhat confident	N/A	N/A	N/A
240-Paper3118	Encoding Surgical Videos as Latent Spatiotemporal Graphs for Object and Anatomy-Driven Reasoning	Good	Good	Good	5	4	5	Very confident	Somewhat confident	Confident but not absolutely certain	N/A	N/A	5
241-Paper0178	EndoSurf: Neural Surface Reconstruction of Deformable Tissues with Stereo Endoscope Videos	Very Good	Very Good	Satisfactory	6	6	5	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
242-Paper0917	Enhance Early Diagnosis Accuracy of Alzheimer's Disease by Elucidating Interactions between Amyloid Cascade and Tau Propagation	Satisfactory	Very Good	Very Good	4	5	6	Very confident	Somewhat confident	Confident but not absolutely certain	N/A	N/A	6
243-Paper0934	Enhancing Automatic Placenta Analysis through Distributional Feature Recomposition in Vision-Language Contrastive Learning	Good	Good	Very Good	4	4	7	Somewhat confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	7
244-Paper1515	Enhancing Breast Cancer Risk Prediction by Incorporating Prior Images	Good	Good	Good	6	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
245-Paper1308	EoFormer: Edge-oriented Transformer for Brain Tumor Segmentation	Good	Good	Good	6	5	5	Very confident	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
246-Paper1036	EPVT: Environment-aware Prompt Vision Transformer for Domain Generalization in Skin Lesion Recognition	Good	Good	Good	6	3	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	5
247-Paper0986	Estimated time to surgical procedure completion: An exploration of video analysis methods	Good	Good	Good	4	4	5	Very confident	Confident but not absolutely certain	Very confident	4	6	5
248-Paper0896	Estimation of 3T MR images from 1.5T images regularized with Physics based Constraint	Good	Very Good	Satisfactory	5	6	4	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
249-Paper2401	Evidence Reconciled Neural Network for Out-of-Distribution Detection in Medical Images	Good	Good	Very Good	3	6	6	Confident but not absolutely certain	Somewhat confident	Somewhat confident	6	6	N/A
250-Paper3100	Evolutionary normalization optimization boosts semantic segmentation network performance	Good	Very Good	Very Good	4	5	5	Very confident	Somewhat confident	Very confident	N/A	N/A	N/A
251-Paper2131	Explainable Image Classification with Improved Trustworthiness for Tissue Characterisation	Good	Good	Good	5	5	4	Very confident	Very confident	Somewhat confident	N/A	5	4
252-Paper3184	Explaining Massive-Training Artificial Neural Networks in Medical Image Analysis Task through Visualizing Functions within the Models	Good	Excellent	Satisfactory	7	6	3	Somewhat confident	Very confident	Very confident	N/A	4	N/A
253-Paper2216	Exploring Brain Function-Structure Connectome Skeleton via Self-Supervised Graph-Transformer Approach	Good	Satisfactory	Satisfactory	7	4	4	Very confident	Very confident	Very confident	7	N/A	3
254-Paper2001	Exploring Unsupervised Cell Recognition with Prior Self-activation Maps	Good	Excellent	Satisfactory	5	5	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
255-Paper2261	Eye-Guided Dual-Path Network for Multi-organ Segmentation of Abdomen	Very Good	Very Good	Satisfactory	6	7	3	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
256-Paper0744	Factor Space and Spectrum for Medical Hyperspectral Image Segmentation	Very Good	Very Good	Satisfactory	5	6	5	Confident but not absolutely certain	Somewhat confident	Confident but not absolutely certain	N/A	N/A	N/A
257-Paper1119	FairAdaBN: Mitigating unfairness with adaptive batch normalization and its application to dermatological disease classification	Good	Very Good	Good	4	6	5	Very confident	Confident but not absolutely certain	Confident but not absolutely certain	5	N/A	N/A
258-Paper2436	Faithful Synthesis of Low-dose Contrast-enhanced Brain MRI Scans using Noise-preserving Conditional GANs	Very Good	Very Good	Satisfactory	5	5	5	Somewhat confident	Confident but not absolutely certain	Very confident	N/A	N/A	N/A
259-Paper2135	Fast Non-Markovian Diffusion Model for Weakly Supervised Anomaly Detection in Brain MR Images	Good	Satisfactory	Very Good	5	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	N/A
260-Paper1737	Fast Reconstruction for Deep Learning PET Head Motion Correction	Good	Good	Very Good	6	4	6	Confident but not absolutely certain	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
261-Paper0905	Feature-Conditioned Cascaded Video Diffusion Models for Precise Echocardiogram Synthesis	Good	Good	Poor	6	6	4	Confident but not absolutely certain	Somewhat confident	Somewhat confident	N/A	N/A	N/A
262-Paper2602	FedContrast-GPA: Heterogeneous Federated Optimization via Local Contrastive Learning and Global Process-aware Aggregation	Very Good	Very Good	Excellent	4	6	6	Very confident	Very confident	Very confident	5	N/A	N/A
263-Paper3399	FEDD - Fair, Efficient, and Diverse Diffusion-based Lesion Segmentation and Malignancy Classification	Very Good	Satisfactory	Good	6	2	5	Very confident	Very confident	Very confident	N/A	N/A	N/A
264-Paper0601	Federated Condition Generalization on Low-dose CT Reconstruction via Cross-domain Learning	Excellent	Excellent	Very Good	7	7	7	Very confident	Very confident	Very confident	N/A	N/A	N/A
265-Paper0762	Federated Uncertainty-Aware Aggregation for Fundus Diabetic Retinopathy Staging	Very Good	Good	Poor	4	6	4	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	N/A	N/A	5
266-Paper0435	FedGrav: An Adaptive Federated Aggregation Algorithm for Multi-institutional Medical Image Segmentation	Very Good	Poor	Very Good	6	3	6	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	N/A	4	6
267-Paper2902	FedIIC: Towards Robust Federated Learning for Class-Imbalanced Medical Image Classification	Good	Satisfactory	Very Good	3	6	7	Very confident	Very confident	Confident but not absolutely certain	N/A	N/A	N/A
268-Paper1214	FedSoup: Improving Generalization and Personalization in Federated Learning via Selective Model Interpolation	Very Good	Very Good	Very Good	6	3	7	Somewhat confident	Confident but not absolutely certain	Very confident	6	5	6
269-Paper0418	FE-STGNN: Spatio-Temporal Graph Neural Network with Functional and Effective Connectivity Fusion for MCI Diagnosis	Good	Good	Very Good	5	3	6	Somewhat confident	Very confident	Very confident	N/A	3	6
270-Paper1257	FeSViBS: Federated Split Learning of Vision Transformer with Block Sampling	Excellent	Very Good	Very Good	7	4	5	Confident but not absolutely certain	Very confident	Very confident	7	5	N/A
271-Paper0786	Few Shot Medical Image Segmentation with Cross Attention Transformer	Good	Very Good	Good	4	6	5	Confident but not absolutely certain	Confident but not absolutely certain	Very confident	5	N/A	N/A
272-Paper1190	Few-Shot Medical Image Segmentation via a Region-enhanced Prototypical Transformer	Very Good	Good	Good	5	4	6	Confident but not absolutely certain	Confident but not absolutely certain	Confident but not absolutely certain	5	N/A	N/A
273-Paper1586	Fine-grained Hand Bone Segmentation via Adaptive Multi-dimensional Convolutional Network and Anatomy-constraint Loss	Good	Good	Very Good	5	3	6	Confident but not absolutely certain	Very confident	Somewhat confident	5	5	N/A
