Paper ID	Paper title	For scoring a given reviewer	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of  the items falling into this category	Put 1 if the reviewer has commented on at least one of these two aspects	Put 1 if the reviewer has said that the code is or will be available	Choose the category of statement	Choose the category of comments	For scoring a given reviewer									For scoring a given reviewer									Meta-categories			Aggregate over 3 reviews						Put 1 if all reviewers agree. Put 0 if at least two disagree, or if at least one review is too vague to tell if they agree			
082-Paper0174	Automatic Bleeding Risk Rating System of Gastric Varices	Hard to reproduce.    The key equations of RCN module is missing.  They didn't mention the data augmentation.	1	0	0	0	0	0	2. (-) statement 	2. (-) comments	The authors curate a in-house dataset, and experiment only on the closed source data.	0	1	0	0	0	0	1. (none) statement	2. (-) comments	The paper is clearly written but, releasing the code will help improve its reproducibility. Also, the paper intends to release the dataset in the future.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	Irreproducible	Irreproducible	Irreproducible	1	2	1	0	0	0	Agreement	https://github.com/LuyueShi/gastric-varices	0	Empty
083-Paper0836	Automatic Retrieval of Corresponding US Views in Longitudinal Examinations	The paper is reproducible, mainly because the authors provide a (redacted) URL of their source code.	0	0	1	0	0	1	3. (+) statement	3. (+) comments	They will free the code. But they also give enough details in the paper so that the architecture can be reproduce. They give all the necessary information if you want to reproduce the training, like the values of: Epochs, learning rate, batch size, number of images for train/val/test, size of the images, even the framework used.	1	0	1	1	0	1	3. (+) statement	3. (+) comments	Besides a lack of justification for some of the architecture and hyperparameter choices, no major issues.	1	0	0	1	0	0	3. (+) statement	4. (-/+) comments	Reproducible	Reproducible	Reproducible	2	0	2	2	0	3	Agreement	https://github.com/hamidehkerdegari/Muscle-view-retrieval	1	
084-Paper2746	Automatic Segmentation of Internal Tooth Structure from CBCT Images using Hierarchical Deep Learning	The method is tested on a single internal dataset of 3D dental CBCT images collected from a single institution. Neither the data nor the code have been made publicly available and it has not been validated on external or public data, which hinders the reproducibility of the method.	0	1	1	0	0	0	2. (-) statement 	2. (-) comments	It has strong reproducibility.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The authors mention in the reproducibility checklist that code/pretrained models will be made public.The hyper-parameters,batch size,learning rate, epochs,gpu etc are mentioned in the supplementary material. Hence it is reasonable to expect that the code will be reproducible.	0	0	1	1	0	1	3. (+) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	0	1	2	1	0	2	Disagreement	https://github.com/Saeeeae/Internal-Tooth-Segmentation	0	Empty
085-Paper2247	Automatic Surgical Reconstruction for Orbital Blow-out Fracture via Symmetric Prior Anatomical Knowledge-Guided Adversarial Generative Network	The paper's main concept is clear and I have confidence in its ability to be reproduced.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	good things about reproducibility  o well described methods  o clear pre and post processing described  o  limiting the ability to reproduce  o a closed dataset is used  o The method for manual annotation of the images could be better described. Little is said about how the segmentations were done than an experienced clinician did them. It is unlikely that another clinician would exactly segment and reconstruct as done in this investigation	1	1	0	0	0	0	1. (none) statement	4. (-/+) comments	The paper contains small amount of implementation details. However, the authors will provide code, which may improve the reproducibility of the paper.	1	0	1	0	0	1	1. (none) statement	4. (-/+) comments	Reproducible	Irreproducible	Irreproducible	2	1	1	0	0	1	Disagreement	N/A	0	
086-Paper0682	B-Cos Aligned Transformers Learn Human-Interpretable Features	Sufficient information is provided	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Not clear to me.	0	0	0	0	0	0	2. (-) statement 	1. (none) comments	good, if the code will be public	0	0	1	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Irreproducible	Reproducible	0	0	1	0	0	2	Disagreement	N/A	0	
087-Paper2016	BerDiff: Conditional Bernoulli Diffusion Model for Medical Image Segmentation	The method is very clear, with sufficient diagrams and formulas to illustrate the proposed algorithm, so this method is highly reproducible.	1	0	0	0	0	0	3. (+) statement	3. (+) comments	The algorithm can be reproduced to some extent.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The code is not provided, but the description of the proposed method is clear enough to re-implement.	1	0	1	0	0	0	3. (+) statement	4. (-/+) comments	Reproducible	Reproducible	Reproducible	2	0	1	0	0	3	Agreement	https://github.com/takimailto/BerDiff	0	Empty
088-Paper1399	Beyond the Snapshot: Brain Tokenized Graph Transformer for Longitudinal Brain Functional Connectome Embedding	The reproducibility of this work is relatively low considering that they provide neither the source code nor the network design and training details.	1	0	1	1	0	0	2. (-) statement 	2. (-) comments	It needs to provide more details about the network architectures and learning strategies.	1	0	0	1	0	0	1. (none) statement	2. (-) comments	The experimental environment and configurations are provided in the supplementary file.	0	0	0	1	0	0	1. (none) statement	0. Unusable (comments)	Irreproducible	Irreproducible	Unusable	2	0	1	3	0	0	Agreement	https://github.com/ZijianD/Brain-TokenGT.git	1	
089-Paper1392	Bidirectional Mapping with Contrastive Learning on Multimodal Neuroimaging Data	Good.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	This work is clear in algorithms and datasets description, experiemental result reporting and code release.	1	1	1	1	0	1	1. (none) statement	3. (+) comments	The experimental results are based on two public-released datasets. The main settings about the experiments and model parameters are given. However, the specific selected participants of the data, data preprocessing steps, and the cross-validation results are not clear enough. Based on the consideration about these contents, the idea was reasonable, while it is doubtful to be reproducible.	1	1	0	1	0	0	2. (-) statement 	4. (-/+) comments	Reproducible	Reproducible	Irreproducible	2	2	1	2	0	2	Disagreement	https://github.com/FlynnYe/BMCL	0	Empty
090-Paper2993	BigFUSE: Global Context-Aware Image Fusion in Dual-View Light-Sheet Fluorescence Microscopy with Image Formation Prior	I cannot judge on the part of code due to lack of information.	0	0	1	0	0	0	1. (none) statement	1. (none) comments	This paper is clearly written and is reproducible.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Some parameters used in preparing the data could be specified. Runtime was not reported.	1	0	0	1	0	0	1. (none) statement	2. (-) comments	Unusable	Reproducible	Irreproducible	1	0	1	1	0	1	Disagreement	N/A	0	
091-Paper1973	Black-box Domain Adaptative Cell Segmentation via Multi-source Distillation	No code provided.	0	0	1	0	0	0	1. (none) statement	2. (-) comments	Open-sourcing the code is highly encouraged.	0	0	1	0	0	0	1. (none) statement	2. (-) comments	All datasets used in the work are public, and the source code is not available.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	Irreproducible	Irreproducible	Irreproducible	0	1	3	0	0	0	Agreement	N/A	0	
092-Paper1650	Boosting Breast Ultrasound Video Classification by the Guidance of Keyframe Feature Centers	Ok.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reasonably reproducible.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Generally, the details on the experimental setup for the compared methods and ablation study are lacking.  Choice of model, training strategy and hyperparameters is not motivated despite saying so in the reproducibility report.  The authors state that "The average runtime for each result, or estimated energy cost." and "An analysis of situations in which the method failed" are not applicable to this study, which I do not agree with.  the authors state that they have included a "Discussion of clinical significance" which I do not agree with.	1	0	0	1	0	0	1. (none) statement	2. (-) comments	Reproducible	Reproducible	Irreproducible	1	0	0	1	0	2	Disagreement	https://github.com/PlayerSAL/KGA-Net	1	README not filled
093-Paper1247	Boundary Difference Over Union Loss For Medical Image Segmentation	The authors provide links to the two datasets used in their study and mention several hyperparameters used for their model and baselines. However, some important hyperparameters are not explicitly stated, such as the learning rate, batch size, and optimizer. The authors do note that their code will be made publicly available, which will allow interested readers to access this information.	0	1	1	1	0	1	1. (none) statement	4. (-/+) comments	The reproducibility checklist agrees to what can be seen in the paper.	0	0	0	0	0	0	1. (none) statement	0. Unusable (comments)	It's easy to reproduce.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Unusable	Reproducible	0	1	1	1	0	1	Disagreement	https://github.com/sunfan-bvb/BoundaryDoULoss	1	
094-Paper2691	Boundary-weighted logit consistency improves calibration of segmentation networks	Good. Datasets are publicly available, and methods are described with acceptable detail.	1	1	0	0	0	0	3. (+) statement	3. (+) comments	The reproducibility checklist agrees to what can be seen in the paper.	0	0	0	0	0	0	1. (none) statement	0. Unusable (comments)	The reproducibility of the paper can be improved.  Pros    The authors state in their reproducibility report that all code will be release upon acceptance.  The paper uses publicly available data sets to conduct experiments.  The general method is well described, which makes reimplementation of CR possible.  Most parameters of the training procedure are reported.    Cons    As stated above, BWCR is described insufficiently and could not be re-implemented given only the information in the paper.  The parameters of the geometric transformations T_\psi are not given in the paper.	1	1	1	1	0	1	2. (-) statement 	4. (-/+) comments	Reproducible	Unusable	Irreproducible	2	2	1	1	0	1	Disagreement	https://github.com/neerakara/BWCR	1	README not filled
095-Paper0844	Brain Anatomy-Guided MRI Analysis for Assessing Clinical Progression of Cognitive Impairment with Structural MRI	The code is not made publicly available, yet. Nonetheless, they provide some implementation details on the architecture, hyperparameters, loss function, hardware and software. The data for the pretext task is publicly available, while the data for the prediction task seems private (thus not reproducible).	1	1	1	1	0	0	1. (none) statement	4. (-/+) comments	Method should not be difficult to reproduce. For the data, authors are using 9,544 MRIs from ADNI. However, it is unclear if they plan to release the tissue segmentation maps.	0	1	0	0	0	0	3. (+) statement	4. (-/+) comments	None	0	0	0	0	0	0	1. (none) statement	1. (none) comments	Irreproducible	Reproducible	Unusable	1	2	1	1	0	1	Disagreement	https://github.com/goodaycoder/BAR	1	
096-Paper1572	BrainUSL: Unsupervised Graph Structure Learning for Functional Brain Network Analysis	The code is available to the reviewer however important experimental details are missing in the manuscript. Data are private for privacy reasons.	0	1	1	1	0	1	1. (none) statement	4. (-/+) comments	It is good. The code for the model is provided.	0	0	1	0	0	1	3. (+) statement	3. (+) comments	It is not clear how the learned brain connectivity structure is used for the final diagnosis/classification.	0	0	0	1	0	0	1. (none) statement	2. (-) comments	Irreproducible	Reproducible	Irreproducible	0	1	2	2	0	1	Disagreement	https://github.com/IntelliDAL/Graph/tree/main/BrainUSL	1	Not updated (says paper is not accepted)
097-Paper1347	Breast Ultrasound Tumor Classification Using a Hybrid Multitask CNN-Transformer Network	I suggest the authors share their code and log. Though, The reproducibility is satisfactory because the method is not complicated and is introduced in detail.	1	0	1	0	0	0	3. (+) statement	4. (-/+) comments	As the technical quality of the paper is low and there is no link to public codes, the work would be hardly reproducible.	0	0	1	0	0	0	2. (-) statement 	2. (-) comments	The proposed method is validated on four public datasets, and the results are provided and can be reproduced. However, it would be beneficial to provide the code for better reproducibility.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	Reproducible	Irreproducible	Irreproducible	1	1	3	0	0	1	Disagreement	N/A	0	
098-Paper2554	Bridging ex-vivo training and intra-operative deployment for surgical margin assessment with Evidential Graph Transformer	It is reproducible. Experimental design and detailed introduction of the datasets for validation is needed.	0	1	0	1	0	0	3. (+) statement	2. (-) comments	The reproducibility of this paper seems moderate.	0	0	0	0	0	0	2. (-) statement 	1. (none) comments	Code was not provided. Unclear for reproducibility.	0	0	1	0	0	0	1. (none) statement	2. (-) comments	Reproducible	Irreproducible	Irreproducible	0	1	1	1	0	1	Disagreement	https://github.com/med-i-lab/evidential_graph_transformers/	0	404
099-Paper1146	Building A Bridge: Close The Domain Gap in CT Metal Artifact Reduction	The complete network structure is presented. The data used in this article comes from the public dataset, and the training details and parameter settings are explained in the article. This article is with good reproducibility.	1	1	0	1	0	0	3. (+) statement	3. (+) comments	can be reproduced according to the paper.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	This paper analyzes the shortcomings of unsupervised and fully supervised methods on the metal artifact reduction (MAR) problem raised. The structure of the article is reasonable, but there is a mismatch between the figure and the text.	0	0	0	0	0	0	1. (none) statement	0. Unusable (comments)	Reproducible	Reproducible	Unusable	1	1	0	1	0	2	Agreement	N/A	0	
100-Paper2579	Can point cloud networks learn statistical shape models of anatomies?	The paper is using existing methods which allows for easy reproduction.	0	0	0	0	0	0	3. (+) statement	3. (+) comments	The reproducibility of the paper is fair. Release of code is recommended.	0	0	1	0	0	0	3. (+) statement	2. (-) comments	The authors conduct experiments on several datasets that are not public. The supplementary material gives more details about the datasets. The implementation should be accessible in each method chosen in this paper.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	Reproducible	Reproducible	Irreproducible	0	1	2	0	0	2	Disagreement	https://github.com/jadie1/PointCompletionSSM	1	
101-Paper1428	CARL: Cross-aligned Representation Learning for Multi-view Lung Cancer Histology Classification	The authors suggest that they will open the codebase of the proposed work and they have used public dataset, so it seems to be ok.	0	1	1	0	0	1	3. (+) statement	3. (+) comments	I think this paper can be reproducible.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The authors agree to publish their training and evaluation code on acceptance, which greatly improves reproducibility. In contrast to the reproducibility form, the manuscript does not include a measure of variation, such as error bars.	0	0	1	1	1	1	3. (+) statement	4. (-/+) comments	Reproducible	Reproducible	Reproducible	0	1	2	1	1	3	Agreement	https://github.com/candyknife/CARL	1	README not filled
102-Paper3517	Cascade Transformer Encoded Boundary-Aware Multibranch Fusion Networks for Real-Time and Accurate Colonoscopic Lesion Segmentation	This paper would be highly reproducible if the authors do indeed release their dataset. Their method is well defined and the data would be available. As mentioned in some of my feedback, the main hurdle to reproducibility would be the lack of detail provided regarding the handling and preprocessing of the datasets.	0	1	0	0	0	0	1. (none) statement	4. (-/+) comments	The author will release the code of the method and the new colonoscopic lesion image data.	0	1	1	0	0	0	1. (none) statement	3. (+) comments	The reproducibility of this paper is fine.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Reproducible	Reproducible	0	2	1	0	0	2	Disagreement	N/A	0	
103-Paper0651	CAS-Net: Cross-view Aligned Segmentation by Graph Representation of Knees	The code is not provided, but the dataset is accessible. The reproducibility of this paper is good.	0	1	1	0	0	0	3. (+) statement	4. (-/+) comments	Assuming that the code is made available, and details of which of the images from the OAI dataset were used, this should be reproducible.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	It should be possible to reproduce the results with the given description	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Irreproducible	Reproducible	0	2	2	0	0	2	Disagreement	N/A	0	
104-Paper0442	Category-independent Visual Explanation for Medical Deep Network Understanding	In my view, the experiments performed in this paper are reproducible.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The hyper parameters are specified but there is no mention of a public repository anywhere. The model for the eye fundus data is not described.	1	0	1	1	0	0	1. (none) statement	4. (-/+) comments	Even though the code is not provided, I consider this paper is reproducible as the model architecture, datasets, parameters, evaluation metrics are clearly listed.	1	1	1	1	0	0	3. (+) statement	4. (-/+) comments	Reproducible	Irreproducible	Reproducible	2	1	2	2	0	2	Disagreement	N/A	0	
105-Paper0176	Category-level Regularized Unlabeled-to-labeled Learning for Semi-supervised Prostate Segmentation with Multi-site Unlabeled Data	In the reproducibility checklist, the authors promised to release the code and trained weights for their proposed method. It is essential to others reproduce their results.   For the sake of completeness, I would also suggest the authors report the average runtime and the memory footprint for each approach evaluated in their experiments.	0	0	1	1	0	1	1. (none) statement	4. (-/+) comments	No code provided	0	0	1	0	0	0	1. (none) statement	2. (-) comments	Good reproducibility	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Irreproducible	Reproducible	0	0	2	1	0	1	Disagreement	N/A	0	
106-Paper2024	CAT-ViL: Co-Attention Gated Vision-Language Embedding for Visual Question Localized-Answering in Robotic Surgery	The paper has provided most of the details.	0	0	0	0	0	0	1. (none) statement	3. (+) comments	This research is reproducible based on the checklist.	0	0	0	0	0	0	1. (none) statement	1. (none) comments	I believe that this paper has the potential to contribute to the community through its reproducibility, especially if the authors open-source their code and software. This would allow other researchers to easily replicate their results and build upon their findings.	0	0	1	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Unusable	Reproducible	0	0	1	0	0	2	Agreement	https://github.com/longbai1006/CAT-ViL	1	
107-Paper0204	CDiffMR: Can We Replace the Gaussian Noise with K-Space Undersampling for Fast MRI?	The authors have plans to make the code and dataset public, which would benefit the community in recognizing this problem. The evaluation metric is clearly described so that the result would be convincing.	0	1	1	1	0	1	1. (none) statement	3. (+) comments	The authors have chosen to share the code, pretrained models and data upon acceptance.	0	1	1	0	0	1	1. (none) statement	3. (+) comments	The requirements resulting from the answers to the checklist are met in the manuscript.	0	0	0	0	0	0	1. (none) statement	0. Unusable (comments)	Reproducible	Reproducible	Unusable	0	2	2	1	0	2	Agreement	https://github.com/ayanglab/CDiffMR	0	Empty
108-Paper0672	CellGAN: Conditional Cervical Cell Synthesis for Augmenting Cytopathological Image Classification	The proposed work is described clearly and logically and has a certain reproducibility.	0	0	0	0	0	0	3. (+) statement	3. (+) comments	Mostly reproducible. Sufficient references and details are provided in the paper for the proposed method, but not the implementation details of the compared methods.	1	0	0	0	0	0	3. (+) statement	4. (-/+) comments	The authors did include the sufficient details of the computational infrastructure, however, the hyper-parameters provided might not be enough to reproduce the model training. The authors did not provide sufficient details regarding data preprocessing.	1	0	0	1	0	0	1. (none) statement	4. (-/+) comments	Reproducible	Reproducible	Irreproducible	2	0	0	1	0	2	Disagreement	https://github.com/ZhenrongShen/CellGAN	1	
109-Paper0692	CenterlinePointNet++: A new point cloud based architecture for coronary artery pressure drop and vFFR estimation	Not easy to reproduce. A lot of important implementation details are not given.	1	0	0	0	0	0	2. (-) statement 	2. (-) comments	The synthetic data cannot be accessed openly, and neither can the parameters used for the simulation.	0	1	0	1	0	0	1. (none) statement	2. (-) comments	Methods were clearly described and code will be released. The paper seems to be reproducible.	1	0	1	0	0	1	3. (+) statement	3. (+) comments	Irreproducible	Irreproducible	Reproducible	2	1	1	1	0	1	Disagreement	N/A	0	
110-Paper0619	Centroid-aware feature recalibration for cancer grading in pathology images	Reproducibility is good.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The version and platform of the model implementation should also be given for the reproducibility.  The specific variant of the compared methods should also be made clear. E.g. which variant of Swin is used?	1	0	0	0	0	0	1. (none) statement	2. (-) comments	The paper offers implementation details and a description of the datasets used in the study.	1	1	0	0	0	0	1. (none) statement	3. (+) comments	Reproducible	Irreproducible	Reproducible	2	1	0	0	0	2	Disagreement	https://github.com/colin19950703/CaFeNet	1	
111-Paper2489	Certification of Deep Learning Models for Medical Image Segmentation	The reproducibility of this paper is low. In the reproducibility checklist, the authors have replied "Yes" to all the items, but almost all of them are missing from the paper or the supplementary material.    "A clear declaration of what software framework and version you used." -> missing.  "The range of hyper-parameters considered, method to select the best hyper-parameter configuration, and specification of all hyper-parameters used to generate results." -> missing.  "Information on sensitivity regarding parameter changes." -> missing.  "The exact number of training and evaluation runs." -> missing.  "A description of results with central tendency (e.g. mean) & variation (e.g. error bars)." -> missing.  "An analysis of statistical significance of reported differences in performance between methods." -> missing.  "The average runtime for each result, or estimated energy cost." -> missing.  "A description of the memory footprint." -> missing.  "An analysis of situations in which the method failed." -> missing.  "A description of the computing infrastructure used (hardware and software)." -> missing."	1	0	0	1	1		2. (-) statement 	2. (-) comments	The authors employed public datasets and the paper is easy to follow and understand, so it seems reproducible.	0	1	0	0	0	0	3. (+) statement	3. (+) comments	The reproducibility is very good. The authors only use public datasets and they will release their code. It is also possible to follow the descriptions in the paper to reproduce certain parts of their method.	1	1	1	0	0	1	3. (+) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	2	2	1	1	1	2	Disagreement	https://github.com/othmanela/medical_cert_seg	0	Empty
112-Paper0586	Chest X-ray Image Classification: A Causal Perspective	Seems fine.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The dataset is publically availabel and the codes are provided in the supplementary materials.	0	1	1	0	0	1	1. (none) statement	3. (+) comments	yes	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Reproducible	Reproducible	0	1	1	0	0	3	Agreement	https://github.com/zc2024/Causal_CXR	1	
113-Paper2463	CheXstray: A Real-Time Multi-Modal Monitoring Workflow for Medical Imaging AI	code sharing declared upon acceptance  lack of supplementary info	0	0	1	0	0	1	1. (none) statement	4. (-/+) comments	Yes	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible since it is trained on publicly available datasets	0	1	0	0	0	0	3. (+) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	0	1	1	0	0	2	Disagreement	https://github.com/microsoft/MedImaging-ModelDriftMonitoring	1	
114-Paper0478	CircleFormer: Circular Nuclei Detection in Whole Slide Images with Circle Queries and Attention	It can be reproducable.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The authors didi not provide their source code, and thus the reproducibility is not guaranteed.	0	0	1	0	0	0	2. (-) statement 	2. (-) comments	To ensure the reproducibility of the results, I recommend that the authors release the code and any relevant details about the implementation.	1	0	1	0	0	0	1. (none) statement	2. (-) comments	Reproducible	Irreproducible	Irreproducible	1	0	2	0	0	1	Disagreement	https://github.com/zhanghx-iim-ahu/CircleFormer	1	
115-Paper2139	CL-ADDA: Contrastive Learning with Amplitude-Driven Data Augmentation for fMRI-Based Individualized Predictions	Code is released and the datasets can be accessed on demand so this work should be reproducible.	0	1	1	0	0	1	3. (+) statement	3. (+) comments	It is ok.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Good, the parameters involved in the paper and the details of the method are given.	1	0	0	1	0	0	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	1	1	1	1	0	3	Agreement	https://github.com/tianbjtu/CL-ADDA.git	1	README not filled
116-Paper0966	Class Specific Feature Disentanglement And Text Embeddings For Multi-Label Generalized Zero Shot CXR Classification	The datasets used are open datasets, and we encourage making the code public for reproducibility.	0	1	1	0	0	0	1. (none) statement	4. (-/+) comments	Major details related to the experimental protocol and implementation are missing.	1	0	0	1	0	0	1. (none) statement	2. (-) comments	N/O	0	0	0	0	0	0	1. (none) statement	0. Unusable (comments)	Irreproducible	Irreproducible	Unusable	1	1	1	1	0	0	Agreement	N/A	0	
117-Paper0956	Class-Aware Feature Alignment for Domain Adaptative Mitochondria Segmentation	This paper is not reproducible as important information about the basic set-up and implementation is missing. See weaknesses for details.  The authors do not provide any code and also do not mention whether they intend to make code public if the paper was to be accepted.	1	0	1	0	0	0	2. (-) statement 	2. (-) comments	Detailed methodology: The authors provide a comprehensive description of their proposed method, including the formulation of various loss functions and the overall architecture. This information would be helpful for researchers looking to implement the method on their own.  Implementation details: The authors have described the implementation details, including the patch size, optimizer, learning rate, and the number of training iterations. They also provide the balancing weights and thresholds used in their loss functions. This information should be helpful for reproducing the experiments.  Dataset: The authors use publicly available datasets, Lucchi and MitoEM, which can be accessed by other researchers.  Evaluation metrics: The authors use standard evaluation metrics (e.g., Intersection over Union) to assess the performance of their method, which would allow for a fair comparison with other methods and make it easier to reproduce the evaluation.	1	1	0	1	0	0	1. (none) statement	3. (+) comments	It is achievable to reproduce the method according to the illustration in the paper.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Reproducible	Reproducible	2	1	1	1	0	2	Disagreement	https://github.com/Danyin813/CAFA.	0	404
118-Paper1871	Client-Level Differential Privacy via Adaptive Intermediary in Federated Medical Imaging	This paper claims to have theoretical and empirical evidence to support its feasibility. It also provides analytical studies to demonstrate the effectiveness and stability of its method. However, the paper's feasibility might be improved by providing more details on how it compares with other methods.	0	0	0	1	0	0	1. (none) statement	4. (-/+) comments	Appears to be reproducible.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The authors state that the code will be made available and they explain the backbone models used + the training regime. The datasets are also in the public domain, so their tests should be reproducible.	1	1	1	1	0	1	3. (+) statement	3. (+) comments	Irreproducible	Reproducible	Reproducible	1	1	1	2	0	2	Disagreement	https://github.com/med-air/Client-DP-FL	1	
119-Paper2270	Clinical Evaluation of AI-assisted Virtual Contrast Enhanced MRI in Primary Gross Tumor Volume Delineation for Radiotherapy of Nasopharyngeal Carcinoma	There is limited reproducibility as the authors acknowledge in their checklist-code is not available and there are no details on model parameters nor hyperparameters, nor training schema.	1	0	1	1	0	0	2. (-) statement 	2. (-) comments	The evaluation was done with multi-institutional data with two readers. The reproducibility is very high.	0	0	0	1	0	0	3. (+) statement	3. (+) comments	The authors should provide more details about how the radiologists viewed the images. For example, did they use any window/level? What kind of monitor was used for viewing? How to make sure the viewing conditions are calibrated across different monitors?	0	0	0	1	0	0	1. (none) statement	2. (-) comments	Irreproducible	Reproducible	Irreproducible	1	0	1	3	0	1	Disagreement	N/A	0	
120-Paper1961	CLIP-Lung: Textual Knowledge-Guided Lung Nodule Malignancy Prediction	Since the data is public and the test is performed with only one dataset, tests can be reimplemented and diversified by adding different datasets. Furthermore, this model can be developed and varied using different text attributes. Since information or data sources can be extended and varied by making visual representations from text annotations, similar techniques can be developed to be used in different fields.  However, since the model code is private, this will significantly affect the reproducibility or reusability of the methods. It will be challenging to produce all those identical inferences since they tested the model with too many subsets of the same data and all combinations of different loss functions.	0	1	1	1	0	0	1. (none) statement	4. (-/+) comments	The technologies used in this paper have good reproducibility.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The paper can be reproduced to some extent.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Reproducible	Reproducible	0	1	1	1	0	2	Disagreement	N/A	0	
121-Paper0680	Cluster-Induced Mask Transformers for Effective Opportunistic Gastric Cancer Screening on Non-contrast CT Scans	Not sure since the data and the code are not publicly available.	0	1	1	0	0	0	1. (none) statement	2. (-) comments	model parameters are provided. Nevertheless, without the datasets and ground truth labels of the proposed study, neither testing nor training can be reproduced.	1	1	0	0	0	0	1. (none) statement	4. (-/+) comments	probably doable (method is based on cvpr and eccv papers)	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Irreproducible	Irreproducible	Reproducible	1	2	1	0	0	1	Disagreement	N/A	0	
122-Paper2079	Clustering disease trajectories in contrastive feature space for biomarker proposal in age-related macular degeneration	good	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The reproducibility of the work is low because the both the code and datasets will not be released. In addition, the qualitative assessment cannot be repeated.	0	1	1	1	0	0	2. (-) statement 	2. (-) comments	Reproducibility is addressed.	0	0	0	0	0	0	3. (+) statement	1. (none) comments	Reproducible	Irreproducible	Reproducible	0	1	1	1	0	2	Disagreement	N/A	0	
123-Paper0169	CoactSeg: Learning from Heterogeneous Data for New Multiple Sclerosis Lesion Segmentation	Currently not reproducible before the code and data are made available but all supposed to happen at publication. Details on training is given but limited information (except if present in the repo) of the data used in training / validation / testing	0	1	1	1	0	1	3. (+) statement	4. (-/+) comments	Code and data would be released upon acceptance. Validating reproducibility will be straightforward.	0	1	1	0	0	1	3. (+) statement	3. (+) comments	The method is easy to follow and reproduce. Authors will public the code at a later time.	1	0	1	0	0	1	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	1	2	3	1	0	3	Agreement	https://github.com/ycwu1997/CoactSeg	1	
124-Paper1473	Co-assistant Networks for Label Correction	Three public database are used to validate the proposed approach: BreakHis (breast cancer histopathological images), ISIC (skin images), and NIHCC (frontal-view X-ray images)	0	1	0	0	0	0	1. (none) statement	3. (+) comments	This is fine	0	0	0	0	0	0	3. (+) statement	1. (none) comments	The author provides sufficient implementation details which helps reproduce the results.	1	0	0	0	0	0	3. (+) statement	3. (+) comments	Reproducible	Reproducible	Reproducible	1	1	0	0	0	3	Agreement	https://github.com/shannak-chen/CNLC	0	404
