category		contribution	contribution	contribution	detailed	detailed	detailed	justifictation	justifictation	justifictation	reproducibility	reproducibility	reproducibility	strenghts	strenghts	strenghts	total	total	total	weakness	weakness	weakness
133-Paper1387	Deep learning-based Head and Neck Radiotherapy Planning Dose Prediction via Beam-wise Dose Decomposition	117	30	40.0	113	8	157.0	74	130	39.0	91	9	34.0	88	43	23.0	813.0	281.0	331.0	330	61	38.0
134-Paper1226	Deep Motion Network for Freehand 3D Ultrasound Reconstruction	23	85	90.0	57	65	764.0	79	21	62.0	24	13	19.0	33	51	53.0	255.0	300.0	1018.0	39	65	30.0
135-Paper2703	Deep Multimodal Guidance for Medical Image Classification	33	53	52.0	60	44	478.0	7	27	42.0	4	26	28.0	27	53	106.0	164.0	275.0	761.0	33	72	55.0
136-Paper2262	Deep Regression with Spatial-Frequency Feature Coupling and Image Synthesis for Robot-Assisted Endomicroscopy	1	59	53.0	1	30	3.0	86	21	28.0	1	12	1.0	1	34	43.0	91.0	183.0	152.0	1	27	24.0
137-Paper2350	Deep Reinforcement Learning for Detection of Inner Ear Abnormal Anatomy in Computed Tomography	67	110	35.0	130	287	56.0	13	59	18.0	22	29	7.0	34	167	37.0	401.0	785.0	176.0	135	133	23.0
138-Paper2325	Deep Reinforcement Learning for Small Bowel Path Tracking using Different Types of Annotations	18	74	29.0	2	69	25.0	17	33	25.0	12	13	11.0	24	39	56.0	123.0	424.0	171.0	50	196	25.0
139-Paper0232	Deep treatment response assessment and prediction of colorectal cancer liver metastases	22	33	48.0	59	3	254.0	53	10	44.0	1	2	49.0	20	16	11.0	187.0	156.0	451.0	32	92	45.0
140-Paper0637	DeepCRC: Colorectum and Colorectal Cancer Segmentation in CT Scans via Deep Colorectal Coordinate Transform	48	56	40.0	20	69	10.0	33	30	37.0	28	36	14.0	116	100	37.0	318.0	411.0	238.0	73	120	100.0
141-Paper0970	Deep-learning Based T1 and T2 Quantification from Undersampled Magnetic Resonance Fingerprinting Data to Track Tracer Kinetics in Small Laboratory Animals	24	48	96.0	105	287	88.0	56	24	20.0	12	68	21.0	41	68	73.0	288.0	680.0	335.0	50	185	37.0
142-Paper2133	DeepMIF: Deep learning based cell profiling for multispectral immunofluorescence images with graphical user interface	35	46	54.0	75	174	11.0	34	35	10.0	12	16	43.0	24	32	60.0	261.0	362.0	250.0	81	59	72.0
143-Paper1080	DeepPyramid: Enabling Pyramid View and Deformable Pyramid Reception for Semantic Segmentation in Cataract Surgery Videos	64	30	58.0	138	22	315.0	19	13	7.0	13	7	5.0	36	35	22.0	382.0	161.0	418.0	112	54	11.0
144-Paper0626	DeepRecon: Joint 2D Cardiac Segmentation and 3D Volume Reconstruction via A Structure-Specific Generative Method	83	29	36.0	162	236	32.0	17	29	1.0	15	2	53.0	53	41	54.0	450.0	372.0	251.0	120	35	75.0
145-Paper1802	Deformer: Towards Displacement Field Learning for Unsupervised Medical Image Registration	85	33	69.0	31	18	85.0	55	3	20.0	29	3	9.0	91	6	20.0	498.0	224.0	223.0	207	161	20.0
146-Paper0151	Degradation-invariant Enhancement of Fundus Images via Pyramid Constraint Network	30	23	44.0	3	27	85.0	10	40	24.0	15	5	15.0	23	44	40.0	174.0	223.0	227.0	93	84	19.0
147-Paper0429	Delving into Local Features for Open-Set Domain Adaptation in Fundus Image Analysis	39	39	55.0	157	48	27.0	17	32	25.0	29	30	7.0	24	49	62.0	278.0	307.0	363.0	12	109	187.0
148-Paper0702	Denoising for Relaxing: Unsupervised Domain Adaptive Fundus Image Segmentation without Source Data	49	104	71.0	7	95	40.0	14	12	59.0	18	9	33.0	29	92	56.0	143.0	570.0	464.0	26	258	205.0
149-Paper0796	Denoising of 3D MR images using a voxel-wise hybrid residual MLP-CNN model to improve small lesion diagnostic confidence	41	48	26.0	50	48	76.0	61	29	5.0	31	9	21.0	40	22	38.0	254.0	189.0	191.0	31	33	25.0
150-Paper0632	DentalPointNet: Landmark Localization on High-Resolution 3D Digital Dental Models	66	60	73.0	94	2	152.0	35	2	51.0	28	4	38.0	94	21	64.0	422.0	339.0	439.0	105	250	61.0
151-Paper0408	DeSD: Self-Supervised Learning with Deep Self-Distillation for 3D Medical Image Segmentation	15	54	51.0	8	21	244.0	33	138	17.0	17	66	28.0	7	78	29.0	291.0	528.0	474.0	211	171	105.0
152-Paper1127	DeStripe: A Self2Self Spatio-Spectral Graph Neural Network with Unfolded Hessian for Stripe Artifact Removal in Light-sheet Microscopy	47	109	39.0	354	5	258.0	74	33	14.0	12	27	40.0	55	54	25.0	574.0	316.0	412.0	32	88	36.0
153-Paper1579	Detecting Aortic Valve Pathology from the 3-Chamber Cine Cardiac MRI View	47	61	93.0	58	100	315.0	31	28	71.0	41	57	109.0	73	29	86.0	257.0	419.0	742.0	7	144	68.0
154-Paper1426	DEUE: Delta Ensemble Uncertainty Estimation for a More Robust Estimation of Ejection Fraction	45	90	36.0	121	27	258.0	16	40	16.0	27	18	8.0	50	51	73.0	305.0	407.0	414.0	46	181	23.0
155-Paper0164	DGMIL: Distribution Guided Multiple Instance Learning for Whole Slide Image Classification	46	45	51.0	116	239	55.0	37	31	40.0	14	8	26.0	49	28	53.0	282.0	459.0	410.0	20	108	185.0
156-Paper0682	Did You Get What You Paid For? Rethinking Annotation Cost of Deep Learning Based Computer Aided Detection in Chest Radiographs	78	51	127.0	20	311	471.0	19	12	42.0	18	15	21.0	53	54	91.0	309.0	527.0	867.0	121	84	115.0
157-Paper0467	Diffusion Deformable Model for 4D Temporal Medical Image Generation	76	53	94.0	128	4	173.0	21	6	84.0	12	14	58.0	55	80	40.0	356.0	275.0	490.0	64	118	41.0
158-Paper0704	Diffusion Models for Medical Anomaly Detection	35	66	36.0	54	117	77.0	28	34	38.0	7	30	2.0	44	75	40.0	249.0	340.0	310.0	81	18	117.0
159-Paper1952	Digestive Organ Recognition in Video Capsule Endoscopy based on Temporal Segmentation Network	37	43	90.0	43	6	284.0	15	105	73.0	1	11	60.0	28	58	68.0	148.0	444.0	675.0	24	221	100.0
160-Paper1447	Discrepancy and Gradient-guided Multi-Modal Knowledge Distillation for Pathological Glioma Grading	67	55	91.0	9	224	43.0	16	41	14.0	16	24	14.0	45	85	63.0	177.0	474.0	248.0	24	45	23.0
161-Paper0659	Discrepancy-based Active Learning for Weakly Supervised Bleeding Segmentation in Wireless Capsule Endoscopy Images	35	36	33.0	68	3	262.0	22	13	37.0	15	3	9.0	88	65	43.0	251.0	272.0	435.0	23	152	51.0
162-Paper0353	Disentangle then Calibrate: Selective Treasure Sharing for Generalized Rare Disease Diagnosis	55	54	73.0	79	83	110.0	11	15	69.0	15	44	42.0	17	23	71.0	184.0	269.0	563.0	7	50	198.0
163-Paper2193	DisQ: Disentangling Quantitative MRI Mapping of the Heart	30	102	42.0	17	552	198.0	17	41	19.0	37	45	11.0	88	88	15.0	425.0	899.0	299.0	236	71	14.0
164-Paper0323	Distilling Knowledge from Topological Representations for Pathological Complete Response Prediction	22	96	86.0	351	4	86.0	5	48	70.0	53	20	1.0	21	98	70.0	475.0	569.0	551.0	23	303	238.0
165-Paper1029	Domain Adaptive Mitochondria Segmentation via Enforcing Inter-Section Consistency	42	47	143.0	71	141	643.0	68	85	56.0	41	4	37.0	26	42	57.0	286.0	442.0	967.0	38	123	31.0
166-Paper1242	Domain Adaptive Nuclei Instance Segmentation and Classification via Category-aware Feature Alignment and Pseudo-labelling	49	43	8.0	116	84	67.0	21	56	1.0	39	8	6.0	43	43	17.0	317.0	342.0	166.0	49	108	67.0
167-Paper0127	Domain Specific Convolution and High Frequency Reconstruction based Unsupervised Domain Adaptation for Medical Image Segmentation	89	46	82.0	66	3	75.0	3	15	16.0	1	10	18.0	71	60	95.0	341.0	176.0	363.0	111	42	77.0
168-Paper1315	Domain-Adaptive 3D Medical Image Synthesis: An Efficient Unsupervised Approach	36	105	66.0	28	301	653.0	29	17	47.0	10	34	31.0	39	53	46.0	184.0	600.0	989.0	42	90	146.0
169-Paper0992	Domain-Prior-Induced Structural MRI Adaptation for Clinical Progression Prediction of Subjective Cognitive Decline	65	47	29.0	174	45	30.0	19	16	18.0	1	16	18.0	25	37	33.0	318.0	233.0	129.0	34	72	1.0
170-Paper1693	DOMINO: Domain-aware Model Calibration in Medical Image Segmentation	83	15	0.0	103	73	0.0	78	30	0.0	60	1	0.0	88	17	0.0	413.0	224.0	0.0	1	88	0.0
171-Paper0021	Double-Uncertainty Guided Spatial and Temporal Consistency Regularization Weighting for Learning-based Abdominal Registration	74	29	89.0	62	161	53.0	18	30	29.0	62	11	27.0	30	27	49.0	303.0	285.0	299.0	57	27	52.0
172-Paper1456	DRGen: Domain Generalization in Diabetic Retinopathy Classification	62	53	56.0	66	44	221.0	9	8	54.0	6	1	50.0	34	7	58.0	239.0	120.0	590.0	62	7	151.0
173-Paper1510	DS3-Net: Difficulty-perceived Common-to-T1ce Semi-Supervised Multimodal MRI Synthesis Network	49	97	49.0	1	62	90.0	66	29	39.0	251	31	14.0	45	54	72.0	435.0	332.0	394.0	23	59	130.0
174-Paper0950	DSP-Net: Deeply-Supervised Pseudo-Siamese Network for Dynamic Angiographic Image Matching	30	38	25.0	56	116	24.0	54	60	10.0	8	46	12.0	45	54	25.0	219.0	339.0	109.0	26	25	13.0
175-Paper1389	DSR: Direct Simultaneous Registration for Multiple 3D Images	46	48	91.0	114	114	179.0	19	33	8.0	35	28	7.0	41	15	15.0	413.0	254.0	306.0	158	16	6.0
176-Paper0333	Dual-Branch Squeeze-Fusion-Excitation Module for Cross-Modality Registration of Cardiac SPECT and CT	72	83	38.0	135	56	159.0	42	56	22.0	16	15	22.0	27	110	38.0	303.0	451.0	323.0	11	131	44.0
177-Paper0838	Dual-Distribution Discrepancy for Anomaly Detection in Chest X-Rays	63	39	38.0	41	131	22.0	78	29	23.0	18	19	10.0	58	56	51.0	443.0	405.0	358.0	185	131	214.0
178-Paper1476	Dual-graph Learning Convolutional Networks for Interpretable Alzheimer's Disease Diagnosis	22	35	66.0	34	146	2.0	16	32	2.0	10	6	11.0	35	22	101.0	129.0	284.0	248.0	12	43	66.0
179-Paper1430	Dual-HINet: Dual Hierarchical Integration Network of Multigraphs for Connectional Brain Template Learning	28	63	76.0	109	213	7.0	20	15	31.0	1	47	17.0	12	34	18.0	236.0	388.0	344.0	66	16	195.0
180-Paper1066	DuDoCAF: Dual-Domain Cross-Attention Fusion with Recurrent Transformer for Fast Multi-contrast MR Imaging	31	70	30.0	225	115	153.0	29	11	5.0	25	8	3.0	42	64	25.0	436.0	331.0	317.0	84	63	101.0
181-Paper0434	Dynamic Bank Learning for Semi-supervised Federated Image Diagnosis with Class Imbalance	44	63	75.0	116	285	209.0	9	16	54.0	32	18	19.0	26	53	25.0	269.0	471.0	400.0	42	36	18.0
182-Paper2304	EchoCoTr: Estimation of the Left Ventricular Ejection Fraction from Spatiotemporal Echocardiography	83	124	25.0	148	98	242.0	16	29	31.0	18	32	77.0	28	49	69.0	321.0	379.0	505.0	28	47	61.0
183-Paper1732	EchoGNN: Explainable Ejection Fraction Estimation with Graph Neural Networks	80	87	102.0	113	168	160.0	32	41	59.0	21	79	38.0	97	137	129.0	464.0	685.0	529.0	121	173	41.0
184-Paper0300	Edge-oriented Point-cloud Transformer for 3D Intracranial Aneurysm Segmentation	67	93	66.0	48	115	45.0	41	9	4.0	25	32	25.0	80	39	32.0	329.0	397.0	340.0	68	109	168.0
185-Paper1159	Effective Opportunistic Esophageal Cancer Screening using Noncontrast CT Imaging	105	71	31.0	37	298	33.0	44	18	7.0	45	45	23.0	111	16	82.0	411.0	738.0	228.0	69	290	52.0
186-Paper2172	Efficient Bayesian Uncertainty Estimation for nnU-Net	14	38	55.0	34	5	64.0	9	52	73.0	3	4	3.0	15	25	53.0	97.0	134.0	430.0	22	10	182.0
187-Paper0368	Efficient Biomedical Instance Segmentation via Knowledge Distillation	26	69	58.0	14	33	31.0	13	13	40.0	3	11	38.0	27	28	37.0	108.0	156.0	265.0	25	2	61.0
188-Paper2377	Efficient population based hyperparameter scheduling for medical image segmentation	66	87	41.0	130	145	38.0	28	74	23.0	13	11	14.0	25	13	36.0	445.0	411.0	228.0	183	81	76.0
189-Paper2746	Electron Microscope Image Registration using Laplacian Sharpening Transformer U-Net	45	86	66.0	58	335	123.0	12	32	39.0	26	39	19.0	31	52	20.0	245.0	745.0	313.0	73	201	46.0
190-Paper0420	Embedding Gradient-based Optimization in Image Registration Networks	91	10	64.0	16	58	121.0	18	37	34.0	24	39	59.0	41	60	127.0	245.0	474.0	550.0	55	270	145.0
191-Paper1872	Embedding Human Brain Function via Transformer	47	53	109.0	64	113	219.0	35	16	25.0	7	4	20.0	18	30	41.0	199.0	318.0	431.0	28	102	17.0
192-Paper1262	End-to-End cell recognition by point annotation	30	37	27.0	31	40	117.0	3	30	14.0	8	12	20.0	15	45	37.0	165.0	168.0	247.0	78	4	32.0
193-Paper0791	End-to-End Evidential-Efficient Net for Radiomics Analysis of Brain MRI to Predict Oncogene Expression and Overall Survival	49	23	143.0	42	21	321.0	35	11	33.0	38	10	25.0	48	28	53.0	267.0	207.0	635.0	55	114	60.0
194-Paper0506	End-to-end Learning for Image-based Detection of Molecular Alterations in Digital Pathology	73	51	39.0	23	27	31.0	18	17	15.0	43	22	7.0	41	5	27.0	244.0	243.0	226.0	46	121	107.0
195-Paper2010	End-to-end Multi-Slice-to-Volume Concurrent Registration and Multimodal Generation	50	40	82.0	59	221	193.0	23	31	110.0	20	11	39.0	23	5	53.0	213.0	329.0	536.0	38	21	59.0
196-Paper1271	End-to-End Segmentation of Medical Images via Patch-wise Polygons Prediction	51	29	33.0	262	64	92.0	25	18	45.0	20	49	39.0	24	36	52.0	605.0	260.0	289.0	223	64	28.0
197-Paper2651	Enforcing connectivity of 3D linear structures using their 2D projections	58	26	30.0	83	46	173.0	23	23	20.0	13	54	14.0	44	34	30.0	299.0	188.0	416.0	78	5	149.0
198-Paper1940	Enhancing model generalization for substantia nigra segmentation using a test-time normalization-based method	78	91	63.0	77	75	72.0	12	107	44.0	12	93	19.0	36	206	44.0	275.0	573.0	344.0	60	1	102.0
199-Paper1749	Ensembled Prediction of Rheumatic Heart Disease from Ungated Doppler Echocardiography Acquired in Low-Resource Settings	39	84	123.0	716	9	135.0	44	11	45.0	81	7	41.0	52	50	90.0	948.0	171.0	649.0	16	10	215.0
200-Paper0439	Estimating Model Performance under Domain Shifts with Class-Specific Confidence Scores	19	59	61.0	32	34	141.0	10	22	26.0	7	28	4.0	7	90	95.0	225.0	467.0	446.0	150	234	119.0
201-Paper1563	Evidence fusion with contextual discounting for multi-modality medical image segmentation	26	48	44.0	96	78	141.0	36	16	13.0	9	25	16.0	25	32	24.0	202.0	254.0	259.0	10	55	21.0
202-Paper0960	Evolutionary Multi-objective Architecture Search Framework: Application to COVID-19 3D CT Classification	42	66	71.0	64	63	151.0	170	39	8.0	12	17	9.0	38	37	28.0	430.0	309.0	371.0	104	87	104.0
203-Paper1856	Explainable Contrastive Multiview Graph Representation of Brain, Mind, and Behavior	17	35	26.0	84	234	65.0	57	5	8.0	21	1	11.0	13	30	25.0	246.0	474.0	156.0	54	169	21.0
204-Paper2558	Explaining Chest X-ray Pathologies in Natural Language	35	73	67.0	7	110	11.0	39	37	16.0	24	11	15.0	26	29	91.0	268.0	370.0	279.0	137	110	79.0
205-Paper0081	Exploring Smoothness and Class-Separation for Semi-supervised Medical Image Segmentation	35	69	33.0	215	25	162.0	45	21	14.0	16	7	14.0	28	62	19.0	409.0	396.0	262.0	70	212	20.0
206-Paper2742	Extended Electrophysiological Source Imaging with Spatial Graph Filters	50	46	20.0	137	269	16.0	3	58	38.0	32	56	9.0	35	39	12.0	302.0	532.0	212.0	45	64	117.0
207-Paper2316	FairPrune: Achieving Fairness Through Pruning for Dermatological Disease Diagnosis	55	74	65.0	127	88	483.0	9	62	52.0	11	18	69.0	36	77	36.0	257.0	531.0	717.0	19	212	12.0
208-Paper2313	Fast Automatic Liver Tumor Radiofrequency Ablation Planning via Learned Physics Model	16	50	20.0	83	186	140.0	7	28	14.0	27	22	27.0	52	107	42.0	234.0	475.0	308.0	49	82	65.0
209-Paper2730	Fast FF-to-FFPE Whole Slide Image Translation via Laplacian Pyramid and Contrastive Learning	24	26	59.0	63	92	251.0	26	8	15.0	22	19	8.0	39	36	53.0	240.0	284.0	515.0	66	103	129.0
210-Paper2428	Fast Spherical Mapping of Cortical Surface Meshes using Deep Unsupervised Learning	69	35	47.0	487	115	25.0	4	5	20.0	2	2	8.0	50	12	47.0	616.0	175.0	168.0	4	6	21.0
211-Paper1680	Fast Unsupervised Brain Anomaly Detection and Segmentation with Diffusion Models	109	50	58.0	143	93	270.0	3	22	104.0	2	1	55.0	61	72	87.0	371.0	291.0	1054.0	53	53	480.0
212-Paper2777	Feature Re-calibration based Multiple Instance Learning for Whole Slide Image Classification	40	73	67.0	21	47	57.0	12	4	10.0	22	4	7.0	19	27	75.0	134.0	245.0	251.0	20	90	35.0
213-Paper2407	Feature robustness and sex differences in medical imaging: a case study in MRI-based Alzheimer's disease detection	30	84	65.0	107	91	78.0	15	40	23.0	11	17	34.0	14	11	55.0	191.0	299.0	345.0	14	56	90.0
214-Paper2425	Federated Medical Image Analysis with Virtual Sample Synthesis	48	67	32.0	66	18	87.0	15	21	55.0	15	26	16.0	23	50	76.0	199.0	234.0	333.0	32	52	67.0
215-Paper0107	Federated Stain Normalization for Computational Pathology	27	25	61.0	105	105	184.0	34	5	80.0	26	21	48.0	84	22	191.0	503.0	283.0	617.0	227	105	53.0
216-Paper1639	FedHarmony: Unlearning Scanner Bias with Distributed Data	87	37	31.0	74	52	20.0	77	17	39.0	40	2	14.0	153	29	22.0	588.0	348.0	238.0	157	211	112.0
217-Paper0905	Few-shot Generation of Personalized Neural Surrogates for Cardiac Simulation via Bayesian Meta-Learning	26	37	41.0	26	84	38.0	20	21	11.0	22	27	17.0	37	23	14.0	148.0	252.0	247.0	17	60	126.0
218-Paper0176	Few-shot Medical Image Segmentation Regularized with Self-reference and Contrastive Learning	46	43	47.0	92	187	161.0	15	49	42.0	12	30	29.0	35	67	38.0	538.0	516.0	360.0	338	140	43.0
219-Paper0530	FFCNet: Fourier Transform-Based Frequency Learning and Complex Convolutional Network for Colon Disease Classification	60	20	40.0	82	56	2.0	25	31	65.0	8	3	5.0	34	63	66.0	260.0	304.0	322.0	51	131	144.0
220-Paper1280	Fine-grained Correlation Loss for Regression	44	88	123.0	23	357	28.0	27	11	20.0	4	100	24.0	27	50	141.0	168.0	630.0	616.0	43	24	280.0
221-Paper0464	Flat-aware Cross-stage Distilled Framework for Imbalanced Medical Image Classification	61	46	34.0	2	131	2.0	8	22	13.0	1	20	23.0	37	19	63.0	117.0	262.0	446.0	8	24	311.0
222-Paper0166	Flexible Sampling for Long-tailed Skin Lesion Classification	82	75	67.0	153	48	149.0	23	10	16.0	1	1	36.0	30	93	54.0	323.0	249.0	400.0	34	22	78.0
223-Paper1037	fMRI Neurofeedback Learning Patterns are Predictive of Personal and Clinical Traits	22	43	17.0	30	41	57.0	19	6	12.0	13	12	2.0	11	37	25.0	168.0	178.0	128.0	73	39	15.0
224-Paper0656	Free Lunch for Surgical Video Understanding by Distilling Self-Supervisions	151	85	91.0	566	69	185.0	99	16	30.0	55	14	50.0	120	63	24.0	1321.0	366.0	400.0	330	119	20.0
225-Paper1550	Frequency-Aware Inverse-Consistent Deep Learning for OCT-Angiogram Super-Resolution	42	35	78.0	46	79	177.0	12	12	33.0	13	18	15.0	25	38	22.0	256.0	284.0	346.0	118	102	21.0
226-Paper2446	From Images to Probabilistic Anatomical Shapes: A Deep Variational Bottleneck Approach	20	25	54.0	51	64	61.0	44	12	71.0	39	7	3.0	62	22	36.0	221.0	163.0	314.0	5	33	89.0
227-Paper2489	FSE Compensated Motion Correction for MRI Using Data Driven Methods	26	20	74.0	31	16	15.0	15	14	21.0	2	13	1.0	37	5	62.0	205.0	92.0	198.0	94	24	25.0
228-Paper2619	Fusing Modalities by Multiplexed Graph Neural Networks for Outcome Prediction in Tuberculosis	73	67	39.0	59	119	29.0	32	42	53.0	54	151	23.0	70	220	48.0	344.0	833.0	207.0	56	234	15.0
229-Paper0029	FUSSNet: Fusing Two Sources of Uncertainty for Semi-Supervised Medical Image Segmentation	51	61	74.0	539	101	396.0	26	28	131.0	20	24	95.0	30	47	94.0	694.0	389.0	941.0	28	128	151.0
230-Paper0398	GaitForeMer: Self-Supervised Pre-Training of Transformers via Human Motion Forecasting for Few-Shot Gait Impairment Severity Estimation	40	82	28.0	85	53	112.0	18	18	19.0	23	21	1.0	70	51	8.0	311.0	275.0	203.0	75	50	35.0
231-Paper2241	GazeRadar: A Gaze and Radiomics-guided Disease Localization Framework	15	43	54.0	74	17	60.0	15	17	6.0	1	14	41.0	13	54	54.0	136.0	168.0	243.0	18	23	28.0
232-Paper2084	Geometric Constraints for Self-supervised Monocular Depth Estimation on Laparoscopic Images with Dual-task Consistency	60	33	56.0	320	586	35.0	50	73	46.0	27	25	9.0	73	68	67.0	570.0	950.0	344.0	40	165	131.0
233-Paper1173	Gigapixel Whole-Slide Images Classification using Locally Supervised Learning	54	50	28.0	110	35	114.0	15	36	6.0	2	4	16.0	79	27	26.0	497.0	264.0	304.0	237	112	114.0
234-Paper1622	Global Multi-modal 2D/3D Registration via Local Descriptors Learning	154	37	19.0	112	51	166.0	12	27	10.0	18	23	15.0	51	40	6.0	519.0	227.0	233.0	172	49	17.0
235-Paper1165	GradMix for nuclei segmentation and classification in imbalanced pathology image datasets	23	28	50.0	72	334	104.0	29	15	107.0	11	34	16.0	29	53	113.0	257.0	571.0	432.0	93	107	42.0
236-Paper0770	Graph convolutional network with probabilistic spatial regression: application to craniofacial landmark detection from 3D photogrammetry	34	114	133.0	55	61	34.0	13	45	145.0	27	16	13.0	11	173	13.0	158.0	571.0	483.0	18	162	145.0
237-Paper0826	Graph Emotion Decoding from Visually Evoked Neural Responses	67	42	20.0	66	237	3.0	83	22	18.0	27	1	6.0	64	21	29.0	446.0	344.0	131.0	139	21	55.0
238-Paper1499	Graph-based Compression of Incomplete 3D Photoacoustic Data	26	30	32.0	190	252	118.0	19	17	11.0	19	9	9.0	43	31	33.0	374.0	446.0	261.0	77	107	58.0
239-Paper1645	Greedy Optimization of Electrode Arrangement for Epiretinal Prostheses	44	36	24.0	35	83	3.0	11	31	32.0	5	11	1.0	51	32	64.0	210.0	238.0	326.0	64	45	202.0
240-Paper1177	Hand Hygiene Quality Assessment using Image-to-Image Translation	49	65	40.0	183	227	10.0	19	28	40.0	27	15	29.0	71	16	55.0	380.0	552.0	231.0	31	201	57.0
241-Paper2141	Harnessing Deep Bladder Tumor Segmentation with Logical Clinical Knowledge	50	21	58.0	39	87	81.0	17	28	15.0	20	54	1.0	46	28	20.0	194.0	277.0	403.0	22	59	228.0
242-Paper0695	Hierarchical Brain Networks Decomposition via Prior Knowledge Guided Deep Belief Network	71	35	44.0	163	165	132.0	57	11	36.0	10	9	13.0	62	15	34.0	413.0	286.0	269.0	50	51	10.0
243-Paper2461	Histogram-based unsupervised domain adaptation for medical image classification	23	34	49.0	28	26	10.0	8	4	15.0	43	3	10.0	36	4	45.0	202.0	79.0	132.0	64	8	3.0
244-Paper2095	How Much to Aggregate: Learning Adaptive Node-wise Scales on Graphs for Brain Networks	13	43	48.0	350	10	4.0	62	15	20.0	28	19	14.0	35	87	65.0	511.0	361.0	183.0	23	187	32.0
245-Paper0053	Hybrid Graph Transformer for Tissue Microstructure Estimation with Undersampled Diffusion MRI Data	68	99	33.0	73	73	90.0	28	25	15.0	3	23	10.0	57	61	32.0	230.0	303.0	213.0	1	22	33.0
246-Paper1120	Hybrid Spatio-Temporal Transformer Network for Predicting Ischemic Stroke Lesion Outcomes from 4D CT Perfusion Imaging	93	19	37.0	788	88	189.0	60	27	18.0	85	24	23.0	93	17	51.0	1288.0	180.0	424.0	169	5	106.0
247-Paper1527	Ideal Midsagittal Plane Detection using Deep Hough Plane Network for Brain Surgical Planning	53	37	41.0	206	261	57.0	33	47	26.0	28	38	4.0	53	41	54.0	449.0	479.0	304.0	76	55	122.0
248-Paper1790	Identification of vascular cognitive impairment in adult moyamoya disease via integrated graph convolutional network	90	19	76.0	325	330	9.0	46	14	12.0	38	7	6.0	30	22	65.0	599.0	427.0	174.0	70	35	6.0
249-Paper1279	Identify Consistent Imaging Genomic Biomarkers for Characterizing the Survival-associated Interactions between Tumor-infiltrating Lymphocytes and Tumors	32	18	40.0	65	293	27.0	19	4	75.0	1	8	7.0	48	16	57.0	187.0	349.0	207.0	22	10	1.0
250-Paper1422	Identifying and Combating Bias in Segmentation Networks by leveraging multiple resolutions	77	44	124.0	21	287	111.0	7	44	56.0	2	53	36.0	47	35	56.0	179.0	477.0	443.0	25	14	60.0
251-Paper2056	Identifying Phenotypic Concepts Discriminating Molecular Breast Cancer Sub-Types	31	53	67.0	43	104	483.0	44	37	27.0	42	12	2.0	52	34	74.0	257.0	257.0	773.0	45	17	120.0
252-Paper0735	Implicit Neural Representations for Generative Modeling of Living Cell Shapes	36	27	50.0	25	162	87.0	13	13	31.0	5	9	43.0	22	33	49.0	126.0	250.0	379.0	25	6	119.0
253-Paper1642	Implicit Neural Representations for Medical Imaging Segmentation	12	12	82.0	8	64	225.0	14	10	66.0	19	4	14.0	22	19	53.0	146.0	121.0	580.0	71	12	140.0
254-Paper0867	Improved Domain Generalization for Cell Detection in Histopathology Images via Test-Time Stain Augmentation	80	79	137.0	80	59	118.0	42	36	146.0	20	8	67.0	26	84	80.0	480.0	398.0	649.0	232	132	101.0
255-Paper2493	Improving Trustworthiness of AI Disease Severity Rating in Medical Imaging with Ordinal Conformal Prediction Sets	54	40	14.0	4	330	7.0	11	13	7.0	14	11	14.0	50	32	34.0	312.0	473.0	583.0	179	47	507.0
256-Paper2533	Incorporating intratumoral heterogeneity into weakly-supervised deep learning models via variance pooling	45	70	79.0	177	137	12.0	11	49	14.0	2	15	11.0	11	69	134.0	247.0	410.0	321.0	1	70	71.0
257-Paper0284	INSightR-Net: Interpretable Neural Network for Regression using Similarity-based Comparisons to Prototypical Examples	43	79	35.0	40	30	23.0	31	16	28.0	4	3	16.0	47	29	19.0	208.0	240.0	150.0	43	83	29.0
258-Paper0807	InsMix: Towards Realistic Generative Data Augmentation for Nuclei Instance Segmentation	58	14	80.0	31	145	5.0	13	13	18.0	10	14	9.0	47	14	76.0	182.0	224.0	279.0	23	24	91.0
259-Paper0939	Instrument-tissue Interaction Quintuple Detection in Surgery Videos	62	137	30.0	39	50	155.0	3	137	50.0	92	24	11.0	36	114	7.0	669.0	535.0	257.0	437	73	4.0
260-Paper0943	Interaction-Oriented Feature Decomposition for Medical Image Lesion Detection	65	91	77.0	4	56	40.0	11	42	31.0	9	30	16.0	107	38	62.0	331.0	360.0	265.0	135	103	39.0
261-Paper2064	Interpretable differential diagnosis for Alzheimer's disease and Frontotemporal dementia	83	91	88.0	224	106	48.0	62	33	50.0	68	25	54.0	82	14	107.0	551.0	336.0	442.0	32	67	95.0
262-Paper0324	Interpretable Graph Neural Networks for Connectome-Based Brain Disorder Analysis	27	65	60.0	21	3	45.0	13	8	33.0	9	19	9.0	35	21	46.0	165.0	143.0	268.0	60	27	75.0
263-Paper2611	Interpretable Modeling and Reduction of Unknown Errors in Mechanistic Operators	75	7	38.0	777	97	3.0	122	18	17.0	57	5	13.0	68	9	14.0	1410.0	161.0	102.0	311	25	17.0
264-Paper0742	Interpretable signature of consciousness in resting-state functional network brain activity	33	23	25.0	26	116	113.0	3	12	38.0	2	5	50.0	33	32	90.0	229.0	304.0	317.0	132	116	1.0
