category		contribution	contribution	contribution	contribution	detailed	detailed	detailed	detailed	justifictation	justifictation	justifictation	justifictation	repro	repro	repro	repro	strenghts	strenghts	strenghts	strenghts	total	total	total	weakness	weakness	weakness	weakness
119-Paper0756	Curvature-enhanced Implicit Function Network for High-quality Tooth Model Generation from CBCT Images	134.0	40	69	25	207.0	27	83	97	73.0	25	45	3	73.0	23	49	1	129.0	26	97	6	225.0	449.0	136.0	194.0	84	106	4
120-Paper0539	DA-Net: Dual Branch Transformer and Adaptive Strip Upsampling for Retinal Vessels Segmentation	224.0	122	66	36	372.0	193	105	74	112.0	46	49	17	37.0	16	15	6	279.0	170	51	58	750.0	411.0	209.0	346.0	203	125	18
121-Paper0233	D'ARTAGNAN: Counterfactual Video Generation	93.0	29	23	41	337.0	4	161	172	69.0	19	7	43	76.0	25	19	32	104.0	13	80	11	126.0	451.0	327.0	225.0	36	161	28
122-Paper1816	Data-Driven Deep Supervision for Skin Lesion Classification	173.0	104	30	39	420.0	247	160	13	110.0	32	58	20	45.0	39	1	5	74.0	25	28	21	509.0	430.0	110.0	227.0	62	153	12
123-Paper1296	Data-driven Multi-Modal Partial Medical Image Preregistration by Template Space Patch Mapping	198.0	51	98	49	469.0	127	203	139	143.0	39	59	45	130.0	69	28	33	156.0	14	65	77	325.0	470.0	415.0	114.0	25	17	72
124-Paper2698	DDPNet: A novel dual-domain parallel network for low-dose CT reconstruction	153.0	41	68	44	217.0	142	62	13	70.0	6	47	17	75.0	40	24	11	107.0	15	48	44	533.0	550.0	172.0	633.0	289	301	43
125-Paper0688	Decoding Task Sub-type States with Group Deep Bidirectional Recurrent Neural Network	129.0	43	52	34	674.0	225	244	205	95.0	43	25	27	28.0	6	17	5	114.0	37	36	41	392.0	426.0	347.0	125.0	38	52	35
126-Paper0406	Decoupling Predictions in Distributed Learning for Multi-Center Left Atrial MRI Segmentation		76	102			166	291			29	24			80	10			47	29		510.0	478.0			112	22	
127-Paper1750	Deep filter bank regression for super-resolution of anisotropic MR brain images	229.0	66	125	38	326.0	121	180	25	67.0	38	13	16	41.0	12	24	5	144.0	53	70	21	297.0	609.0	176.0	275.0	7	197	71
128-Paper2496	Deep Geometric Supervision Improves Spatial Generalization in Orthopedic Surgery Planning	163.0	97	44	22	485.0	43	253	189	70.0	27	16	27	37.0	14	16	7	106.0	30	15	61	325.0	378.0	379.0	221.0	114	34	73
129-Paper0636	Deep is a Luxury We Don't Have	115.0	17	50	48	437.0	20	135	282	117.0	20	61	36	58.0	15	22	21	96.0	27	50	19	121.0	349.0	445.0	92.0	22	31	39
130-Paper1440	Deep Laparoscopic Stereo Matching with Transformers	202.0	74	92	36	467.0	130	312	25	103.0	69	13	21	79.0	64	12	3	114.0	74	27	13	425.0	776.0	122.0	358.0	14	320	24
131-Paper2581	Deep Learning based Modality-Independent Intracranial Aneurysm Detection	105.0	10	46	49	162.0	85	56	21	107.0	10	39	58	43.0	8	10	25	117.0	12	41	64	155.0	414.0	273.0	308.0	30	222	56
132-Paper0144	Deep Learning-based Facial Appearance Simulation Driven by Surgically Planned Craniomaxillofacial Bony Movement	197.0	41	75	81	423.0	254	71	98	104.0	18	49	37	131.0	34	12	85	311.0	105	59	147	512.0	326.0	554.0	226.0	60	60	106
133-Paper1387	Deep learning-based Head and Neck Radiotherapy Planning Dose Prediction via Beam-wise Dose Decomposition	187.0	117	30	40	278.0	113	8	157	243.0	74	130	39	134.0	91	9	34	154.0	88	43	23	813.0	281.0	331.0	429.0	330	61	38
134-Paper1226	Deep Motion Network for Freehand 3D Ultrasound Reconstruction	198.0	23	85	90	886.0	57	65	764	162.0	79	21	62	56.0	24	13	19	137.0	33	51	53	255.0	300.0	1018.0	134.0	39	65	30
135-Paper2703	Deep Multimodal Guidance for Medical Image Classification	138.0	33	53	52	582.0	60	44	478	76.0	7	27	42	58.0	4	26	28	186.0	27	53	106	164.0	275.0	761.0	160.0	33	72	55
136-Paper2262	Deep Regression with Spatial-Frequency Feature Coupling and Image Synthesis for Robot-Assisted Endomicroscopy	113.0	1	59	53	34.0	1	30	3	135.0	86	21	28	14.0	1	12	1	78.0	1	34	43	91.0	183.0	152.0	52.0	1	27	24
137-Paper2350	Deep Reinforcement Learning for Detection of Inner Ear Abnormal Anatomy in Computed Tomography	212.0	67	110	35	473.0	130	287	56	90.0	13	59	18	58.0	22	29	7	238.0	34	167	37	401.0	785.0	176.0	291.0	135	133	23
138-Paper2325	Deep Reinforcement Learning for Small Bowel Path Tracking using Different Types of Annotations	121.0	18	74	29	96.0	2	69	25	75.0	17	33	25	36.0	12	13	11	119.0	24	39	56	123.0	424.0	171.0	271.0	50	196	25
139-Paper0232	Deep treatment response assessment and prediction of colorectal cancer liver metastases	103.0	22	33	48	316.0	59	3	254	107.0	53	10	44	52.0	1	2	49	47.0	20	16	11	187.0	156.0	451.0	169.0	32	92	45
140-Paper0637	DeepCRC: Colorectum and Colorectal Cancer Segmentation in CT Scans via Deep Colorectal Coordinate Transform	144.0	48	56	40	99.0	20	69	10	100.0	33	30	37	78.0	28	36	14	253.0	116	100	37	318.0	411.0	238.0	293.0	73	120	100
141-Paper0970	Deep-learning Based T1 and T2 Quantification from Undersampled Magnetic Resonance Fingerprinting Data to Track Tracer Kinetics in Small Laboratory Animals	168.0	24	48	96	480.0	105	287	88	100.0	56	24	20	101.0	12	68	21	182.0	41	68	73	288.0	680.0	335.0	272.0	50	185	37
142-Paper2133	DeepMIF: Deep learning based cell profiling for multispectral immunofluorescence images with graphical user interface	135.0	35	46	54	260.0	75	174	11	79.0	34	35	10	71.0	12	16	43	116.0	24	32	60	261.0	362.0	250.0	212.0	81	59	72
143-Paper1080	DeepPyramid: Enabling Pyramid View and Deformable Pyramid Reception for Semantic Segmentation in Cataract Surgery Videos	152.0	64	30	58	475.0	138	22	315	39.0	19	13	7	25.0	13	7	5	93.0	36	35	22	382.0	161.0	418.0	177.0	112	54	11
144-Paper0626	DeepRecon: Joint 2D Cardiac Segmentation and 3D Volume Reconstruction via A Structure-Specific Generative Method	148.0	83	29	36	430.0	162	236	32	47.0	17	29	1	70.0	15	2	53	148.0	53	41	54	450.0	372.0	251.0	230.0	120	35	75
145-Paper1802	Deformer: Towards Displacement Field Learning for Unsupervised Medical Image Registration	187.0	85	33	69	134.0	31	18	85	78.0	55	3	20	41.0	29	3	9	117.0	91	6	20	498.0	224.0	223.0	388.0	207	161	20
146-Paper0151	Degradation-invariant Enhancement of Fundus Images via Pyramid Constraint Network	97.0	30	23	44	115.0	3	27	85	74.0	10	40	24	35.0	15	5	15	107.0	23	44	40	174.0	223.0	227.0	196.0	93	84	19
147-Paper0429	Delving into Local Features for Open-Set Domain Adaptation in Fundus Image Analysis	133.0	39	39	55	232.0	157	48	27	74.0	17	32	25	66.0	29	30	7	135.0	24	49	62	278.0	307.0	363.0	308.0	12	109	187
148-Paper0702	Denoising for Relaxing: Unsupervised Domain Adaptive Fundus Image Segmentation without Source Data	224.0	49	104	71	142.0	7	95	40	85.0	14	12	59	60.0	18	9	33	177.0	29	92	56	143.0	570.0	464.0	489.0	26	258	205
149-Paper0796	Denoising of 3D MR images using a voxel-wise hybrid residual MLP-CNN model to improve small lesion diagnostic confidence	115.0	41	48	26	174.0	50	48	76	95.0	61	29	5	61.0	31	9	21	100.0	40	22	38	254.0	189.0	191.0	89.0	31	33	25
150-Paper0632	DentalPointNet: Landmark Localization on High-Resolution 3D Digital Dental Models	199.0	66	60	73	248.0	94	2	152	88.0	35	2	51	70.0	28	4	38	179.0	94	21	64	422.0	339.0	439.0	416.0	105	250	61
151-Paper0408	DeSD: Self-Supervised Learning with Deep Self-Distillation for 3D Medical Image Segmentation	120.0	15	54	51	273.0	8	21	244	188.0	33	138	17	111.0	17	66	28	114.0	7	78	29	291.0	528.0	474.0	487.0	211	171	105
152-Paper1127	DeStripe: A Self2Self Spatio-Spectral Graph Neural Network with Unfolded Hessian for Stripe Artifact Removal in Light-sheet Microscopy	195.0	47	109	39	617.0	354	5	258	121.0	74	33	14	79.0	12	27	40	134.0	55	54	25	574.0	316.0	412.0	156.0	32	88	36
153-Paper1579	Detecting Aortic Valve Pathology from the 3-Chamber Cine Cardiac MRI View	201.0	47	61	93	473.0	58	100	315	130.0	31	28	71	207.0	41	57	109	188.0	73	29	86	257.0	419.0	742.0	219.0	7	144	68
154-Paper1426	DEUE: Delta Ensemble Uncertainty Estimation for a More Robust Estimation of Ejection Fraction	171.0	45	90	36	406.0	121	27	258	72.0	16	40	16	53.0	27	18	8	174.0	50	51	73	305.0	407.0	414.0	250.0	46	181	23
155-Paper0164	DGMIL: Distribution Guided Multiple Instance Learning for Whole Slide Image Classification	142.0	46	45	51	410.0	116	239	55	108.0	37	31	40	48.0	14	8	26	130.0	49	28	53	282.0	459.0	410.0	313.0	20	108	185
156-Paper0682	Did You Get What You Paid For? Rethinking Annotation Cost of Deep Learning Based Computer Aided Detection in Chest Radiographs	256.0	78	51	127	802.0	20	311	471	73.0	19	12	42	54.0	18	15	21	198.0	53	54	91	309.0	527.0	867.0	320.0	121	84	115
157-Paper0467	Diffusion Deformable Model for 4D Temporal Medical Image Generation	223.0	76	53	94	305.0	128	4	173	111.0	21	6	84	84.0	12	14	58	175.0	55	80	40	356.0	275.0	490.0	223.0	64	118	41
158-Paper0704	Diffusion Models for Medical Anomaly Detection	137.0	35	66	36	248.0	54	117	77	100.0	28	34	38	39.0	7	30	2	159.0	44	75	40	249.0	340.0	310.0	216.0	81	18	117
159-Paper1952	Digestive Organ Recognition in Video Capsule Endoscopy based on Temporal Segmentation Network	170.0	37	43	90	333.0	43	6	284	193.0	15	105	73	72.0	1	11	60	154.0	28	58	68	148.0	444.0	675.0	345.0	24	221	100
160-Paper1447	Discrepancy and Gradient-guided Multi-Modal Knowledge Distillation for Pathological Glioma Grading	213.0	67	55	91	276.0	9	224	43	71.0	16	41	14	54.0	16	24	14	193.0	45	85	63	177.0	474.0	248.0	92.0	24	45	23
161-Paper0659	Discrepancy-based Active Learning for Weakly Supervised Bleeding Segmentation in Wireless Capsule Endoscopy Images	104.0	35	36	33	333.0	68	3	262	72.0	22	13	37	27.0	15	3	9	196.0	88	65	43	251.0	272.0	435.0	226.0	23	152	51
162-Paper0353	Disentangle then Calibrate: Selective Treasure Sharing for Generalized Rare Disease Diagnosis	182.0	55	54	73	272.0	79	83	110	95.0	11	15	69	101.0	15	44	42	111.0	17	23	71	184.0	269.0	563.0	255.0	7	50	198
163-Paper2193	DisQ: Disentangling Quantitative MRI Mapping of the Heart	174.0	30	102	42	767.0	17	552	198	77.0	17	41	19	93.0	37	45	11	191.0	88	88	15	425.0	899.0	299.0	321.0	236	71	14
164-Paper0323	Distilling Knowledge from Topological Representations for Pathological Complete Response Prediction	204.0	22	96	86	441.0	351	4	86	123.0	5	48	70	74.0	53	20	1	189.0	21	98	70	475.0	569.0	551.0	564.0	23	303	238
165-Paper1029	Domain Adaptive Mitochondria Segmentation via Enforcing Inter-Section Consistency	232.0	42	47	143	855.0	71	141	643	209.0	68	85	56	82.0	41	4	37	125.0	26	42	57	286.0	442.0	967.0	192.0	38	123	31
166-Paper1242	Domain Adaptive Nuclei Instance Segmentation and Classification via Category-aware Feature Alignment and Pseudo-labelling	100.0	49	43	8	267.0	116	84	67	78.0	21	56	1	53.0	39	8	6	103.0	43	43	17	317.0	342.0	166.0	224.0	49	108	67
167-Paper0127	Domain Specific Convolution and High Frequency Reconstruction based Unsupervised Domain Adaptation for Medical Image Segmentation	217.0	89	46	82	144.0	66	3	75	34.0	3	15	16	29.0	1	10	18	226.0	71	60	95	341.0	176.0	363.0	230.0	111	42	77
168-Paper1315	Domain-Adaptive 3D Medical Image Synthesis: An Efficient Unsupervised Approach	207.0	36	105	66	982.0	28	301	653	93.0	29	17	47	75.0	10	34	31	138.0	39	53	46	184.0	600.0	989.0	278.0	42	90	146
169-Paper0992	Domain-Prior-Induced Structural MRI Adaptation for Clinical Progression Prediction of Subjective Cognitive Decline	141.0	65	47	29	249.0	174	45	30	53.0	19	16	18	35.0	1	16	18	95.0	25	37	33	318.0	233.0	129.0	107.0	34	72	1
170-Paper1693	DOMINO: Domain-aware Model Calibration in Medical Image Segmentation		83	15			103	73			78	30			60	1			88	17		413.0	224.0			1	88	
171-Paper0021	Double-Uncertainty Guided Spatial and Temporal Consistency Regularization Weighting for Learning-based Abdominal Registration	192.0	74	29	89	276.0	62	161	53	77.0	18	30	29	100.0	62	11	27	106.0	30	27	49	303.0	285.0	299.0	136.0	57	27	52
172-Paper1456	DRGen: Domain Generalization in Diabetic Retinopathy Classification	171.0	62	53	56	331.0	66	44	221	71.0	9	8	54	57.0	6	1	50	99.0	34	7	58	239.0	120.0	590.0	220.0	62	7	151
173-Paper1510	DS3-Net: Difficulty-perceived Common-to-T1ce Semi-Supervised Multimodal MRI Synthesis Network	195.0	49	97	49	153.0	1	62	90	134.0	66	29	39	296.0	251	31	14	171.0	45	54	72	435.0	332.0	394.0	212.0	23	59	130
174-Paper0950	DSP-Net: Deeply-Supervised Pseudo-Siamese Network for Dynamic Angiographic Image Matching	93.0	30	38	25	196.0	56	116	24	124.0	54	60	10	66.0	8	46	12	124.0	45	54	25	219.0	339.0	109.0	64.0	26	25	13
175-Paper1389	DSR: Direct Simultaneous Registration for Multiple 3D Images	185.0	46	48	91	407.0	114	114	179	60.0	19	33	8	70.0	35	28	7	71.0	41	15	15	413.0	254.0	306.0	180.0	158	16	6
176-Paper0333	Dual-Branch Squeeze-Fusion-Excitation Module for Cross-Modality Registration of Cardiac SPECT and CT	193.0	72	83	38	350.0	135	56	159	120.0	42	56	22	53.0	16	15	22	175.0	27	110	38	303.0	451.0	323.0	186.0	11	131	44
177-Paper0838	Dual-Distribution Discrepancy for Anomaly Detection in Chest X-Rays	140.0	63	39	38	194.0	41	131	22	130.0	78	29	23	47.0	18	19	10	165.0	58	56	51	443.0	405.0	358.0	530.0	185	131	214
178-Paper1476	Dual-graph Learning Convolutional Networks for Interpretable Alzheimer's Disease Diagnosis	123.0	22	35	66	182.0	34	146	2	50.0	16	32	2	27.0	10	6	11	158.0	35	22	101	129.0	284.0	248.0	121.0	12	43	66
179-Paper1430	Dual-HINet: Dual Hierarchical Integration Network of Multigraphs for Connectional Brain Template Learning	167.0	28	63	76	329.0	109	213	7	66.0	20	15	31	65.0	1	47	17	64.0	12	34	18	236.0	388.0	344.0	277.0	66	16	195
180-Paper1066	DuDoCAF: Dual-Domain Cross-Attention Fusion with Recurrent Transformer for Fast Multi-contrast MR Imaging	131.0	31	70	30	493.0	225	115	153	45.0	29	11	5	36.0	25	8	3	131.0	42	64	25	436.0	331.0	317.0	248.0	84	63	101
181-Paper0434	Dynamic Bank Learning for Semi-supervised Federated Image Diagnosis with Class Imbalance	182.0	44	63	75	610.0	116	285	209	79.0	9	16	54	69.0	32	18	19	104.0	26	53	25	269.0	471.0	400.0	96.0	42	36	18
182-Paper2304	EchoCoTr: Estimation of the Left Ventricular Ejection Fraction from Spatiotemporal Echocardiography	232.0	83	124	25	488.0	148	98	242	76.0	16	29	31	127.0	18	32	77	146.0	28	49	69	321.0	379.0	505.0	136.0	28	47	61
183-Paper1732	EchoGNN: Explainable Ejection Fraction Estimation with Graph Neural Networks	269.0	80	87	102	441.0	113	168	160	132.0	32	41	59	138.0	21	79	38	363.0	97	137	129	464.0	685.0	529.0	335.0	121	173	41
184-Paper0300	Edge-oriented Point-cloud Transformer for 3D Intracranial Aneurysm Segmentation	226.0	67	93	66	208.0	48	115	45	54.0	41	9	4	82.0	25	32	25	151.0	80	39	32	329.0	397.0	340.0	345.0	68	109	168
185-Paper1159	Effective Opportunistic Esophageal Cancer Screening using Noncontrast CT Imaging	207.0	105	71	31	368.0	37	298	33	69.0	44	18	7	113.0	45	45	23	209.0	111	16	82	411.0	738.0	228.0	411.0	69	290	52
186-Paper2172	Efficient Bayesian Uncertainty Estimation for nnU-Net	107.0	14	38	55	103.0	34	5	64	134.0	9	52	73	10.0	3	4	3	93.0	15	25	53	97.0	134.0	430.0	214.0	22	10	182
187-Paper0368	Efficient Biomedical Instance Segmentation via Knowledge Distillation	153.0	26	69	58	78.0	14	33	31	66.0	13	13	40	52.0	3	11	38	92.0	27	28	37	108.0	156.0	265.0	88.0	25	2	61
188-Paper2377	Efficient population based hyperparameter scheduling for medical image segmentation	194.0	66	87	41	313.0	130	145	38	125.0	28	74	23	38.0	13	11	14	74.0	25	13	36	445.0	411.0	228.0	340.0	183	81	76
189-Paper2746	Electron Microscope Image Registration using Laplacian Sharpening Transformer U-Net	197.0	45	86	66	516.0	58	335	123	83.0	12	32	39	84.0	26	39	19	103.0	31	52	20	245.0	745.0	313.0	320.0	73	201	46
190-Paper0420	Embedding Gradient-based Optimization in Image Registration Networks	165.0	91	10	64	195.0	16	58	121	89.0	18	37	34	122.0	24	39	59	228.0	41	60	127	245.0	474.0	550.0	470.0	55	270	145
191-Paper1872	Embedding Human Brain Function via Transformer	209.0	47	53	109	396.0	64	113	219	76.0	35	16	25	31.0	7	4	20	89.0	18	30	41	199.0	318.0	431.0	147.0	28	102	17
192-Paper1262	End-to-End cell recognition by point annotation	94.0	30	37	27	188.0	31	40	117	47.0	3	30	14	40.0	8	12	20	97.0	15	45	37	165.0	168.0	247.0	114.0	78	4	32
193-Paper0791	End-to-End Evidential-Efficient Net for Radiomics Analysis of Brain MRI to Predict Oncogene Expression and Overall Survival	215.0	49	23	143	384.0	42	21	321	79.0	35	11	33	73.0	38	10	25	129.0	48	28	53	267.0	207.0	635.0	229.0	55	114	60
194-Paper0506	End-to-end Learning for Image-based Detection of Molecular Alterations in Digital Pathology	163.0	73	51	39	81.0	23	27	31	50.0	18	17	15	72.0	43	22	7	73.0	41	5	27	244.0	243.0	226.0	274.0	46	121	107
195-Paper2010	End-to-end Multi-Slice-to-Volume Concurrent Registration and Multimodal Generation	172.0	50	40	82	473.0	59	221	193	164.0	23	31	110	70.0	20	11	39	81.0	23	5	53	213.0	329.0	536.0	118.0	38	21	59
196-Paper1271	End-to-End Segmentation of Medical Images via Patch-wise Polygons Prediction	113.0	51	29	33	418.0	262	64	92	88.0	25	18	45	108.0	20	49	39	112.0	24	36	52	605.0	260.0	289.0	315.0	223	64	28
197-Paper2651	Enforcing connectivity of 3D linear structures using their 2D projections	114.0	58	26	30	302.0	83	46	173	66.0	23	23	20	81.0	13	54	14	108.0	44	34	30	299.0	188.0	416.0	232.0	78	5	149
198-Paper1940	Enhancing model generalization for substantia nigra segmentation using a test-time normalization-based method	232.0	78	91	63	224.0	77	75	72	163.0	12	107	44	124.0	12	93	19	286.0	36	206	44	275.0	573.0	344.0	163.0	60	1	102
199-Paper1749	Ensembled Prediction of Rheumatic Heart Disease from Ungated Doppler Echocardiography Acquired in Low-Resource Settings	246.0	39	84	123	860.0	716	9	135	100.0	44	11	45	129.0	81	7	41	192.0	52	50	90	948.0	171.0	649.0	241.0	16	10	215
200-Paper0439	Estimating Model Performance under Domain Shifts with Class-Specific Confidence Scores	139.0	19	59	61	207.0	32	34	141	58.0	10	22	26	39.0	7	28	4	192.0	7	90	95	225.0	467.0	446.0	503.0	150	234	119
201-Paper1563	Evidence fusion with contextual discounting for multi-modality medical image segmentation	118.0	26	48	44	315.0	96	78	141	65.0	36	16	13	50.0	9	25	16	81.0	25	32	24	202.0	254.0	259.0	86.0	10	55	21
202-Paper0960	Evolutionary Multi-objective Architecture Search Framework: Application to COVID-19 3D CT Classification	179.0	42	66	71	278.0	64	63	151	217.0	170	39	8	38.0	12	17	9	103.0	38	37	28	430.0	309.0	371.0	295.0	104	87	104
203-Paper1856	Explainable Contrastive Multiview Graph Representation of Brain, Mind, and Behavior	78.0	17	35	26	383.0	84	234	65	70.0	57	5	8	33.0	21	1	11	68.0	13	30	25	246.0	474.0	156.0	244.0	54	169	21
204-Paper2558	Explaining Chest X-ray Pathologies in Natural Language	175.0	35	73	67	128.0	7	110	11	92.0	39	37	16	50.0	24	11	15	146.0	26	29	91	268.0	370.0	279.0	326.0	137	110	79
205-Paper0081	Exploring Smoothness and Class-Separation for Semi-supervised Medical Image Segmentation	137.0	35	69	33	402.0	215	25	162	80.0	45	21	14	37.0	16	7	14	109.0	28	62	19	409.0	396.0	262.0	302.0	70	212	20
206-Paper2742	Extended Electrophysiological Source Imaging with Spatial Graph Filters	116.0	50	46	20	422.0	137	269	16	99.0	3	58	38	97.0	32	56	9	86.0	35	39	12	302.0	532.0	212.0	226.0	45	64	117
207-Paper2316	FairPrune: Achieving Fairness Through Pruning for Dermatological Disease Diagnosis	194.0	55	74	65	698.0	127	88	483	123.0	9	62	52	98.0	11	18	69	149.0	36	77	36	257.0	531.0	717.0	243.0	19	212	12
208-Paper2313	Fast Automatic Liver Tumor Radiofrequency Ablation Planning via Learned Physics Model	86.0	16	50	20	409.0	83	186	140	49.0	7	28	14	76.0	27	22	27	201.0	52	107	42	234.0	475.0	308.0	196.0	49	82	65
209-Paper2730	Fast FF-to-FFPE Whole Slide Image Translation via Laplacian Pyramid and Contrastive Learning	109.0	24	26	59	406.0	63	92	251	49.0	26	8	15	49.0	22	19	8	128.0	39	36	53	240.0	284.0	515.0	298.0	66	103	129
210-Paper2428	Fast Spherical Mapping of Cortical Surface Meshes using Deep Unsupervised Learning	151.0	69	35	47	627.0	487	115	25	29.0	4	5	20	12.0	2	2	8	109.0	50	12	47	616.0	175.0	168.0	31.0	4	6	21
211-Paper1680	Fast Unsupervised Brain Anomaly Detection and Segmentation with Diffusion Models	217.0	109	50	58	506.0	143	93	270	129.0	3	22	104	58.0	2	1	55	220.0	61	72	87	371.0	291.0	1054.0	586.0	53	53	480
212-Paper2777	Feature Re-calibration based Multiple Instance Learning for Whole Slide Image Classification	180.0	40	73	67	125.0	21	47	57	26.0	12	4	10	33.0	22	4	7	121.0	19	27	75	134.0	245.0	251.0	145.0	20	90	35
213-Paper2407	Feature robustness and sex differences in medical imaging: a case study in MRI-based Alzheimer's disease detection	179.0	30	84	65	276.0	107	91	78	78.0	15	40	23	62.0	11	17	34	80.0	14	11	55	191.0	299.0	345.0	160.0	14	56	90
214-Paper2425	Federated Medical Image Analysis with Virtual Sample Synthesis	147.0	48	67	32	171.0	66	18	87	91.0	15	21	55	57.0	15	26	16	149.0	23	50	76	199.0	234.0	333.0	151.0	32	52	67
215-Paper0107	Federated Stain Normalization for Computational Pathology	113.0	27	25	61	394.0	105	105	184	119.0	34	5	80	95.0	26	21	48	297.0	84	22	191	503.0	283.0	617.0	385.0	227	105	53
216-Paper1639	FedHarmony: Unlearning Scanner Bias with Distributed Data	155.0	87	37	31	146.0	74	52	20	133.0	77	17	39	56.0	40	2	14	204.0	153	29	22	588.0	348.0	238.0	480.0	157	211	112
217-Paper0905	Few-shot Generation of Personalized Neural Surrogates for Cardiac Simulation via Bayesian Meta-Learning	104.0	26	37	41	148.0	26	84	38	52.0	20	21	11	66.0	22	27	17	74.0	37	23	14	148.0	252.0	247.0	203.0	17	60	126
218-Paper0176	Few-shot Medical Image Segmentation Regularized with Self-reference and Contrastive Learning	136.0	46	43	47	440.0	92	187	161	106.0	15	49	42	71.0	12	30	29	140.0	35	67	38	538.0	516.0	360.0	521.0	338	140	43
219-Paper0530	FFCNet: Fourier Transform-Based Frequency Learning and Complex Convolutional Network for Colon Disease Classification	120.0	60	20	40	140.0	82	56	2	121.0	25	31	65	16.0	8	3	5	163.0	34	63	66	260.0	304.0	322.0	326.0	51	131	144
220-Paper1280	Fine-grained Correlation Loss for Regression	255.0	44	88	123	408.0	23	357	28	58.0	27	11	20	128.0	4	100	24	218.0	27	50	141	168.0	630.0	616.0	347.0	43	24	280
221-Paper0464	Flat-aware Cross-stage Distilled Framework for Imbalanced Medical Image Classification	141.0	61	46	34	135.0	2	131	2	43.0	8	22	13	44.0	1	20	23	119.0	37	19	63	117.0	262.0	446.0	343.0	8	24	311
222-Paper0166	Flexible Sampling for Long-tailed Skin Lesion Classification	224.0	82	75	67	350.0	153	48	149	49.0	23	10	16	38.0	1	1	36	177.0	30	93	54	323.0	249.0	400.0	134.0	34	22	78
223-Paper1037	fMRI Neurofeedback Learning Patterns are Predictive of Personal and Clinical Traits	82.0	22	43	17	128.0	30	41	57	37.0	19	6	12	27.0	13	12	2	73.0	11	37	25	168.0	178.0	128.0	127.0	73	39	15
224-Paper0656	Free Lunch for Surgical Video Understanding by Distilling Self-Supervisions	327.0	151	85	91	820.0	566	69	185	145.0	99	16	30	119.0	55	14	50	207.0	120	63	24	1321.0	366.0	400.0	469.0	330	119	20
225-Paper1550	Frequency-Aware Inverse-Consistent Deep Learning for OCT-Angiogram Super-Resolution	155.0	42	35	78	302.0	46	79	177	57.0	12	12	33	46.0	13	18	15	85.0	25	38	22	256.0	284.0	346.0	241.0	118	102	21
226-Paper2446	From Images to Probabilistic Anatomical Shapes: A Deep Variational Bottleneck Approach	99.0	20	25	54	176.0	51	64	61	127.0	44	12	71	49.0	39	7	3	120.0	62	22	36	221.0	163.0	314.0	127.0	5	33	89
227-Paper2489	FSE Compensated Motion Correction for MRI Using Data Driven Methods	120.0	26	20	74	62.0	31	16	15	50.0	15	14	21	16.0	2	13	1	104.0	37	5	62	205.0	92.0	198.0	143.0	94	24	25
228-Paper2619	Fusing Modalities by Multiplexed Graph Neural Networks for Outcome Prediction in Tuberculosis	179.0	73	67	39	207.0	59	119	29	127.0	32	42	53	228.0	54	151	23	338.0	70	220	48	344.0	833.0	207.0	305.0	56	234	15
229-Paper0029	FUSSNet: Fusing Two Sources of Uncertainty for Semi-Supervised Medical Image Segmentation	186.0	51	61	74	1036.0	539	101	396	185.0	26	28	131	139.0	20	24	95	171.0	30	47	94	694.0	389.0	941.0	307.0	28	128	151
230-Paper0398	GaitForeMer: Self-Supervised Pre-Training of Transformers via Human Motion Forecasting for Few-Shot Gait Impairment Severity Estimation	150.0	40	82	28	250.0	85	53	112	55.0	18	18	19	45.0	23	21	1	129.0	70	51	8	311.0	275.0	203.0	160.0	75	50	35
231-Paper2241	GazeRadar: A Gaze and Radiomics-guided Disease Localization Framework	112.0	15	43	54	151.0	74	17	60	38.0	15	17	6	56.0	1	14	41	121.0	13	54	54	136.0	168.0	243.0	69.0	18	23	28
232-Paper2084	Geometric Constraints for Self-supervised Monocular Depth Estimation on Laparoscopic Images with Dual-task Consistency	149.0	60	33	56	941.0	320	586	35	169.0	50	73	46	61.0	27	25	9	208.0	73	68	67	570.0	950.0	344.0	336.0	40	165	131
233-Paper1173	Gigapixel Whole-Slide Images Classification using Locally Supervised Learning	132.0	54	50	28	259.0	110	35	114	57.0	15	36	6	22.0	2	4	16	132.0	79	27	26	497.0	264.0	304.0	463.0	237	112	114
234-Paper1622	Global Multi-modal 2D/3D Registration via Local Descriptors Learning	210.0	154	37	19	329.0	112	51	166	49.0	12	27	10	56.0	18	23	15	97.0	51	40	6	519.0	227.0	233.0	238.0	172	49	17
235-Paper1165	GradMix for nuclei segmentation and classification in imbalanced pathology image datasets	101.0	23	28	50	510.0	72	334	104	151.0	29	15	107	61.0	11	34	16	195.0	29	53	113	257.0	571.0	432.0	242.0	93	107	42
236-Paper0770	Graph convolutional network with probabilistic spatial regression: application to craniofacial landmark detection from 3D photogrammetry	281.0	34	114	133	150.0	55	61	34	203.0	13	45	145	56.0	27	16	13	197.0	11	173	13	158.0	571.0	483.0	325.0	18	162	145
237-Paper0826	Graph Emotion Decoding from Visually Evoked Neural Responses	129.0	67	42	20	306.0	66	237	3	123.0	83	22	18	34.0	27	1	6	114.0	64	21	29	446.0	344.0	131.0	215.0	139	21	55
